AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
103431	scripts/Map/相州_漳水南路/ai/据点/盾兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103432	scripts\Map\相州_漳水南路\ai\据点\弓兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103433	scripts\Map\相州_漳水南路\ai\据点\医师.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103434	scripts\Map\相州_漳水南路\ai\据点\枪兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103435	scripts\Map\相州_漳水南路\ai\据点\骑兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103513	scripts/Map/相州_漳水南路/ai/据点/箭雨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103549	scripts\Map\相州_漳水南路\ai\2号曹达干\曹达干.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103550	scripts\Map\相州_漳水南路\ai\1号史孝\史孝.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103551	scripts\Map\相州_漳水南路\ai\1号史孝\史孝范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103552	scripts\Map\相州_漳水南路\ai\1号史孝\史孝技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103553	scripts\Map\相州_漳水南路\ai\2号曹达干\曹达干范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
103554	scripts\Map\相州_漳水南路\ai\2号曹达干\曹达干技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
