AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
26001	scripts\Map\血战天策\ai\拜月长老\黑齿元佑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26013	scripts\Map\血战天策\ai\攻门战\关卡控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26030	scripts\Map\血战天策\ai\攻门战\滚石.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26040	scripts\Map\血战天策\ai\攻门战\狼牙冲锋兵左路.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26043	scripts\Map\血战天策\ai\攻门战\狼牙冲锋兵中路.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26045	scripts\Map\血战天策\ai\攻门战\狼牙冲锋兵右路.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26046	scripts\Map\血战天策\ai\攻门战\喷火狼牙兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26047	scripts\Map\血战天策\ai\攻门战\燃点.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26048	scripts\Map\血战天策\ai\攻门战\破门车.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26049	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
26052	scripts\Map\血战天策\ai\攻门战\刷兵点表现npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26053	scripts\Map\血战天策\ai\攻门战\刷兵点表现npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26054	scripts\Map\血战天策\ai\攻门战\刷兵点表现npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26060	scripts\Map\血战天策\ai\攻门战\界面控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26087	scripts\Map\血战天策\ai\攻门战\搬运工.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26088	scripts\Map\血战天策\ai\攻门战\弓兵对射.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26095	scripts\Map\血战天策\ai\攻门战\弓兵对射.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26108	scripts\Map\血战天策\ai\雷狼\骑马雷狼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26109	scripts\Map\血战天策\ai\攻门战\士兵对砍.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26110	scripts\Map\血战天策\ai\雷狼\追击狼牙骑兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26111	scripts\Map\血战天策\ai\攻门战\士兵对砍.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26129	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26161	scripts\Map\血战天策\ai\山狼\山狼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26162	scripts\Map\血战天策\ai\山狼\曹雪阳.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26163	scripts\Map\血战天策\ai\天策府阻援\关卡总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26166	scripts\Map\血战天策\ai\天策府阻援\西北关卡控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26167	scripts\Map\血战天策\ai\天策府阻援\东北关卡控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26168	scripts\Map\血战天策\ai\天策府阻援\西南关卡控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26170	scripts\Map\血战天策\ai\天策府阻援\东南关卡控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26171	scripts\Map\血战天策\ai\天策府阻援\正南关卡控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26184	scripts\Map\血战天策\ai\保护青骓牧场\狼牙战俘营\小兵AI.lua	1	768	2560	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
26185	scripts\Map\血战天策\ai\保护青骓牧场\狼牙战俘营\小兵AI.lua	1	2560	2560	0	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
26186	scripts\Map\血战天策\ai\保护青骓牧场\狼牙战俘营\小兵AI.lua	1	2560	2560	0	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
26229	scripts\Map\血战天策\ai\天狼\阿史那从礼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26230	scripts\Map\血战天策\ai\天狼\小七真身.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
26231	scripts\Map\血战天策\ai\天策府阻援\箭弩车.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
26232	scripts\Map\血战天策\ai\天狼\范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
