AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
42852	scripts\Map\引仙水榭\ai\平花秀夜\平花秀夜.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	0	320
42854	scripts\Map\引仙水榭\ai\平花秀夜\平花秀夜总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43486	scripts\Map\引仙水榭\ai\平花秀夜\平花秀夜范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43592	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42883	scripts\Map\引仙水榭\ai\剑姬阵\剑姬本体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42884	scripts\Map\引仙水榭\ai\剑姬阵\剑姬本体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43593	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43594	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
42885	scripts\Map\引仙水榭\ai\剑姬阵\剑姬本体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42886	scripts\Map\引仙水榭\ai\剑姬阵\剑姬本体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43595	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
43596	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
42887	scripts\Map\引仙水榭\ai\剑姬阵\剑姬本体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42888	scripts\Map\引仙水榭\ai\剑姬阵\剑姬战斗总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43597	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
43598	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
42889	scripts\Map\引仙水榭\ai\剑姬阵\剑姬范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42890	scripts\Map\引仙水榭\ai\3号战斗\李复.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43599	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43600	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42891	scripts\Map\引仙水榭\ai\3号战斗\李倓.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42892	scripts\Map\引仙水榭\ai\3号战斗\3号战斗总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43601	scripts\Map\引仙水榭\ai\3号战斗\李复.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43602	scripts\Map\引仙水榭\ai\3号战斗\李倓.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42893	scripts\Map\引仙水榭\ai\3号战斗\流风.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42894	scripts\Map\引仙水榭\ai\3号战斗\剑气.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43603	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43604	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42895	scripts\Map\引仙水榭\ai\3号战斗\黑子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42896	scripts\Map\引仙水榭\ai\3号战斗\白子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43605	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43606	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43607	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43608	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43611	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
45955	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
45956	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
