AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
106506	scripts\Map\北天药宗_武氏别院\ai\1号_李君竹\李君竹.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106507	scripts\Map\北天药宗_武氏别院\ai\1号_李君竹\李君竹技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106508	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106509	scripts\Map\北天药宗_武氏别院\ai\1号_李君竹\李君竹范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106510	scripts\Map\北天药宗_武氏别院\ai\1号_李君竹\剑宗小怪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106511	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106512	scripts\Map\北天药宗_武氏别院\ai\2号_解秀朝\解秀朝.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106513	scripts\Map\北天药宗_武氏别院\ai\2号_解秀朝\解秀朝技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106514	scripts/ai/DungeonStandardAI.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106515	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106516	scripts\Map\北天药宗_武氏别院\ai\2号_解秀朝\解秀朝范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106517	scripts\Map\北天药宗_武氏别院\ai\2号_解秀朝\柳惊涛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106518	scripts\Map\北天药宗_武氏别院\ai\1号_李君竹\aoe辅助npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106519	scripts\Map\北天药宗_武氏别院\ai\3号_武云阙\柳静海.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106520	scripts\Map\北天药宗_武氏别院\ai\3号_武云阙\武云阙.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106521	scripts\Map\北天药宗_武氏别院\ai\3号_武云阙\武云阙技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106522	scripts\Map\北天药宗_武氏别院\ai\3号_武云阙\武云阙范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106523	scripts\Map\北天药宗_武氏别院\ai\3号_武云阙\武鳐天.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106524	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106525	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106526	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106527	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106528	scripts/Map/北天药宗_武氏别院/ai/周边/武家小怪.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
106529	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106530	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106613	scripts\Map\北天药宗_武氏别院\ai\周边\药宗引路人.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106831	scripts/Map/北天药宗_武氏别院/ai/周边/武家小怪.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
106849	scripts/ai/DungeonStandardAI.lua	0	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106856	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
