AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
111614	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/笑妆娘.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111615	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/笑妆娘范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111616	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/笑妆娘技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111617	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/白兆霆.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111618	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/白兆霆范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111619	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/白兆霆技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111620	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/邙赫达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111621	scripts/Map/楚州_江天夜宴/ai/周边/桑来照.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111622	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/邙赫达范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111623	scripts/Map/楚州_江天夜宴/ai/周边/傅七殊.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111624	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/邙赫达技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111625	scripts/Map/楚州_江天夜宴/ai/周边/镜归渊.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111626	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/殇魂舞_矩形.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111627	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/幽怜气斩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111628	scripts/Map/楚州_江天夜宴/ai/周边/镜演.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111629	scripts/Map/楚州_江天夜宴/ai/周边/傅七殊_影子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111630	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111631	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111632	scripts/ai/DungeonStandardAI.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
111633	scripts/Map/楚州_江天夜宴/ai/周边/刑庭恩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111634	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/音域.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111635	scripts/ai/DungeonStandardAI.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
111636	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111637	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111638	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111639	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111640	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111641	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
