AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
5875	scripts\ai\DungeonStandardBossAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5881	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\ÃŸ‘≠”£ƒŒ.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5882	scripts\ai\DungeonStandardBossAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5883	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\πÌ”∞«ßª™.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5884	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5885	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5886	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\«ßπÌ.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5887	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5888	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5889	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5890	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5891	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5892	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\ÃÏΩ£.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5893	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\ÃÏΩ£.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
5894	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\ÃÏΩ£.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5895	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\ÃÏΩ£.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5896	scripts\Map\”¢–€ø’ŒÌ∑Â\ai\ÃÏΩ£.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
5899	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
6025	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
6029	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
6034	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
6035	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
6036	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
6037	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
6038	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
