AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
53985	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号哥舒翰.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53986	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号范围.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53987	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号技能.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53988	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号技能辅助.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53989	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号五方守护.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53990	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号落枪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53991	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号枪魂.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53992	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号枪气.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53993	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号圆火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53994	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号横扫引子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
53995	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\黑齿元佑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
53996	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\蜘蛛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
53997	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\毒花.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
53998	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\潜地蜘蛛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
53999	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\刷蜘蛛控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
54000	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\刷毒花控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
54001	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\黑齿技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
54002	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\黑齿总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
54003	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑\协防判断控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
54004	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54005	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号圆火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54006	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/毒尸.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54007	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/蛞蝓一.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
54008	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/安庆绪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54009	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P1瞄准NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54010	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P1箭支.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54011	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/飞行箭弩_P2弹幕.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54012	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P2_扇形提示NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54013	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54014	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P3_扇面提示特效.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54015	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P3左右手提示.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54016	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P4_扇形提示NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54017	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P4连线控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54018	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54019	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P1辅助瞄准NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54020	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/P4_扇形提示NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54021	scripts/ai/DungeonStandardAI.lua	1	1500	1500	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
54022	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑小怪\蜘蛛卵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54023	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑小怪\蜘蛛卵里的士兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54024	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/安庆绪总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54025	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/安庆绪技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54026	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/安庆绪血量监控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54027	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/毒尸技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54028	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/毒尸血量监控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54029	scripts/Map/英雄上阳宫_双曜亭/ai/安庆绪/安庆绪灭团控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54030	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54031	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54032	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54033	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54034	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54035	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54036	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54037	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54038	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54039	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54040	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54041	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54042	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑小怪\表现蜘蛛怪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54043	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\7号关卡总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54044	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\火烧敌阵\狼牙长弓手.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54045	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\火烧敌阵\狼牙长枪手.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54046	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\强攻敌城\狼牙小头目.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54047	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\强攻敌城\狼牙长弓手.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54048	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\强攻敌城\狼牙刀盾兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54049	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\强攻敌城\狼牙长枪手.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54050	scripts\Map\英雄上阳宫_双曜亭\ai\哥舒翰\7号圆火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54051	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑小怪\对话控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
54052	scripts\Map\英雄上阳宫_双曜亭\ai\黑齿元佑小怪\蜘蛛守卫打斗控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
54053	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\强攻敌城\弓箭子弹.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54054	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54055	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\火烧敌阵\油.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54056	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54057	scripts\Map\英雄上阳宫_双曜亭\ai\7号前关卡\强攻敌城\狼牙小头目.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54058	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54059	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\狼牙军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54060	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\狼牙军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54061	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\狼牙军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54062	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\狼牙军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54063	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\狼牙城卫.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54064	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\李承恩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54065	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\李复.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54066	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\唐军军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54067	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\唐军军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54068	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\唐军军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54069	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\唐军军官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54070	scripts\Map\英雄上阳宫_双曜亭\ai\城门广场\表现控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
