AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
43107	scripts\Map\永王行宫_花月别院\ai\2号\莫雨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43108	scripts\Map\永王行宫_花月别院\ai\2号\总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43109	scripts\Map\永王行宫_花月别院\ai\2号\技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43111	scripts\Map\永王行宫_花月别院\ai\2号\阶段控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43112	scripts\Map\永王行宫_花月别院\ai\2号\毛毛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43113	scripts\Map\永王行宫_花月别院\ai\2号\可人.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43114	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43129	scripts\Map\永王行宫_花月别院\ai\2号\黄泉绝影-毛毛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43134	scripts\Map\永王行宫_花月别院\ai\2号\小怪控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43183	scripts\Map\永王行宫_花月别院\ai\2号\面向控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43184	scripts\Map\永王行宫_花月别院\ai\2号\知心火.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43185	scripts\Map\永王行宫_花月别院\ai\2号\知心火控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43236	scripts\Map\永王行宫_花月别院\ai\2号\黄泉绝影-可人.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43245	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43275	scripts\Map\永王行宫_花月别院\ai\3号\李白.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43278	scripts\Map\永王行宫_花月别院\ai\3号\李白总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43279	scripts\Map\永王行宫_花月别院\ai\3号\技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43280	scripts\Map\永王行宫_花月别院\ai\3号\阶段控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43281	scripts\Map\永王行宫_花月别院\ai\3号\青莲子剑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43282	scripts\Map\永王行宫_花月别院\ai\3号\掉落的青莲子剑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
