AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
43110	scripts\Map\永王行宫_仙侣庭园\ai\1号_屈焰阳\屈焰阳.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43115	scripts\Map\永王行宫_仙侣庭园\ai\1号_屈焰阳\龙图刺客.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43116	scripts\Map\永王行宫_仙侣庭园\ai\1号_屈焰阳\龙图箭卫（挑战）.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43117	scripts\Map\永王行宫_仙侣庭园\ai\5号\永王李璘.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43118	scripts\Map\永王行宫_仙侣庭园\ai\5号\苏十三娘.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43119	scripts\Map\永王行宫_仙侣庭园\ai\5号\剑墙.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43120	scripts\Map\永王行宫_仙侣庭园\ai\5号\飞花蝶舞.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43121	scripts\Map\永王行宫_仙侣庭园\ai\5号\八荒阵眼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43123	scripts\Map\永王行宫_仙侣庭园\ai\5号\文君剑气.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43124	scripts\Map\永王行宫_仙侣庭园\ai\5号\相如剑气.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43126	scripts\Map\永王行宫_仙侣庭园\ai\5号\文君剑牢.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43127	scripts\Map\永王行宫_仙侣庭园\ai\5号\相如剑牢.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43128	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43130	scripts\Map\永王行宫_仙侣庭园\ai\5号\五号总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
43177	scripts\Map\永王行宫_仙侣庭园\ai\商会NPC\左纱夫人.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43178	scripts\Map\永王行宫_仙侣庭园\ai\商会NPC\商会NPC男.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43179	scripts\Map\永王行宫_仙侣庭园\ai\商会NPC\商会NPC女.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43180	scripts\Map\永王行宫_仙侣庭园\ai\商会NPC\杨喃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43181	scripts\Map\永王行宫_仙侣庭园\ai\商会NPC\林海.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43182	scripts\Map\永王行宫_仙侣庭园\ai\商会NPC\胡善丘.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43323	scripts\Map\永王行宫_仙侣庭园\ai\2号_森九岚\森九岚.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43720	scripts\Map\永王行宫_仙侣庭园\ai\3号_李瑒\李瑒.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43834	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43835	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43836	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43848	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43849	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43850	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43866	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\紫金钵距离控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43867	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\紫金钵气场.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43868	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\三环锡杖.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43869	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\仲虚念.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43870	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\须弥咒控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43871	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\涅槃经控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43872	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\无相咒控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43959	scripts\Map\永王行宫_仙侣庭园\ai\4号_仲虚念\紫金钵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
