MapID	MatchLevelType	FatherMapID	MinLevelRequire	MaxLevelRequire	MaxPlayerPerSide	MinPlayerPerSide	MaxPlayerParty	MinTherapyPerSide	MaxTherapyPerSide	EnableGroup0	EnableGroup1	EnableGroup2	EnableGroup3	ForceMask0	ForceMask1	ForceMask2	ForceMask3	CampRequire0	CampRequire1	CampRequire2	CampRequire3	PQTemplateID	Script	IgnoreSystemTeam	OnceOnly	KillRush	MaxTeamGroup	MaxKillRushHitRate	ClosePlayerPerSide	IsTongLeague
38	1	0	120	120	15	15	15	3	5	1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			8	battlefield\level70shennongyin.lua			0	4	0	0	
48	1	0	120	120	25	20	25	6	9	1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			12	battlefield\level70jiugongqigu.lua			0	4	0	0	
50	1	0	120	120	25	20	25	6	9	1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			18	battlefield\level70sichouzhilu.lua			0	4	0	0	
52	1	0	120	120	10	10	10	1	4	1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			15	battlefield\level70yunhutianchi.lua			0	4	0	0	
121	1	0	120	120	15	7	15			1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			27	battlefield\level80yx_shennongyin.lua			0	4	0	0	
135	1	0	120	120	15	15	15	3	5	1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			30	battlefield\level80sanguoguzhanchang.lua			0	4	0	0	
186	1	0	120	120	15	15	15	3	5	1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			38	battlefield\level90lengxiangqiu.lua			0	4	0	0	
296	2	296	120	120	100	80	5			1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			39	battlefield\shamofengbao.lua		1	1	20	4	0	
297	2	296	120	120	100	80	5			1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			39	battlefield\shamofengbao.lua		1	1	20	1	0	
322	3	322	120	120	50	50	5			1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			40	battlefield\vampire.lua	1	1	2	20	1	0	
410	2	296	120	120	100	80	5			1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			39	battlefield\shamofengbao.lua		1	1	20	4	0	
412	4	412	120	120	10	10	5			1	0	0	0	4294967294	4294967294	4294967295	4294967295	1	2			42	battlefield\moba.lua		1	3	2	1	0	
415	5	0	120	120	10	8	10	0	10	1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			41	battlefield\yelidao.lua	1	1	0	4	0	0	
512	2	296	120	120	100	80	5			1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			39	battlefield\shamofengbao.lua		1	1	20	5	0	
515	0	0	120	120	100	1	1	0	100	1	1	0	0	4294967294	4294967294	4294967295	4294967295	1	2			43	battlefield\banghuiliansai.lua	1		0	4	0	0	1
532	2	296	120	120	100	80	5			1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			39	battlefield\shamofengbao.lua		1	1	20	6	0	
645	0	645	120	120	80	80	1			1	0	0	0	4294967295	4294967295	4294967295	4294967295	1	2			39	battlefield\shamofengbao.lua		1	4	80	1	0	
