ID	Name	TabType	TabIndex	StartPrice	Duration	Probability
0				1	226800	0
1	彩·霸体·锐刃·狂攻(陆)	5	12006	5000		1
2	彩·霸体·锐刃·斩铁(陆)	5	12012	5000		1
3	彩·霸体·锐刃·痛击(陆)	5	12018	5000		1
4	彩·霸体·斩铁·狂攻(陆)	5	12024	5000		1
5	彩·霸体·斩铁·锐刃(陆)	5	12030	5000		1
6	彩·霸体·斩铁·痛击(陆)	5	12036	5000		1
7	彩·霸体·痛击·狂攻(陆)	5	12042	5000		1
8	彩·霸体·痛击·斩铁(陆)	5	12048	5000		1
9	彩·霸体·痛击·锐刃(陆)	5	12054	5000		1
10	彩·霸体·大化·狂攻(陆)	5	12060	5000		1
11	彩·霸体·大化·斩铁(陆)	5	12066	5000		1
12	彩·霸体·大化·锐刃(陆)	5	12072	5000		1
13	彩·霸体·大化·痛击(陆)	5	12078	5000		1
14	彩·真刚·锐刃·狂攻(陆)	5	12084	5000		1
15	彩·真刚·锐刃·斩铁(陆)	5	12090	5000		1
16	彩·真刚·锐刃·痛击(陆)	5	12096	5000		1
17	彩·真刚·斩铁·狂攻(陆)	5	12102	5000		1
18	彩·真刚·斩铁·锐刃(陆)	5	12108	5000		1
19	彩·真刚·斩铁·痛击(陆)	5	12114	5000		1
20	彩·真刚·痛击·狂攻(陆)	5	12120	5000		1
21	彩·真刚·痛击·斩铁(陆)	5	12126	5000		1
22	彩·真刚·痛击·锐刃(陆)	5	12132	5000		1
23	彩·真刚·大化·狂攻(陆)	5	12138	5000		1
24	彩·真刚·大化·斩铁(陆)	5	12144	5000		1
25	彩·真刚·大化·锐刃(陆)	5	12150	5000		1
26	彩·真刚·大化·痛击(陆)	5	12156	5000		1
27	彩·瞬影·锐刃·狂攻(陆)	5	12162	5000		1
28	彩·瞬影·锐刃·斩铁(陆)	5	12168	5000		1
29	彩·瞬影·锐刃·痛击(陆)	5	12174	5000		1
30	彩·瞬影·斩铁·狂攻(陆)	5	12180	5000		1
31	彩·瞬影·斩铁·锐刃(陆)	5	12186	5000		1
32	彩·瞬影·斩铁·痛击(陆)	5	12192	5000		1
33	彩·瞬影·痛击·狂攻(陆)	5	12198	5000		1
34	彩·瞬影·痛击·斩铁(陆)	5	12204	5000		1
35	彩·瞬影·痛击·锐刃(陆)	5	12210	5000		1
36	彩·瞬影·大化·狂攻(陆)	5	12216	5000		1
37	彩·瞬影·大化·斩铁(陆)	5	12222	5000		1
38	彩·瞬影·大化·锐刃(陆)	5	12228	5000		1
39	彩·瞬影·大化·痛击(陆)	5	12234	5000		1
40	彩·灵根·锐刃·狂攻(陆)	5	12240	5000		1
41	彩·灵根·锐刃·斩铁(陆)	5	12246	5000		1
42	彩·灵根·锐刃·痛击(陆)	5	12252	5000		1
43	彩·灵根·斩铁·狂攻(陆)	5	12258	5000		1
44	彩·灵根·斩铁·锐刃(陆)	5	12264	5000		1
45	彩·灵根·斩铁·痛击(陆)	5	12270	5000		1
46	彩·灵根·痛击·狂攻(陆)	5	12276	5000		1
47	彩·灵根·痛击·斩铁(陆)	5	12282	5000		1
48	彩·灵根·痛击·锐刃(陆)	5	12288	5000		1
49	彩·灵根·大化·狂攻(陆)	5	12294	5000		1
50	彩·灵根·大化·斩铁(陆)	5	12300	5000		1
51	彩·灵根·大化·锐刃(陆)	5	12306	5000		1
52	彩·灵根·大化·痛击(陆)	5	12312	5000		1
53	彩·锐刃·斩铁·狂攻(陆)	5	12318	5000		1
54	彩·锐刃·斩铁·痛击(陆)	5	12324	5000		1
55	彩·锐刃·痛击·狂攻(陆)	5	12330	5000		1
56	彩·锐刃·痛击·斩铁(陆)	5	12336	5000		1
57	彩·锐刃·大化·狂攻(陆)	5	12342	5000		1
58	彩·锐刃·大化·斩铁(陆)	5	12348	5000		1
59	彩·锐刃·大化·痛击(陆)	5	12354	5000		1
60	彩·斩铁·锐刃·狂攻(陆)	5	12360	5000		1
61	彩·斩铁·锐刃·痛击(陆)	5	12366	5000		1
62	彩·斩铁·痛击·狂攻(陆)	5	12372	5000		1
63	彩·斩铁·痛击·锐刃(陆)	5	12378	5000		1
64	彩·斩铁·大化·狂攻(陆)	5	12384	5000		1
65	彩·斩铁·大化·锐刃(陆)	5	12390	5000		1
66	彩·斩铁·大化·痛击(陆)	5	12396	5000		1
67	彩·见切·锐刃·狂攻(陆)	5	12402	5000		1
68	彩·见切·锐刃·斩铁(陆)	5	12408	5000		1
69	彩·见切·锐刃·痛击(陆)	5	12414	5000		1
70	彩·见切·斩铁·狂攻(陆)	5	12420	5000		1
71	彩·见切·斩铁·锐刃(陆)	5	12426	5000		1
72	彩·见切·斩铁·痛击(陆)	5	12432	5000		1
73	彩·见切·痛击·狂攻(陆)	5	12438	5000		1
74	彩·见切·痛击·斩铁(陆)	5	12444	5000		1
75	彩·见切·痛击·锐刃(陆)	5	12450	5000		1
76	彩·见切·大化·狂攻(陆)	5	12456	5000		1
77	彩·见切·大化·斩铁(陆)	5	12462	5000		1
78	彩·见切·大化·锐刃(陆)	5	12468	5000		1
79	彩·见切·大化·痛击(陆)	5	12474	5000		1
80	彩·痛击·锐刃·狂攻(陆)	5	12480	5000		1
81	彩·痛击·锐刃·斩铁(陆)	5	12486	5000		1
82	彩·痛击·斩铁·狂攻(陆)	5	12492	5000		1
83	彩·痛击·斩铁·锐刃(陆)	5	12498	5000		1
84	彩·痛击·大化·狂攻(陆)	5	12504	5000		1
85	彩·痛击·大化·斩铁(陆)	5	12510	5000		1
86	彩·痛击·大化·锐刃(陆)	5	12516	5000		1
87	彩·心眼·锐刃·狂攻(陆)	5	12522	5000		1
88	彩·心眼·锐刃·斩铁(陆)	5	12528	5000		1
89	彩·心眼·锐刃·痛击(陆)	5	12534	5000		1
90	彩·心眼·斩铁·狂攻(陆)	5	12540	5000		1
91	彩·心眼·斩铁·锐刃(陆)	5	12546	5000		1
92	彩·心眼·斩铁·痛击(陆)	5	12552	5000		1
93	彩·心眼·痛击·狂攻(陆)	5	12558	5000		1
94	彩·心眼·痛击·斩铁(陆)	5	12564	5000		1
95	彩·心眼·痛击·锐刃(陆)	5	12570	5000		1
96	彩·心眼·大化·狂攻(陆)	5	12576	5000		1
97	彩·心眼·大化·斩铁(陆)	5	12582	5000		1
98	彩·心眼·大化·锐刃(陆)	5	12588	5000		1
99	彩·心眼·大化·痛击(陆)	5	12594	5000		1
100	彩·无双·锐刃·狂攻(陆)	5	12600	5000		1
101	彩·无双·锐刃·斩铁(陆)	5	12606	5000		1
102	彩·无双·锐刃·痛击(陆)	5	12612	5000		1
103	彩·无双·斩铁·狂攻(陆)	5	12618	5000		1
104	彩·无双·斩铁·锐刃(陆)	5	12624	5000		1
105	彩·无双·斩铁·痛击(陆)	5	12630	5000		1
106	彩·无双·痛击·狂攻(陆)	5	12636	5000		1
107	彩·无双·痛击·斩铁(陆)	5	12642	5000		1
108	彩·无双·痛击·锐刃(陆)	5	12648	5000		1
109	彩·大御·锐刃·狂攻(陆)	5	12654	5000		1
110	彩·大御·锐刃·斩铁(陆)	5	12660	5000		1
111	彩·大御·锐刃·痛击(陆)	5	12666	5000		1
112	彩·大御·斩铁·狂攻(陆)	5	12672	5000		1
113	彩·大御·斩铁·锐刃(陆)	5	12678	5000		1
114	彩·大御·斩铁·痛击(陆)	5	12684	5000		1
115	彩·大御·痛击·狂攻(陆)	5	12690	5000		1
116	彩·大御·痛击·斩铁(陆)	5	12696	5000		1
117	彩·大御·痛击·锐刃(陆)	5	12702	5000		1
118	彩·大御·大化·狂攻(陆)	5	12708	5000		1
119	彩·大御·大化·斩铁(陆)	5	12714	5000		1
120	彩·大御·大化·锐刃(陆)	5	12720	5000		1
121	彩·大御·大化·痛击(陆)	5	12726	5000		1
122	彩·大化·锐刃·狂攻(陆)	5	12732	5000		1
123	彩·大化·锐刃·斩铁(陆)	5	12738	5000		1
124	彩·大化·锐刃·痛击(陆)	5	12744	5000		1
125	彩·大化·斩铁·狂攻(陆)	5	12750	5000		1
126	彩·大化·斩铁·锐刃(陆)	5	12756	5000		1
127	彩·大化·斩铁·痛击(陆)	5	12762	5000		1
128	彩·大化·痛击·狂攻(陆)	5	12768	5000		1
129	彩·大化·痛击·斩铁(陆)	5	12774	5000		1
130	彩·大化·痛击·锐刃(陆)	5	12780	5000		1
131	彩·灵根·烈阳·日炎(陆)	5	12786	5000		1
132	彩·灵根·烈阳·浴火(陆)	5	12792	5000		1
133	彩·灵根·雷鸣·混沌(陆)	5	12798	5000		1
134	彩·灵根·雷鸣·霹雳(陆)	5	12804	5000		1
135	彩·灵根·霜冷·冻髓(陆)	5	12810	5000		1
136	彩·灵根·霜冷·杯雪(陆)	5	12816	5000		1
137	彩·灵根·鹤顶·腐心(陆)	5	12822	5000		1
138	彩·灵根·鹤顶·穿石(陆)	5	12828	5000		1
139	彩·灵根·日炎·烈阳(陆)	5	12846	5000		1
140	彩·灵根·日炎·浴火(陆)	5	12852	5000		1
141	彩·灵根·混沌·雷鸣(陆)	5	12858	5000		1
142	彩·灵根·混沌·霹雳(陆)	5	12864	5000		1
143	彩·灵根·冻髓·霜冷(陆)	5	12870	5000		1
144	彩·灵根·冻髓·杯雪(陆)	5	12876	5000		1
145	彩·灵根·腐心·鹤顶(陆)	5	12882	5000		1
146	彩·灵根·腐心·穿石(陆)	5	12888	5000		1
147	彩·灵根·浴火·烈阳(陆)	5	12906	5000		1
148	彩·灵根·浴火·日炎(陆)	5	12912	5000		1
149	彩·灵根·霹雳·雷鸣(陆)	5	12918	5000		1
150	彩·灵根·霹雳·混沌(陆)	5	12924	5000		1
151	彩·灵根·杯雪·霜冷(陆)	5	12930	5000		1
152	彩·灵根·杯雪·冻髓(陆)	5	12936	5000		1
153	彩·灵根·穿石·鹤顶(陆)	5	12942	5000		1
154	彩·灵根·穿石·腐心(陆)	5	12948	5000		1
155	彩·灵根·大化·烈阳(陆)	5	12966	5000		1
156	彩·灵根·大化·雷鸣(陆)	5	12972	5000		1
157	彩·灵根·大化·霜冷(陆)	5	12978	5000		1
158	彩·灵根·大化·鹤顶(陆)	5	12984	5000		1
159	彩·灵根·大化·日炎(陆)	5	12996	5000		1
160	彩·灵根·大化·混沌(陆)	5	13002	5000		1
161	彩·灵根·大化·冻髓(陆)	5	13008	5000		1
162	彩·灵根·大化·腐心(陆)	5	13014	5000		1
163	彩·灵根·大化·浴火(陆)	5	13026	5000		1
164	彩·灵根·大化·霹雳(陆)	5	13032	5000		1
165	彩·灵根·大化·杯雪(陆)	5	13038	5000		1
166	彩·灵根·大化·穿石(陆)	5	13044	5000		1
167	彩·真元·烈阳·日炎(陆)	5	13056	5000		1
168	彩·真元·烈阳·浴火(陆)	5	13062	5000		1
169	彩·真元·雷鸣·混沌(陆)	5	13068	5000		1
170	彩·真元·雷鸣·霹雳(陆)	5	13074	5000		1
171	彩·真元·霜冷·冻髓(陆)	5	13080	5000		1
172	彩·真元·霜冷·杯雪(陆)	5	13086	5000		1
173	彩·真元·鹤顶·腐心(陆)	5	13092	5000		1
174	彩·真元·鹤顶·穿石(陆)	5	13098	5000		1
175	彩·真元·日炎·烈阳(陆)	5	13116	5000		1
176	彩·真元·日炎·浴火(陆)	5	13122	5000		1
