Level(这列不读,以表的行号决定等级,从1开始)	Exp
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	40
11	42
12	44
13	46
14	48
15	50
16	52
17	54
18	56
19	60
20	62
21	64
22	66
23	68
24	70
25	72
26	74
27	76
28	78
29	80
30	100
31	102
32	104
33	106
34	108
35	110
36	112
37	114
38	116
39	118
40	140
41	142
42	144
43	146
44	148
45	150
46	152
47	154
48	156
49	158
50	180
51	182
52	184
53	186
54	188
55	190
56	192
57	194
58	196
59	198
60	222
61	224
62	226
63	228
64	230
65	232
66	234
67	236
68	238
69	240
70	362
71	364
72	366
73	368
74	370
75	372
76	374
77	376
78	378
79	380
80	382
81	384
82	386
83	388
84	390
85	392
86	394
87	396
88	398
89	400
90	402
91	404
92	406
93	408
94	410
95	412
96	828
97	832
98	836
99	840
100	844
101	848
102	852
103	856
104	860
105	864
106	868
107	872
108	876
109	880
110	884
111	888
112	892
113	896
114	900
115	904
116	908
117	912
118	916
119	920
120	924
