MapID	Level	PriorityMapID
6	48	34
6	19	13
6	19	10
6	19	9
6	19	12
8	48	34
8	19	9
8	19	12
8	19	13
8	19	10
9	36	18
9	0	21
9	0	22
10	69	61
10	48	28
12	48	26
13	28	14
15	50	153
15	48	34
15	19	12
15	19	23
15	19	10
15	19	9
15	19	13
21	0	35
21	0	9
21	0	159
22	55	33
22	0	25
22	0	101
23	0	30
30	0	27
30	0	23
35	0	100
35	0	21
100	0	106
100	0	108
100	0	101
101	0	107
101	0	100
101	0	22
102	72	71
102	49	21
102	0	108
102	0	104
102	0	101
103	76	110
103	0	108
103	0	104
104	77	75
104	0	103
108	0	103
108	0	100
108	0	153
122	16	105
139	0	151
139	0	156
150	16	142
151	0	158
151	0	139
151	0	160
153	78	157
153	78	167
153	75	156
153	75	108
156	86	162
156	86	163
156	86	164
156	86	165
156	83	161
156	0	153
156	0	139
158	0	151
159	16	169
159	0	21
160	87	170
