ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
48269	屈焰阳	龙图卫首				28				97			50	6				704800	14280000			100000					50						0	252	252	252	252	252		500	500	500	500	500		48269		227	13	227	101	14045	3		16	1	1024	20	10																									99999999			剑胆琴心\Raid仙侣庭园10人挑战\gear_1_1.tab	1	剑胆琴心\Raid仙侣庭园10人挑战\gear_1_2.tab	1					49745										1392	100000	100000	1048576	10人挑战永王行宫_仙侣庭园					1			0		0		0					scripts\Map\10人挑战永王行宫_仙侣庭园\1号\屈焰阳.lua					154	150									3000	10000	-1									254	1				15	1226	0	1																																																						28					0	0	0	0	0				6				1															999999				1					1024	1																
48270	龙图刺客	龙图卫				28				97			27	5				0	66000			88888					20								35	35	35	35			500	500	500	500		48270						28	1	39		1	1024	29	10																									99999999											49746										2				10人挑战永王行宫_仙侣庭园					1			0		0		0					scripts\Map\永王行宫_仙侣庭园\1号\龙图刺客.lua															2000		-1									188	1				13	945	0	1																																																						28					0	0	0	0	0																							99999									35	1																
48271	龙图箭卫	龙图卫				28				96			2	5				704800	39600			712131					22						62	38	38	38	38	38		224	94	94	94	94		48271		294749	147368	294749	147368	28	1	28		1	1024	18	10																									9999999											49747										2				10人挑战永王行宫_仙侣庭园					1			0		0		0					scripts\Map\永王行宫_仙侣庭园\1号\龙图箭卫.lua																9500	-1									510	1				13	860	0	1																																																						28					0	0	0	0	0																							99999										0			0													
48272	李璘	永王				26				97				6				704800	7059600			100000					30	10000					62	252	252	252	252	252		750	750	750	750	750		48272		239521	3782	663168	331584	28	1	34		1	1024	24	10																									99999999											49748										1392				10人挑战永王行宫_仙侣庭园					1	1		0		0		0					scripts/Map/10人挑战永王行宫_仙侣庭园/5号/npc/npc免死脚本.lua															3000	9500	-1									254	1				15	945	0	5																																																						26					0	0	0	0	0								1															6400				1					1024	1																
48273	苏十三娘	永王爱侣				26				97			36	6				704800	7059600			100000					30	10000					62	252	252	252	252	252		750	750	750	750	750		48273		56729	5043	859663	429838	28	1	30		1	1024	20	10																									99999999											49749										1392				10人挑战永王行宫_仙侣庭园					1	1		0		0		0					scripts/Map/10人挑战永王行宫_仙侣庭园/5号/npc/npc免死脚本.lua															3000		-1									254	1				15	945	0	5																																																						26					0	0	0	0	0								1															6400				1					1024	1																
48274	剑墙					28		9		96			24	6	0	0		704800	99999999			7650323					7						62	38	38	38	38	38		224	94	94	94	94		48274		1155180	577584	1155180	577584	28	1	43		1	1024	33	10																									4800											49750										2				10人挑战永王行宫_仙侣庭园					1			0		0		0																				500		3840							0		3070	1				15	860	0																																																							28					0	0	0	0	0																							2560										1																
48275	飞花蝶舞					28				96				5				704800	24000			7650323					12						62	38	38	38	38	38		224	224	224	224	224		48275		1155180	577584	1155180	577584	28	1	43		1	1024	33	10																									4800											49751										2				10人挑战永王行宫_仙侣庭园					1			0		0		0																						3840									254	1				13	860	0																																																												0	0	0	0	0																							2560										1																
48276	八荒阵眼					28				96				5				704800	18000			7650323					22						62	38	38	38	38	38		10	10	10	10	10		48276		1155180	577584	1155180	577584	28	1	43		1	1024	33	10																									4800											49752										2				10人挑战永王行宫_仙侣庭园					1			0		0		0																						3840							0		254	1				13	860	0																																																												0	0	0	0	0																							2560										1																
48277						28		9		96			18	5	0	0		704800	99999999			7650323					22						62	38	38	38	38	38		224	94	94	94	94		48277		1155180	577584	1155180	577584	28	1	43		1	1024	33	10																									4800											49753										2				10人挑战永王行宫_仙侣庭园					1			0		0		0																						3840							0		3070	1				13	860	0																																																							28					0	0	0	0	0																							2560								0		1																
48278						28		9		96				5	0	0		704800	99999999			7650323					22						62	38	38	38	38	38		224	94	94	94	94		48278		1155180	577584	1155180	577584	28	1	43		1	1024	33	10																									4800											49754														10人挑战永王行宫_仙侣庭园					1			0		0		0																						3840							0		3070	1				13	860	0																																																												0	0	0	0	0																							2560								0		1																
48279	文君剑牢					28		9		96				6	0	0		704800	99999999			7650323					22						62	38	38	38	38	38		224	94	94	94	94		48279		1155180	577584	1155180	577584	28	1	43		1	1024	33	10																									4800											49755														10人挑战永王行宫_仙侣庭园					1			0		0		0																				500		3840									3070	1				15	860	0																																																							28					0	0	0	0	0																							2560										1																
48280	相如剑牢					28				96				5				704800	100000			10					22						62	38	38	38	38	38		224	224	224	224	224		48280		1155180	577584	1155180	577584	28	1	43		1	1024	33	10																									4800											49756										2				10人挑战永王行宫_仙侣庭园					1			0		0		0																				500		3840									254	1				13	860	0																																																												0	0	0	0	0																							2560										1																
