ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
104104	天怒惊霆戟					28	3	5		113			42	6				704800	15470000			54009806					22	10000	10000	10000	10000	10000	0	2080	2080	2080	2080	2080		11966	11966	11966	11966	11966		104104		0	0	0	0																															0	0	99999999											76673										2				25人普通白帝江关					1			0		0		0																				4000	10000	-1								0	254					15	1544		3																																																						28					0	0	0	0	0																							2048									1024	1																
104105	赵八嫂	鱼木寨寨主				28				113				6				704800	592450000			3151859					30	10000	10000	10000	10000	10000	0	2912	2912	2912	2912	2912		11966	11966	11966	11966	11966		104105		2658	0	0	0	26216	2	16				24																										99999											76382										1392				25人普通白帝江关					1			0		0		0					scripts/Map/白帝江关/Npc/2号_赵八嫂/赵八嫂.lua															4000	10000	-1									254					15	1544	0	2																																																						28					0	0	0	0	0								1															2048				1					1024	1											1	0.15		0		
104106						28		9		111			832		0	0		704800	999999999								22																			104106						28	1																															99999											77048										2				25人普通白帝江关			3		1			0		0		0					scripts/Map/白帝江关/Npc/1号_胡汤/粉尘区.lua																	-1							0		254																																																														28					0	0	0	0	0																							2048										0						0										
104107	叶春生	接引人				26				112			55	5				0	277828000			250045					30	10000	10000	10000	10000	10000	0	1982	1982	1982	1982	1982		7060	7060	7060	7060	7060		104107		3021	1510	3021	1510	28	1	11				1	10																									99999999											77049														25人普通白帝江关										0		0					scripts/Map/白帝江关/Npc/功能NPC/内部接引人.lua															4000	10000	-1									3071					7	1544																																																													0	0	0	0	0																																512	1																
104108	水鬼					28	7			112				5				0	31875000			1687806					30	10000	10000	10000	10000	10000	0	1982	1982	1982	1982	1982		7060	7060	7060	7060	7060		104108		10410	5205	10410	5205	23669	2																															99999999											76430										2				25人普通白帝江关					1			0		0		0																				4000	10000	-1								5	254					13	1544																																																								28					0	0	0	0	0																																512	1																
104109						28				112			192		0	0		180	999999999								22																			104109																																						4800											76528	76833	76834	76835							2				25人普通白帝江关					1			0		0		0																						3840							0		254								5																																																						28					1024	1024	1024	1024	1024																							2048										0	1					0								0		
104110						28	15	9		110			55		0	0		0	99999999							128	32	10000	10000	10000	10000	10000														104110																																				0	0	999999																									25人普通白帝江关					1			0		0		0																		0				-1							0	0	254						1544		2																																																						28					0	0	0	0	0																							2048										1						0								0		
104111						28	5			110			103		0	0		0	69457			62511					30						182	60	60	60	60	60		140	13	13	13	13		104111		995	496	995	496																																	99999999											77055														25人普通白帝江关					1			0		0		0																						-1							0		254						3750		2																																																											0	0	0	0	0																																	1																
104112						26	15	9		111			41		0	0		259200	100000								22																			104112						28	1	43		1	1024	33	10																									9999																									25人普通白帝江关					1			0		0		0																						-1							0		0								2																																																											0	0	0	0	0																																	1																
104113						28	15	9							0	0		704800	99999999								30																			104113						28	1																															99999999											77056														25人普通白帝江关					1			0		0		0																						-1							0		254						4		7																																																						28					0	0	0	0	0																							2048										1						0								0		
104114	宇文灭	十二连环坞大将军				28				113			80	6				704800	346995000			3151859					30	10000	10000	10000	10000	10000	0	2080	2080	2080	2080	2080		11966	11966	11966	11966	11966		104114		2658	0	0	0	26200	2	24				24																										99999											76424	76425									1392				25人普通白帝江关					1			0		0		0					scripts/Map/白帝江关/Npc/5号_宇文灭/5号_宇文灭.lua															1	10000	-1									254					15	1544	136800	5																																																						28					0	0	0	0	0								1															2048				1					1024	1											1	0.3		0	2	
104115						28	2			112				5	0			0	999999999			1687806					30	10000	10000	10000	10000	10000	0	1982	1982	1982	1982	1982		7060	7060	7060	7060	7060		104115		10410	5205	10410	5205	21426	1																															99999999											76674										2				25人普通白帝江关					1			0		0		0					scripts/Map/白帝江关/Npc/3号_海荼/抓人水鬼.lua															4000	10000	-1							0	5	254					13	1544																																																								28					0	0	0	0	0																																512	1	1					0										
104116						26		9		113					0	0		704800	99999999								30																			104116																																						9999																									25人普通白帝江关					1			0		0		0																						-1							0		254						4370		6																																																						26					0	0	0	0	0																							2048										1																
104117						26	15	9		111			41		0	0		259200	100000								22																			104117						28	1	43		1	1024	33	10																									9999																									25人普通白帝江关					1			0		0		0																						-1							0		0								2																																																											0	0	0	0	0																																	1																
104118						26		9		112					0	0		704800	99999999								30																			104118																																				0	0	99999999																									25人普通白帝江关					1			0		0		0																		0				-1							0	0	3071						1544		3																																																						26					0	0	0	0	0																							2048										1						0								0		
