ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
21073	刘伟雄			2	0	26	1	1	0	98	0	950	1		1	1		180	62464	0	0	56217	0	0	100	6	22	9000	0	0	0	0	182	60	60	60	60	60	1024	140	13	13	13	13	0	21073	1	528	264	528	264	28	1	30	0	1	1024	20	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	35205	0	0	0	0	0	0	0	0	0		417	1256	838860	80安史之乱天策	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	3	1700	589	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0											0						1										
21084	杨宁	壮武将军		2	0	13	1	1	0	99	0	950	1	2	1	1		180	183114543	0	0	164803089	0	0	100	6	22	9000	0	0	0	0	0	314	314	314	314	314	1024	469	40	40	40	40	0	21084	1	11539	5770	11539	5770	28	1	33	0	1	1024	23	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	32608	0	0	0	0	0	0	0	0	0		19138	58500	838860	80安史之乱天策	12	0	1	1	0	0	<G>安史二人犯上作乱，必有天诛！	100		0		0					scripts\Map\天策_安史之乱\npc\杨宁.lua			传授武功		0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1	0	960	2	1437	27055	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	13			0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0											0	1					1								0		
21085	卢晓枚	无忌营昭武副尉				26				98									62464			56217											182	60	60	60	60	60		140	13	13	13	13		21085		528	264	528	264	28	1	30		1	1024	20	10																																				32508											449	1356	838860	80安史之乱天策																																0	9000											0					1700	625																																																							26																																										0						1										
21086	冯一鸣									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21086		4	2	4	2																																												32509											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21087	苏卓琳									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21087		4	2	4	2																																												32510											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21088	熊守刚									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21088		4	2	4	2																																												32511											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21089	李啸横	变节者				28				97				4				20	207398			186658											154	266	266	266	266	266		250	23	23	23	23		21089		1451	726	1451	726	28	1	30		1	1024	20	10																																				32512											1095	3343	838860	80安史之乱天策																																0	9000									5		0				4	1226	1530																																																							28																																										0						1								0		
21090	冯志平									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21090		4	2	4	2																																												32513											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21091	冯未									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21091		4	2	4	2																																												32514											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21092	冯末									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21092		4	2	4	2																																												32515											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21093	11					26				98									62464			56217											182	60	60	60	60	60		140	13	13	13	13		21093		528	264	528	264																																												32516											449	1356	838860	80安史之乱天策																																0	9000											0					1700	625																																																							26																																										0						1										
21094	麦过									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21094		4	2	4	2																																												32517											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21095	惜莲									1									13			12											8	3	3	3	3	3		6	1	1	1	1		21095		4	2	4	2																																												32518											1	2	629145	80安史之乱天策																																0	9000											0					4	54																																																																																																	0						1										
21096	秦淑仪					26				98									62464			56217											182	60	60	60	60	60		140	13	13	13	13		21096		528	264	528	264																																												32519											465	1406	838860	80安史之乱天策																																0	9000											0					1700	644																																																							26																																										0						1										
