ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
64932	轻生亦剑知	北雁落知南言				26				100			55	6					86512																											64932						28	1	30		1	1024	20	10																																				67279														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64933	瑾茗	沐风剑来				26				100				6					86512																											64933						28	1							0	0							0	0																										67280	71635	71636												ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64934	大盾侠	赴梦				26				100				6					86512																											64934						28	1	32				22	10																																				67281	67377													ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64935	陆陆桑	举杯邀明月				26				100				6					86512																											64935						28	1																																										67282	67376													ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64936	云辞	水漾春山影				26				100				6					86512																											64936						28	1																																										67283	67375													ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64937	道德	云外				26				100			56	6					86512																											64937						28	1																																										67284	67374													ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64938	活不了	唯有南风旧相识				26				100				6					86512																											64938						28	1																																										67285														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64939	小小叶子	未知何处是潇湘				26				100				6					86512																											64939						28	1							0	0							0	0																										67286	71618	71619												ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64940	山翠沾衣	风义				26				100				6					86512																											64940						28	1																																										67287														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64941	屁屁的奶歌	精神小伙汁				26				100			36	6					86512																											64941						28	1	30				20	10																																				67288														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64942	慕月淅	昨宵风雨				26				100			33	6					86512																											64942						28	1																																										67289														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64943	卡尔	想吃点爱情的苦				26				100				6					86512																											64943						28	1																																										67290														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64944	泽喵喵	临江暮雪				26				100				6					86512																											64944						28	1																																										67291														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64945	一只肥猫	沧海				26				100				6					86512																											64945						28	1																																										67292														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64946	君莫羁	一柄长剑桀骜				26				100			50	6					86512																											64946						28	1																																										67293														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64947	无妄诗	号在脸上送				26				100				6					86512																											64947						28	1																																										67294														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64948	洛洛	五七万歌杀疯了				26				100				6					86512																											64948						28	1																																										67295														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64949	浅陌轻语	山水不相逢				26				100				6					86512																											64949						28	1																																										67296														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64950	昼儿	别赋				26				100				6					86512																											64950						28	1																																										67297														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64951	非宝的碧蝶	先试试这个配置行不行				26				100			38	6					86512																											64951						28	1							0	0							0	0																										67298	71631	71632												ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
64952	柳维维	无惧				26				100				6					86512																											64952						28	1																																										67299														ACT_19年大师应援npc																	scripts/Map/ACT_19年大师赛氛围/NPC/选手脚本.lua																																1544																																																																																																																		
