ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
55380	白天PQ总控					0												180									22																			55380																																						4800																									ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55382	沙叱博	雷狼				28				98				6				0	300000000			30195537					30						0	250	250	250	250	250		1350	1350	1350	1350	1350		55382		20000	2000	16040	8020	28	1	43		1	1024	33	10																									99999999											57365										6133				ACT_峰值201611					1			0		0		0					scripts/Map/ACT_峰值201611/npc/六狼死亡.lua															1600	10000	-1									254					15	1030	60083																																																												0	0	0	0	0																																800	1					2											
55383	阿史那从礼	天狼				28				98				6				0	300000000			30195537					30						0	250	250	250	250	250		1350	1350	1350	1350	1350		55383		20000	2000	11937	5968	28	1	31		1	1024	21	10																									99999999											57366										6133				ACT_峰值201611					1			0		0		0					scripts/Map/ACT_峰值201611/npc/六狼死亡.lua															1600	10000	-1									254					15	1030	60083																																																												0	0	0	0	0																																800	1					2											
55384	葛尔东赞	风狼				28				98				6				0	300000000			30195537					30						0	250	250	250	250	250		1350	1350	1350	1350	1350		55384		20000	500	11937	5968	28	1																															99999999											57369										6133				ACT_峰值201611					1			0		0		0					scripts/Map/ACT_峰值201611/npc/六狼死亡.lua															1600	10000	-1									254					15	1030	60083																																																												0	0	0	0	0																																800	1					2											
55385	尹素颜	水狼				28				98				6				0	300000000			30195537					30						0	290	250	250	250	250		1350	1350	1350	1350	1350		55385		20000	500	11937	5968	28	1																															99999999											57367										6133				ACT_峰值201611					1			0		0		0					scripts/Map/ACT_峰值201611/npc/六狼死亡.lua															1600	10000	-1									254					15	1030	60083																																																												0	0	0	0	0																																800	1					2											
55386	曹炎烈	山狼				28				98				6				0	300000000			30195537					30						0	250	250	250	250	250		1350	1350	1350	1350	1350		55386		20000	200	16040	8020	28	1																															99999999											57368										6133				ACT_峰值201611					1			0		0		0					scripts/Map/ACT_峰值201611/npc/六狼死亡.lua															1600	10000	-1									254					15	1030	60083																																																												0	0	0	0	0																																800	1			0		2											
55387						26		9							0	0		0	99999999			4					30						8	3	3	3	3	3		6						55387		3	2	3	2																																	99999999																					6133				ACT_峰值201611					1			0		0		0																						-1							0		254						2	78																																																												0	0	0	0	0																																	1					2											
55388						26		9							0	0		0	99999999			4					30						8	3	3	3	3	3		6						55388		3	2	3	2																																	99999999																					6133				ACT_峰值201611					1			0		0		0																						-1							0		254						2	78																																																												0	0	0	0	0																																	1					2											
55389	风狼战斗总控					26												0	10000000								30																			55389																																						99999999																					6133				ACT_峰值201611								0		0		0																						-1									254						2																																																													0	0	0	0	0																																	1					2											
55390	水狼战斗总控					26												0									30																			55390																																						99999999																					6133				ACT_峰值201611								0		0		0																						-1									254																																																																			0	0	0	0	0																																	1					2											
55391						26									0	0		0									30																			55391																																						99999999																					6133				ACT_峰值201611								0		0		0																						-1							0		4095						2																																																													0	0	0	0	0																																	1					2											
55401	追命箭矢·红					28		3		95			24					704800	999990			24751					8						126	42	42	42	42	42		97	9	9	9	9		55401		412	206	412	206	28	1	43		1	1024	33	10																									99999999											57376										6133				ACT_峰值201611					1			0		0		0																						-1							0		1022	1					775	0																																																												0	0	0	0	0																							2048										1					2											
55402	追命箭矢·蓝					28		3		95			24					704800	999990			24751					8						126	42	42	42	42	42		97	9	9	9	9		55402		412	206	412	206	28	1	43		1	1024	33	10																									99999999											57377										6133				ACT_峰值201611					1			0		0		0																						-1							0		1022	1					775	0																																																												0	0	0	0	0																							2048										1					2											
55403						28		9		95			641		0	0		704800	99999999								15																			55403						28	1	43		1	1024	33	10																									99999999											57378										6133				ACT_峰值201611					1			0		0		0																						-1							0		3070	1					775	0																																																												0	0	0	0	0																							2048										1					2											
55408	安禄山					0												180									22																			55408						5511	1																															4800											57386														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55409	魂墟·夜幕星河					28							37					180									22																			55409						28	1	43		1	1024	33	10																									4800											57387														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55410	魂墟·落石					28												180									22																			55410						28	1	43		1	1024	33	10																									4800											57388														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55412	阿依努尔	火狼				28				98				6				0	300000000			30195537					30						0	290	250	250	250	250		1350	1350	1350	1350	1350		55412		20000	500	11937	5968	28	1																															99999999											57390										6133				ACT_峰值201611					1			0		0		0					scripts/Map/ACT_峰值201611/npc/六狼死亡.lua															1600	10000	-1									254					15	1030	60083																																																												0	0	0	0	0																																800	1					2											
55413	火狼战斗总控					26												0	10000000								30																			55413																																						99999999																					6133				ACT_峰值201611								0		0		0																						-1									254						2																																																													0	0	0	0	0																																	1					2											
55414						0							18124		0	0		180									22																			55414						28	1	43		1	1024	33	10																									4800											57391														ACT_峰值201611								0		0		0																						3840							0		0						2																																																													1024	1024	1024	1024	1024																																	0	1															
55415						0							18124		0	0		180									22																			55415						28	1	43		1	1024	33	10																									4800											57392														ACT_峰值201611								0		0		0																						3840							0		0						2																																																													1024	1024	1024	1024	1024																																	0	1				2											
55416	雷狼之血					28												0									30																			55416						28	1																															99999999											57393										6133				ACT_峰值201611								0		0		0																						-1									254																																																																			0	0	0	0	0																																	1					2											
55417	靛云					28				97				5				0	3000000			828116					20						0	156	156	156	156	156		250	23	23	23	23		55417		4365	2183	4365	2183	28	1																															99999999											57394										6133				ACT_峰值201611					1			0		0		0																						-1									254					13	945	4986																																																												0	0	0	0	0																																	1					2											
55418	蓝语涟					28				97				5				0	1200000			828116					15						0	156	156	156	156	156		250	23	23	23	23		55418		4365	2183	4365	2183	28	1																															99999999											57395										6133				ACT_峰值201611					1			0		0		0																						-1									254					13	945	4986																																																												0	0	0	0	0																																	1					2											
55419	金龙渊					28				97				5				0	1200000			828116					15						0	156	156	156	156	156		250	23	23	23	23		55419		4365	2183	4365	2183	28	1																															99999999											57396										6133				ACT_峰值201611					1			0		0		0																						-1									254					13	945	4986																																																												0	0	0	0	0																																	1					2											
55420	鸢戾天					28				97				5				0	1200000			828116					15						0	156	156	156	156	156		250	23	23	23	23		55420		4365	2183	4365	2183	28	1																															99999999											57397										6133				ACT_峰值201611					1			0		0		0																						-1									254					13	945	4986																																																												0	0	0	0	0																																	1					2											
55421	鬼使黑					0							47					180									22																			55421						17167	1	21				11	10	17168	1																							4800											57402														ACT_峰值201611								0		0		0																						3840									0						2																																																													1024	1024	1024	1024	1024																																	0					2											
55423	象怪					0												180									22																			55423						17160	1							17161	1																							4800											57404														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55424	白鬼男					0												180									22																			55424						17157	1	30				20	10	17164	1																							4800											57405														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55425	鬼使白					0												180									22																			55425						17167	1	21				11	10	17168	1																							4800											57406														ACT_峰值201611								0		0		0																						3840									0						2																																																													1024	1024	1024	1024	1024																																	0					2											
55426	花灯妖					0												180									22																			55426						17169	1							17166	1																							4800											57407														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55427	灯笼妖					0							47					180									22																			55427						17169	1							17166	1																							4800											57409														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55428	白鬼女					0							47					180									22																			55428						17157	1	30				20	10	17164	1																							4800											57408														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55429	醉猿怪					0												180									22																			55429						17162	1							17163	1																							4800											57410														ACT_峰值201611								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
55430	PQ总控_逆改阴阳_扬州					26		9		95									27501			24751											126	42	42	42	42	42		97	9	9	9	9		55430		412	206	412	206																																																										ACT_峰值201611																																0	9000											1					775	712																																																																																																																	
55431						26		9		95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		55431		412	206	412	206																																	4800																									ACT_峰值201611								0		0		0																				0	9000	3840							0		0	0					775	712																																																												1024	1024	1024	1024	1024																																	0																
55432						26		5		95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		55432		412	206	412	206	28	1																															4800											57412										2				ACT_峰值201611								0		0		0					scripts/Map/ACT_峰值201611/npc/通用PQ杂兵脚本.lua																	3840							0	9	0						775	712																																																												1024	1024	1024	1024	1024																																	0																
55433						26		9		95			92		0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		55433		553	277	553	277	28	1	43		1	1024	33	10																									4800											57411										2				ACT_峰值201611								0		0		0					scripts/Map/ACT_峰值201611/npc/通用PQ杂兵脚本.lua																	3840							0	9	0						775	712																																																							26					1024	1024	1024	1024	1024																																	0																
55434	高阶阴阳师					28				95				5				180	2304000			693012					0						0	139	139	139	139	139		161	19	19	19	19		55434		576	288	576	288	59	1	28		8		18	10	28	1	28																						4800											57414														ACT_峰值201611				6	1			0		0		0					scripts/Map/ACT_峰值201611/npc/逆转阴阳_阴阳师死亡.lua																	3840								9	510					13	775	4944																																																												0	0	0	0	0																																	1			1													
