ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
69922	苏紫樱					0				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		69922		584	291	584	291	28	1																															4800											71837											705	2156	838860	ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家.lua																	3840									0						1544																																																													1024	1024	1024	1024	1024																																	0													1			
70101	温辞秋					26				100						0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		70101		584	291	584	291	28	1																															4800											71997											705	2156	838860	ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家.lua																	3840									0						1544																																																								26					1024	1024	1024	1024	1024																																	0	1					0										
70102	戴厄仁	独行大盗				28				123				6				180	32400000			3375612					22	10000	10000	10000	10000	10000	0	1018	1018	1018	1018	1018		26317	26317	26317	26317	26317		70102		8300	100	8300	100	28	1																															4800											71992														ACT_家园管家					1			0		0		0					scripts/Map/ACT_家园管家/npc/周常BOSS死亡.lua															3000	10000	3840									254					5	10540																																																								28					0	0	0	0	0																																1536	1			1													
70111	周常总控					26		9										180	13			12					22						8	3	3	3	3	3		6						70111		4	2	4	2																																	4800																						1	2	629145	ACT_家园管家			0					0		0		0																						3840									0						4	54																																																							26					1024	1024	1024	1024	1024																																	0																
70386	温折枝					26				100						0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		70386		584	291	584	291	28	1																															4800											72017											705	2156	838860	ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家.lua																	3840									0						1544																																																								26					1024	1024	1024	1024	1024																																	0	1					0										
70559	年小鹿					26				100						0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		70559		584	291	584	291	28	1																															4800											72069											705	2156	838860	ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家.lua																	3840									0						1544																																																								26					1024	1024	1024	1024	1024																																	0	1					0										
70560	年小熊					26				100						0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		70560		584	291	584	291	28	1																															4800											72070											705	2156	838860	ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家.lua																	3840									0						1544																																																								26					1024	1024	1024	1024	1024																																	0	1					0										
70625	茸茸					26				100						0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		70625		584	291	584	291	28	1																															4800											72125											705	2156	838860	ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家.lua																	3840									0						1544																																																								26					1024	1024	1024	1024	1024																																	0	1					0										
70680						26				100					0			180									22																			70680																																						4800																									ACT_家园管家								0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0																
103538	春节温辞秋					0												180									22																			103538						28	1																															4800											76542														ACT_家园管家								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
103539	春节温折枝					0												180									22																			103539						28	1																															4800											76543														ACT_家园管家								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
103540	春节年小鹿					0												180									22																			103540						28	1																															4800											76544														ACT_家园管家								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
103541	春节年小熊					0												180									22																			103541						28	1																															4800											76545														ACT_家园管家								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
103542	春节茸茸					0												180									22																			103542						28	1																															4800											76546														ACT_家园管家								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
106766	温辞秋					26				100			34					180	40000			40000					22		100	100	100	100	0	1	1	1	1	1		1						106766		584	291	584	291	29265	1	16				0	0																									4800											79339											705	2156		ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家_战斗辅助.lua																10000	3840									0						1544																																																								26					1024	1024	1024	1024	1024																																	0	1		1													
106767	温折枝					26				100			34					180	40000			40000					22		100	100	100	100	0	1	1	1	1	1		1						106767		584	291	584	291	29265	1	16				0	0		1								1															4800											79340											705	2156		ACT_家园管家							<G>哎呀。	1000		0		0					scripts/Map/ACT_家园管家/npc/管家_战斗辅助.lua																10000	3840									0						1544																																																								26					1024	1024	1024	1024	1024																																	0	1		1													
