ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
51753	蓬莱弟子					0				95			34			0		180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		51753		450	224	450	224	28	1	30				20	10																									4800											53394											625	1906	838860	ACT_世外蓬莱预热								0		0		0																						3840							0		0						1019	865																																																												1024	1024	1024	1024	1024																																	0						0										
51760	蓬莱弟子					0				95			34			0		180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		51760		450	224	450	224	28	1	30				20	10																									4800											53401											625	1906	838860	ACT_世外蓬莱预热								0		0		0																						3840							0		0						1019	865																																																												1024	1024	1024	1024	1024																																	0						0										
51868	蓬莱弟子					0				95			34			0		180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		51868		450	224	450	224	28	1	30				20	10																									4800											53526	0	0	0	0	0	0	0	0	0		625	1906	838860	ACT_世外蓬莱预热								0		0		0																						3840							0		0						1019	865																																																												1024	1024	1024	1024	1024																																	0						0										
51878	蓬莱弟子					0				95			61			0		180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		51878		450	224	450	224	28	1	30				20	10																									4800											53537	0	0	0	0	0	0	0	0	0		625	1906	838860	ACT_世外蓬莱预热								0		0		0																						3840							0		0						1019	865																																																												1024	1024	1024	1024	1024																																	0						0										
51920	蓬莱弟子					0				95			34			0		180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		51920		450	224	450	224	28	1	30				20	10																									4800											53587											625	1906	838860	ACT_世外蓬莱预热								0		0		0																						3840							0		0						1019	865																																																												1024	1024	1024	1024	1024																																	0						0										
52127	蓬莱弟子					0				95			49			0		180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		52127		450	224	450	224	28	1	30				20	10																									4800											53792											625	1906	838860	ACT_世外蓬莱预热								0		0		0																						3840							0		0						1019	865																																																												1024	1024	1024	1024	1024																																	0						0										
60562	蓬莱弟子					0				95			49			0		180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		60562		450	224	450	224	28	1	30				20	10																									4800											62991											625	1906	838860	ACT_世外蓬莱预热								0		0		0																						3840							0		0						1019	865																																																												1024	1024	1024	1024	1024																																	0						0										
62789	史遥谦	物资总管				26				95			55	4				180	100723			90651					22						126	218	218	218	218	218		205	19	19	19	19		62789		982	491	982	491	28	1	30		1	1024	20	10																									4800											65116											744	2269	838860	ACT_世外蓬莱预热							<G>我叫史遥谦，不叫死要钱。	500	<G>出海所需物品，皆由我来保管，万无一失。	500	<G>（<F171 点击下方图标进入上交界面。>）	0					scripts/Map/ACT_世外蓬莱预热/npc/日常交材料任务.lua																	3840									0			1440	420	6	1019	1029																																																												1024	1024	1024	1024	1024																																	0																
62826	安若若	踏浪寻仙活动商店				26				95			55	4				180	100723			90651					22						126	218	218	218	218	218		205	19	19	19	19		62826		982	491	982	491	28	1	30		1	1024	20	10																									4800											65308											744	2269	838860	ACT_世外蓬莱预热							<G>收惊澜令啦，收惊澜令啦，只要惊澜令哦！	500	<G>只要把大船造好，咱们就能出海啦！	500		0																						3840									0					6	1019	1029																																																												1024	1024	1024	1024	1024																																	0																
62839	穆玄英					26				97				2				180	18739818			23358360					22						126	42	42	42	42	42		97	9	9	9	9		62839		433	217	433	217	28	1	11		1	1024	1	10																									4800											65178											625	1906	838860	ACT_世外蓬莱预热					1	540	<G>降书与狼王令牌不容有失。	500	<G>史思明已写下降书，天下……是不是该太平了？	500																								3840									254					2	1226	865																																																												0	0	0	0	0																																	0																
62841	可人					26				97			49	2				180	19739818			23235836					22						126	42	42	42	42	42		97	9	9	9	9		62841		433	217	433	217	28	1	26		1	1024	16	10																									4800											65179											625	1906	838860	ACT_世外蓬莱预热					1	540	<G>狼牙军果真是贼心不死。	500	<G><F174 女子身负长剑，面若冰霜。>	500		0																						3840									254					2	1226	865																																																							26					0	0	0	0	0																																	0																
62844						26		9		99			36	6	0	0		180	33550597			30195537					22						0	314	314	314	314	314		469	40	40	40	40		62844		11937	5968	11937	5968																																	4800																					2				ACT_世外蓬莱预热			0					0		0		0																				500	10000	3840							0		0	0				15	1437	0																																																							26					1024	1024	1024	1024	1024																																	0	0					0										
62849						0				1					0	0		180	5			4					22						8	3	3	3	3	3		6	1	1	1	1		62849		3	2	3	2																																	4800																									ACT_世外蓬莱预热								0		0		0																				0	9000	3840							0		0	0					4																																																													1024	1024	1024	1024	1024																																	0						0										
