ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
65085	尹漪			3		26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65085		584	291	584	291	28	1																															4800											67445											705	2156	838860	ACT_五月霸王擂预热							<G>尹珩到底去哪儿了？……会不会出了什么事？	100		0		0					scripts/Map/ACT_霸王擂预热/npc/尹漪.lua																	3840									0						1544	1003																																																							26					1024	1024	1024	1024	1024																																	0													1			
65086	尹翮			3		26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65086		584	291	584	291	28	1																															4800											67447											705	2156	838860	ACT_五月霸王擂预热							<G>青羲公子出门远行，航路占卜一事暂由我负责。	100		0		0																						3840									0						1544	1003																																																							26					1024	1024	1024	1024	1024																																	0													1			
65087	尹以墨					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65087		584	291	584	291	28	1																															4800											67448											705	2156	838860	ACT_五月霸王擂预热							<G>我奉家主之命出访侠客岛，不曾想竟遇上这等事情……其中恐有蹊跷。	100		0		0																						3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0																
65088	尹新丰					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65088		584	291	584	291	28	1																															4800											67449											705	2156	838860	ACT_五月霸王擂预热							<G>老夫率船队通商东海诸岛已有十余载，自青羲公子卜卦护航以来，已多年没遇到过海寇了。	100		0		0					scripts/Map/ACT_霸王擂预热/npc/尹新丰_汇通港.lua																	3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0													1			
65089	尹酬					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65089		584	291	584	291	28	1																															4800											67450											705	2156	838860	ACT_五月霸王擂预热							<G>海寇来袭的时候，我没在事发的那艘船上，事后想来仍不禁胆寒……	100		0		0					scripts/Map/ACT_霸王擂预热/npc/尹酬.lua																	3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0													1			
65090	尹时清					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65090		584	291	584	291	28	1																															4800											67451											705	2156	838860	ACT_五月霸王擂预热							<G>海寇只抢了一些不算贵重的货物便匆匆逃走了，可惜尹雪尘师兄……	100		0		0					scripts/Map/ACT_霸王擂预热/npc/尹时清.lua																	3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0													1			
65091	吴佺					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65091		584	291	584	291	28	1																															4800											67452											705	2156	838860	ACT_五月霸王擂预热							<G>这伙儿海寇来的很是蹊跷……	100		0		0					scripts/Map/ACT_霸王擂预热/npc/吴佺_汇通港.lua																	3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0													1			
65092	谢采					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65092		584	291	584	291	28	1																															4800											67453											705	2156	838860	ACT_五月霸王擂预热							<G>尹家与康家嫌隙颇深，却唯独在开海一事上态度一致。	100		0		0																						3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0																
65093	尹拓					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65093		584	291	584	291	28	1																															4800											67454											705	2156	838860	ACT_五月霸王擂预热							<G>祖母怎可轻易允许外人插手家中之事……	100		0		0																						3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0													1			
65094	尹以墨					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65094		584	291	584	291	28	1																															4800											67456											705	2156	838860	ACT_五月霸王擂预热								0		0		0																						3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0					5											
65098	问心居仆从					26				100			56					180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65098		584	291	584	291	28	1																															4800											67458											705	2156	838860	ACT_五月霸王擂预热								0		0		0																						3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0					5											
65100	尹家随从					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65100		584	291	584	291	28	1																															4800											67459											705	2156	838860	ACT_五月霸王擂预热								0		0		0																						3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0					5											
65101	尹家随从					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		65101		584	291	584	291	28	1																															4800											67460											705	2156	838860	ACT_五月霸王擂预热								0		0		0																						3840									0						1544	1003																																																												1024	1024	1024	1024	1024																																	0					5											
