ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
52272	燕苍	苍云士兵				127				15								180	264			238					22						8	3	3	3	3	3		6	1	1	1	1		52272		20	9	20	9	28	1	30		1	1024	20	10																									4800											53923											24	73	629145	霸刀山庄								0		0		0																					9000	3840									0	0					45	82																																																							127					1024	1024	1024	1024	1024																																	0																
52328	蒙面刺客					28			417	27			29	4					1991			1792					22						16	28	28	28	28	28		26	2	2	2	2		52328		117	59	117	59	28	1	39		1	1024	29	10																									4800											55020											35	107	629145	霸刀山庄								0		0		0																				0	9000	3840								5	0	1				6	96	138																																																							28					1024	1024	1024	1024	1024																																	0				1	5											
52329	黑衣杀手					28				22				4				5	1829			1646					22						13	22	22	22	22	22		21	2	2	2	2		52329		83	41	83	41	28	1																															4800											54003											36	108	629145	霸刀山庄								0		0		0					scripts/Map/霸刀山庄/npc/长孙世家/神秘刺客.lua																9000	3840									0	1				4	71	166																																																												1024	1024	1024	1024	1024																																	0				1	5											
52333						26				25			46		0	0		180	694			624					22						15	5	5	5	5	5		11	1	1	1	1		52333		43	22	43	22	28	1	28		1	1024	18	10																									4800											54006											26	77	629145	霸刀山庄								0		0		0																					9000	3840							0		0	0					86	109																																																												1024	1024	1024	1024	1024																																	0																
52335						26				25					0	0		180	694			624					22						15	5	5	5	5	5		11	1	1	1	1		52335		43	22	43	22	28	1	28		1	1024	18	10																									4800											54010											26	77	629145	霸刀山庄								0		0		0																					9000	3840							0		0	0					86	109																																																												1024	1024	1024	1024	1024																																	0																
52337						26				25					0	0		180	694			624					22						15	5	5	5	5	5		11	1	1	1	1		52337		43	22	43	22	28	1	28		1	1024	18	10																									4800											54012											26	77	629145	霸刀山庄								0		0		0																					9000	3840							0		0	0					86	109																																																												1024	1024	1024	1024	1024																																	0																
52338						26				25					0	0		180	694			624					22						15	5	5	5	5	5		11	1	1	1	1		52338		43	22	43	22	28	1	28		1	1024	18	10																									4800											54013											26	77	629145	霸刀山庄								0		0		0																					9000	3840							0		0	0					86	109																																																												1024	1024	1024	1024	1024																																	0																
52339						26				25					0	0		180	694			624					22						15	5	5	5	5	5		11	1	1	1	1		52339		43	22	43	22	28	1	28		1	1024	18	10																									4800											54014											26	77	629145	霸刀山庄								0		0		0																					9000	3840							0		0	0					86	109																																																												1024	1024	1024	1024	1024																																	0																
52438	杨不醒 	醉罗汉				26				97				6				180	33701506			30331355					22						0	266	266	266	266	266		397	34	34	34	34		52438		11229	5614	11229	5614	28	1	31		1	1024	21	10																									4800											54121											54750	167166	838860	霸刀山庄							<G>我可是垂涎独孤家的美酒许多年了。	100	<G>江湖朋友都给我面子，叫我一声大哥。	100		0																				500	10000	3840									0	0				15	1226	5000																																																												1024	1024	1024	1024	1024																																	0																
52439	独孤九	独孤世家长公子				129				98			30	2				180	374970000			111835325					22						0	290	290	290	290	290		433	37	37	37	37		52439		8953	4476	8953	4476	28	1	30		1	1024	20	10																									4800											54122											18694	57111	838860	霸刀山庄					1		<G>一碗酒是否能映出人心。	100	<G>菲菲和多多今天怎么不来找我玩。	100	<G>我曾经有过一把剑，可是我将它丢弃了。	100					scripts/Map/霸刀山庄/npc/解忧园/独孤九.lua																	3840									0	0				2	1030	5000																																																							129					1024	1024	1024	1024	1024																																	0																
52440	独孤晓	独孤世家总管				129				95								180	39006			35105					22						126	42	42	42	42	42		97	9	9	9	9		52440		463	231	463	231	28	1	28		1	1024	18	10																									4800											54123											625	1906	838860	霸刀山庄							<G>我这把老骨头，真要交待在这了。	100	<G>少主很看重小小姐的生日，我可要用心帮他准备礼物。	100		0					scripts/Map/霸刀山庄/npc/解忧园/独孤晓.lua															0	9000	3840									0	0					1019	865																																																							129					1024	1024	1024	1024	1024																																	0																
52441	解忧园守卫(废弃)					129				25								180	694			624					22						15	5	5	5	5	5		11	1	1	1	1		52441		43	22	43	22	28	1																															4800											54286											26	77	629145	霸刀山庄								0		0		0																					9000	3840									0	0					86	109																																																							129					1024	1024	1024	1024	1024																																	0																
52442	解忧园守卫表现(废弃)					26												180	13			12					22						8	3	3	3	3	3		6	1	1	1	1		52442		4	2	4	2	28	1																															4800											54287														霸刀山庄								0		0		0																					9000	3840									0	0					4	54																																																												1024	1024	1024	1024	1024																																	0																
