ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
106159	罗翼					28				123			67	6				604800	296639793			266975814					22	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		106159		1	0	119268	59634	32176	1											4								4								4				99999											78885										2				百战异闻录					1			0		0		0					scripts/Map/百战异闻录/npc/罗翼/罗翼.lua															1	10000	-1									254					12	10540																																								4																					0	0	0	0	0																							2048									1024	1																										
106160						26		9		122					0	0		180	99999999			1165638					22						2229	881	881	881	881	881		2452	234	234	234	234		106160		5839	2920	5839	2920	28	1																															4800																									百战异闻录					1			0		0		0					scripts/Map/百战异闻录/npc/总控_不死.lua																10000	3840							0		254						9940																																																													1024	1024	1024	1024	1024																							2048										0						0																				
106161	牙刀					28				123			71	5				604800	12359991			11123992					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		26317	26317	26317	26317	26317		106161		1	0	60509	30254	32176	1											4								4								4				99999											78889										2				百战异闻录					1			0		0		0					scripts/Map/百战异闻录/npc/罗翼/猎犬.lua															1	10000	-1									254					10	10540																																								4																					0	0	0	0	0																							2048									512	1																										
106162	猎犬					28				122			46	5				604800	10490747			12588897					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		106162		1	0	51263	25631	28	1							28064	5	320	64					28065	5	720	96													99999											78890										2				百战异闻录				6	1			0		0		0					scripts/Map/百战异闻录/npc/罗翼/猎犬.lua															1	10000	-1									0					10	9940																																																													1024	1024	1024	1024	1024																							2048									512	0																										
106240						26		9		122					0	0		180	99999999			1165638					22						2229	881	881	881	881	881		2452	234	234	234	234		106240		5839	2920	5839	2920	28	1																															4800																									百战异闻录					1			0		0		0					scripts/Map/百战异闻录/npc/总控_不死.lua																10000	3840							0		254						9940																																																													1024	1024	1024	1024	1024																							2048										0						0																				
106247	秦雷	叛军校尉				28				123				6				180	296639793			266975814					22	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		106247		1	0	119268	59634	32176	1	11		1	1024	1	10																									4800											78815										2	45555	138944		百战异闻录					1			0		0		0					scripts/Map/百战异闻录/npc/秦雷/秦雷.lua															1	10000	3840									254					12	10540																																																													0	0	0	0	0																																1024	1																										
106259	上衫勇刀					28				123			67	6				0	296639793			266975814					22	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		106259		1	0	119268	59634	32176	1	11		1	1024	1	10																									4800											78781										2	45555	138944		百战异闻录					1			0		0		0					scripts/Map/百战异闻录/npc/上衫勇刀/上衫勇刀.lua															1	10000	3840									254					12	10540																																																								28					0	0	0	0	0																																1024	1																										
106261	钉刺					28				122				5		0		0	2000000			3957777					22						0	1105	1105	1105	1105	1105		2121	193	193	193	193		106261		67500	6750	67500	6750	28	1																															4800											78783														百战异闻录					1			0		0		0																					10000	3840							0		254					10	10540																																																								28					0	0	0	0	0																																	1																										
106262	一刀流精英弟子					28				122				5				0	11656386			10490747					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		106262		1	0	57534	28767	28	1							28422	1		80																					99999999											78785										2	3773	11509		百战异闻录					1			0		0		0																				1	10000	-1								5						10	9940																																																								28																																									512																											
106267						37				123			145		0	0		180	542036			487832					17						1013	400	400	400	400	400		1115	106	106	106	106		106267		3328	1665	3328	1665	28	1	43		1	1024	33	10																									4800											78817														百战异闻录					1			0		0		0																					10000	3840							0		254						10540																																																													0	0	0	0	0																																	1																										
106293						37				123					0	0		180	542036			487832					22						1013	400	400	400	400	400		1115	106	106	106	106		106293		3328	1665	3328	1665	28	1	43		1	1024	33	10																									4800											78818														百战异闻录					1			0		0		0																					10000	3840							0		0						10540																																																													1024	1024	1024	1024	1024																																	0																										
106294						37				123					0	0		180	542036			487832					22						1013	400	400	400	400	400		1115	106	106	106	106		106294		3328	1665	3328	1665	28	1	43		1	1024	33	10																									4800											78819														百战异闻录					1			0		0		0																					10000	3840							0		0						10540																																																													1024	1024	1024	1024	1024																																	0																										
106295	叛军弓手					28				122			58	5				180	9558236			10878905					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		106295		1	0	0	0	28189	1									256	80		2048																			4800											78820										2	3773	11509		百战异闻录				4	1			0		0		0																				1	10000	3840									254					10	9940																																																								28					0	0	0	0	0																																512	1																										
