ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
109004						28				110					0	0		180	99999999			439753					22						913	361	361	361	361	361		1005	96	96	96	96		109004		2271	1135	2271	1135																																	4800											81219											755	2306	838860	百战异闻录_外部技能								0		0		0																					10000	3840							0		0						3750																																																								28					1024	1024	1024	1024	1024																																	0						0																				
109005								9		110					0	0		180	100000			100000					22																			109005																																						4800											81220														百战异闻录_外部技能					1			0		0		0																						3840							0		2558																																																																			0	0	0	0	0																																	0	1					0																				
109006	疯狂咆哮							9		113					0	0		180	569654			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		109006		2583	1291	2583	1291																																	4800																						770	2351	838860	百战异闻录_外部技能								0		0		0																					10000	3840							0		0						4370																																																													1024	1024	1024	1024	1024																																	0						0																				
109007	兵犬丸			2	0	26		2	0	110	0	950			1	1		180	53	0	0	0	0	0	100	6	25	9000	0	0	0	0	48	26	26	26	26	26	1024	19091	19091	19091	19091	19091	0	109007	1	363	181	363	181	28124	1		0	1	1024	10	10		1	32	0	1	512	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	4800	0	20		0		0		0		0	81221										6881	0	0	0	百战异闻录_外部技能	0	0	2	1	1	0		0		0		0					scripts\Map\百战异闻录\玩家npc_外部技能\兵犬丸死亡.lua					0	0	0	0	0	0	0	0	0	0	1	9000	3840	0	0	0	0	0	0	1		0	1	1.00	0	960	3	1544	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													0											0														0												
109008								9		110					0	0		180	100000			100000					22																			109008																																						4800											81222														百战异闻录_外部技能					1			0		0		0																						3840							0		2558																																																																			0	0	0	0	0																																	0	1					0																				
109009	异木草标记					26		9		113					0	0		180	569654			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		109009		2583	1291	2583	1291																																	4800																						770	2351	838860	百战异闻录_外部技能								0		0		0																					10000	3840							0		2558						4370																																																								26					0	0	0	0	0																																	0						0																				
109010				2	0		1	9	0	110	0	950		6	0	0		0	100000	0	0	0	0	0	100	6	22	9000	0	0	0	0	16	17	17	17	17	17	1024	19	0	0	0	0	0	109010	1	2244	1126	2244	1126	28	1	38	0	1	1024	28	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999	0	20									81223														百战异闻录_外部技能	0	0	3	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	0	0	2558	1	1.00	0	960			0				0	-1	7	0	-1	0			0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0		0	0	0	0					1					1						1	1					0								0												
109011	兵犬丸_代召唤替身					26		9		113					0	0		180	569654			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		109011		2583	1291	2583	1291																																	4800																						770	2351	838860	百战异闻录_外部技能								0		0		0																					10000	3840							0		0						4370																																																								26					1024	1024	1024	1024	1024																																	0						0																				
109012						26		9		110					0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		109012		2271	1135	2271	1135																																	4800											81224														百战异闻录_外部技能								0		0		0																					10000	3840							0		0						3750																																																								26					1024	1024	1024	1024	1024																															0		0						0																				
109013	蝮蛇					26		2		110			16					3	488615			439753					22						913	361	361	361	361	361		1005	96	96	96	96		109013		2271	1135	2271	1135	28	1																															4800											81225														百战异闻录_外部技能								0		0		0					scripts/Map/百战异闻录/玩家npc_外部技能/蝮蛇死亡.lua																10000	3840									0						3750																																																								26					1024	1024	1024	1024	1024																																	0																										
109014						0				110					0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		109014		2271	1135	2271	1135																																	4800											81226											755	2306	838860	百战异闻录_外部技能								0		0		0																					10000	3840							0		0						3750																																																													1024	1024	1024	1024	1024																																	0																										
