ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
106258							3	9		120					0	0		180	100000			100000					22																			106258																																						4800											78784														百战异闻录_玩家					1			0		0		0																						3840							0		2558						8840																																																													0	0	0	0	0																																	0	1					0										
106273	兵犬丸			2	0	26		2	0	120	0	950	64		1	1		180	53	0	0	0	0	0	100	6	25	9000	0	0	0	0	48	26	26	26	26	26	1024	42000	42000	42000	42000	42000	0	106273	1	363	181	363	181	28124	1		0	1	1024	10	10		1	32	0	1	512	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	4800	0	20		0		0		0		0	78791										2	0	0	0	百战异闻录_玩家	0	0	2	1	1	0		0		0		0					scripts\Map\百战异闻录\玩家npc\兵犬丸死亡.lua					0	0	0	0	0	0	0	0	0	0	1	9000	3840	0	0	0	0	0	0	1		0		1.00	0	960	3	8840	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													0											0														0		
106274	兵犬丸_代召唤替身					26		9		120					0	0		180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		106274		5240	2620	5240	2620																																	4800																									百战异闻录_玩家								0		0		0																					10000	3840							0		0						8840																																																								26					1024	1024	1024	1024	1024																																	0						0										
106499						28		9		120					0	0		180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		106499		5240	2620	5240	2620																																	4800											79089														百战异闻录_玩家								0		0		0																					10000	3840							0		0						8840	0																																																							28					1024	1024	1024	1024	1024																																	0						0										
106616	疯狂咆哮							9		120					0	0		180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		106616		5240	2620	5240	2620																																	4800																									百战异闻录_玩家								0		0		0																					10000	3840							0		0						8840																																																													1024	1024	1024	1024	1024																																	0						0										
106629								9		120					0	0		180	100000			100000					22																			106629																																						4800											79196														百战异闻录_玩家					1			0		0		0																						3840							0		2558						8840																																																													0	0	0	0	0																																	0	1					0										
106640	蝮蛇					26		2		120			16					3	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		106640		5240	2620	5240	2620	28	1																															4800											79207										2				百战异闻录_玩家								0		0		0					scripts/Map/百战异闻录/玩家npc/蝮蛇死亡.lua																10000	3840									0						8840																																																								26					1024	1024	1024	1024	1024																																	0																
106641	炼蛇花					26		6		120			384						1151827			1036644				0	0						2010	794	794	794	794	794		2211	211	211	211	211		106641		5240	2620	5240	2620	28688	1																	80		2												4800											79208										4760				百战异闻录_玩家								0		0		0					scripts/Map/百战异闻录/玩家npc/炼蛇花死亡.lua																10000	3840									0						8840																																																								26					1024	1024	1024	1024	1024																																	0																
106668	异木草			2	0	26		2	0	120	0	950	34		1	1		180	53	0	0	0	0	0	100	6	25	9000	0	0	0	0	48	26	26	26	26	26	1024		0	0	0	0	0	106668	1	363	181	363	181	28124	1	24	0	1	1024	10	10		1	32	0	1	512	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	4800	0	20		0		0		0		0	79234										6881	0	0	0	百战异闻录_玩家	0	0	2	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1		0	1	1.00	0	960	3	8840	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			0	0	0	0	0	0													0											0														0		
106690						26				120					0			180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		106690		5240	2620	5240	2620																																	4800											79254											805	2456	838860	百战异闻录_玩家								0		0		0																					10000	3840							0		0						8840																																																								26					1024	1024	1024	1024	1024																															0		0																
106716	异木草标记					26		9		120					0	0		180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		106716		5240	2620	5240	2620																																	4800																									百战异闻录_玩家								0		0		0																					10000	3840							0		2558						8840																																																								26					0	0	0	0	0																																	0						0										
106730						0				120					0	0		180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		106730		5240	2620	5240	2620																																	4800											79293											805	2456	838860	百战异闻录_玩家								0		0		0																					10000	3840							0		0						8840																																																													1024	1024	1024	1024	1024																																	0																
