ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
63165	铂尔					28				102			60	6				704800	118300000			54009806					30	10000	10000	10000	10000	10000	0	934	934	934	934	934		2818	2818	2818	2818	2818		63165		24087	12043	24087	12043	20010	2	48				24	16																									99999											65543														帮会冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/2号_铂尔/2号_铂尔.lua															2000	10000	-1									254					15	1544	83583	2																																																						28					0	0	0	0	0								1															2048				1						1											1	0.3		0		
63166	罗纳真					28		2		102				6				704800	121470000			100000					32	10000	10000	10000	10000	10000	0	934	934	934	934	934		2818	2818	2818	2818	2818		63166		4000	400	4000	400	19992	2			1	1024	24		20205	1	240	240			108	32	20206	1	320	320			108	32	20009	1	480	480					99999											65544										1392				帮会冰火岛_荒血路					1	15		0		0		0					scripts/Map/冰火岛_荒血路/npc/3号_罗纳真/罗纳真.lua															2000	10000	-1									254	1				15	1544	0	3																																																											0	0	0	0	0																							9999999								0	1000	1											1	0.3		0		
63167						26		9							0	0		704800	99999999								22																			63167																																						4800																									帮会冰火岛_荒血路								0		0		0																						3840							0		254																																																														26					1024	1024	1024	1024	1024																							2048										0														0		
63168						26		9							0	0		704800	99999999								22																			63168																																						4800																									帮会冰火岛_荒血路								0		0		0																						3840							0		254																																																														26					1024	1024	1024	1024	1024																							2048										0														0		
63169	典狱官	监狱看守				28				100				5				180	718880			562602					22						0	184	184	184	184	184		362	27	27	27	27		63169		3910	1956	3910	1956	28	1																															4800											65545														帮会冰火岛_荒血路				2				0		0		0																					9450	3840								5	0					13	1544	4643																																																												1024	1024	1024	1024	1024																																	0													1	0		
63170	看守恶犬	护狱神犬				28		2		100				5				180	538222			0					22						0	182	182	182	182	182		204	13	13	13	13		63170		6335	3167	6335	3167	28	1																															4800											65546														帮会冰火岛_荒血路			2	3				0		0		0																						3840								5	0					10	1544	4643																																																												1024	1024	1024	1024	1024																																	0													1	0		
63171	狱卒					28				100				5				180	562602			675122					22						0	184	184	184	184	184		263	27	27	27	27		63171		4355	2178	4355	2178	28	1																															4800											65547														帮会冰火岛_荒血路				6				0		0		0																					9450	3840								5	0					10	1544	4643																																																												1024	1024	1024	1024	1024																																	0													1	0		
63172	食腐蜥蜴					29		2		100								180	59802			0					22						176	59	59	59	59	59		98	7	7	7	7		63172		756	379	756	379	28	1																															4800											65548														帮会冰火岛_荒血路			2	3				0		0		0																						3840									0						1544	1003																																																							29					1024	1024	1024	1024	1024																																	0													1	0		
63173	康疑	冰火守卫头领				28				102				6				704800	123630000			30000000					30	10000	10000	10000	10000	10000	0	934	934	934	934	934		2818	2818	2818	2818	2818		63173		2000	5259	2000	5259	20023	4	24							1	24				8	0		1	320	324			20	10									99999999											65549										1392				帮会冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/1号_康疑/康疑.lua															2000	10000	-1									254					15	1544	0	1																																																						28					0	0	0	0	0								1															2560									1024	1											1	0.3		0		
63174						26		9		100					0	0		704800	99999999			4					22						8	3	3	3	3	3		6						63174		6	2	6	2			55		1	1024	45	10																									99999999											65550														帮会冰火岛_荒血路					1			0		0		0																						-1							0		254						1019	0	1																																																						26					0	0	0	0	0																							2048										1						0								0		
63175						26		9		100					0	0		704800	99999999								30																			63175																																						99999999																									帮会冰火岛_荒血路					1			0		0		0																						-1							0		254						1019																																																								26					0	0	0	0	0																							2048										1						0								0		
63176						28		9		100				4	0	0		0	100000			89591					30	10000		10000	10000	10000	154	266	266	266	500	500		1321	1321	1321	1321	1321		63176		947	473	947	473		1	16	16				16																									99999999											65551	65552													帮会冰火岛_荒血路					1			0		0		0																				3000	10000	-1							0	5	254					6	1331	0																																																							28					0	0	0	0	0																							2048								0	1024	1						0										
63177	小太阳					28		9		102			126	5	0	0		0	999999999			967591					30	10000	10000	10000	10000	10000	0	128	128	128	128	128		1924	1924	1924	1924	1924		63177		4003	2001	4003	2001			43		1	1024	33	10																									99999999											65553	65554													帮会冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/3号_罗纳真/小太阳.lua															2000	10000	-1							0		3071					13	1226	6006	3																																																						28					0	0	0	0	0																							2560										1																
63178	小太阳朝向					28		9		100			126	5	0	0		0	1075102			967591					30						0	128	128	128	128	128		205	19	19	19	19		63178		4003	2001	4003	2001			43		1	1024	33	10																									99999999																									帮会冰火岛_荒血路					1			0		0		0																						-1							0		3071					13	1226	6006	3																																																						28					0	0	0	0	0																							2560										1														0		
