ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
64142	ÇàÁ«ÓüÊØÎÀ					0				101				5				0	625113			562602					30						0	184	184	184	184	184		295	27	27	27	27		64142		4888	2444	4888	2444	28	1																															99999999											66412														°ï»á±ù»ðµº_ÇàÁ«Óü							<G>ÓüÖÐÒÑ¾­ÂÒ×÷Ò»ÍÅ£¡ÇëÏÀÊ¿Ð­ÖúÎÒÃÇ¾¡¿ìÕòÑ¹¾ÖÃæ¡£	100		0		0					scripts/Map/±ù»ðµº_ÇàÁ«Óü/npc/ÖÜ±ßnpc/ÇàÁ«ÓüÄÚ²¿½ÓÒýÈË.lua																	-1									254					10	1544	0																																																												0	0	0	0	0																																	1														0		
64143	Ô½ÓüµÄ·¸ÈË					193				101				5				0	625113			562602					30	10000	10000	10000	10000	10000	0	184	184	184	184	184		295	27	27	27	27		64143		4888	2444	4888	2444	28	1					24	10		1	127	127																					99999999											66413														°ï»á±ù»ðµº_ÇàÁ«Óü								0		0		0																						-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	1000	1														0		
64144	ìì½Ì»¤·¨ÎÀ					193				101				5				0	625113			562602					30	10000	10000	10000	10000	10000	0	184	184	184	184	184		295	27	27	27	27		64144		4888	2444	4888	2444	28	1					24	10		1	127	127																					99999999											66414														°ï»á±ù»ðµº_ÇàÁ«Óü								0		0		0																						-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	1000	1														0		
64145	ÓÀÈ¼Ö®»ð					28		5		101				4		0		0	99999999			89591					30	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64145		631	315	631	315	28	1	16	16				16																									99999999											66415														°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																				1500	10000	-1								5	254					6	1544	0																																																							28					0	0	0	0	0																															0	500	1						0								0		
64146	ìì½ÌÒþ¶ÝÕß					28				101				5				0	520000			30000					18	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64146		14749	9	7876	9	28	1					24	10		1	127	127																					99999999											66416										2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																				1500	10000	-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	500	1														0		
64147	ìì½ÌÑ³µÀÕß					28				101				5				0	907200			30000					28	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64147		14749	9	7876	9	28	1	43				33	10		1	127	127																					99999999											66417										2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0					scripts/Map/±ù»ðµº_ÇàÁ«Óü/npc/6ºÅ_ÒÁÂêÄ¿/Ñ³µÀÕß.lua															1500	10000	-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	500	1														0		
64148	ìì½ÌÉóÅÐÕß					28				101				5				0	3024000			30000					18	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64148		14749	9	7876	9	28	1					24	10		1	127	127																					99999999											66418										2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																				1500	10000	-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	500	1														0		
64149	ìì½Ì½ÒÊ¾Õß					28				101				5				0	650000			30000					18	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64149		14749	9	7876	9	28	1	39				29	10		1	127	127																					99999999											66419										2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																				1500	10000	-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	500	1														0		
64150	·½ÊÏ¼àÓüÊØÎÀ					192				101				5				60	625113			562602					30						0	184	184	184	184	184		295	27	27	27	27		64150		4888	2444	4888	2444	28	1	26				16	10																									99999999											66420														°ï»á±ù»ðµº_ÇàÁ«Óü								0		0		0																						-1								5	254					10	1544	0																																																												0	0	0	0	0																																	1														0		
64151	·½Ìì»¤ÎÀ					192				101				5				60	1250226			1125204					30						0	184	184	184	184	184		295	27	27	27	27		64151		4888	2444	4888	2444	28	1	11		1	1024	1	10																					2				99999999											66421														°ï»á±ù»ðµº_ÇàÁ«Óü								0		0		0																						-1								5	254					11	1544	0																																																												0	0	0	0	0																																	1														0		
64152	ÆÓÁîÐã	ÆßÃ¶¡¤º®ÊË				26				105				6				0	60010895			54009806					22						0	314	314	314	314	314		469	40	40	40	40		64152		16058	8029	16058	8029	28	1	30		1	1024	20	10																									4800											66422														°ï»á±ù»ðµº_ÇàÁ«Óü								0		0		0					scripts/Map/±ù»ðµº_ÇàÁ«Óü/npc/ÖÜ±ßnpc/ÆÓÁîÐãÈÎÎñ.lua															500	10000	3840									0					15	1544	0																																																												1024	1024	1024	1024	1024																																	0														0		
64153	ìì½ÌÊ¥»ð»¤·¨					193				101				5				0	625113			562602					30						0	184	184	184	184	184		295	27	27	27	27		64153		4888	2444	4888	2444	28	1	30		1	1024	20	10																									99999999											66423														°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																						-1								5	254					10	1544	0																																																							29					0	0	0	0	0																																	1														0		
64154	ìì½ÌÄ¤°ÝÕß					28				101				5				0	756000			30000					18	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64154		14749	9	7876	9	28	1					24	10		1	127	127																					99999999											66424										2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																				1500	10000	-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	500	1														0		
64155	ìì½Ì´óÁ¦Ê¿					28				101				5				0	10400000			30000					30	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64155		14749	9	7876	9	28	1					24	10		1	127	127																					99999999											66425										2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																				1500	10000	-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	500	1														0		
64156	º®ÓñÊ¯					0				101				6				704800	690000			10752					30	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64156		85	43	85	43	28	1																															99999999											66426										2	83	166	629145	°ï»á±ù»ðµº_ÇàÁ«Óü								0		0		0																				1500	10000	-1									254					15	4	4500																																																												0	0	0	0	0																																500	1														0		
64157						28				101				4	0	0		0	99999999			116661					30	10000	10000	10000	10000	10000	154	851	851	851	851	851		1924	1924	1924	1924	1924		64157		1161	580	1161	580	19699	1	16	16				16																									99999999											66427											782	2388	838860	°ï»á±ù»ðµº_ÇàÁ«Óü								0		0		0																				1500	10000	-1							0	5	254					6	1226	0																																																							28					0	0	0	0	0																															0	500	1														0		
64158						28		9		101				5	0	0		0	99999999			30000					30	10000	10000	10000	10000	10000	0	851	851	851	851	851		1924	1924	1924	1924	1924		64158		14749	9	7876	9							24	10			127	127																					99999999											66428	66429									2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																				1500	10000	-1							0	5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	500	1														0		
64159	º®Óñ½á¾§ËéÆ¬					28		9		100				5				0	540000			30000					30	10000	10000	10000	10000	10000	0	0	0	0	0	0		1231	1231	1231	1231	1231		64159		14749	9	7876	9	28	1					24	10		1	127	127																					99999999											66430										2475	4	9		°ï»á±ù»ðµº_ÇàÁ«Óü					1			0		0		0																					10000	-1								5	254					10	1544	0																																																												0	0	0	0	0																							9999999								0	1000	1														0		
