ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
56925	ÒÁÂêÄ¿	ìì½Ì°µÐÇ³¤ÀÏ				28				97			37	6				704800	125264000			5000					30	10000					0	200	200	200	200	200		2000	1100	1100	1100	1100		56925		42259	21126	42259	21126	17254	1			1	1024	24																										99999999											59008														°ï»á·çÀ×µ¶¹È_Ç§À×µî					1			0		0		0					scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/npc/ÒÁÂêÄ¿/ÒÁÂêÄ¿.lua															1600	10000	-1									254					12	1226	0	1																																																											0	0	0	0	0																							2048									1000	1			1													
56926	ÒÁÂêÄ¿×Ü¿Ø					26		9		95					0	0		704800	99999999			24751					30						126	42	42	42	42	42		97	9	9	9	9		56926		3111	1556	3111	1556																																	99999999											59009														°ï»á·çÀ×µ¶¹È_Ç§À×µî					1			0		0		0																						-1							0		3070						775	0	1																																																											0	0	0	0	0																							2048										1																
56927	Áøð½Æì	ºü¶òµ¶				28				97			37	6				704800	99976000			5000					35	10000					0	200	200	200	200	200		2000	1100	1100	1100	1100		56927		42259	21126	42259	21126	17184	1			1	1024	24																										99999999											59010														°ï»á·çÀ×µ¶¹È_Ç§À×µî					1	300		0		0		0					scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/npc/Áøð½Æì/Áøð½Æì.lua															1600	10000	-1									254					12	1226	0	3																																																						28					0	0	0	0	0																							2048									1000	1			1													
56928	À×Éß					28		9		95					0	0		704800	99999999			24751					30						126	42	42	42	42	42		97	9	9	9	9		56928		3111	1556	3111	1556	28	1	43		1	1024	33	10																									99999999											59011														°ï»á·çÀ×µ¶¹È_Ç§À×µî					1			0		0		0																						-1							0		254						775	0																																																												0	0	0	0	0																							2048										1																
56929	Ä¾²Ä					28		3		95			43	6		0		180	99999999			0					22						0	128	128	128	128	128		205	19	19	19	19		56929		13062	6531	13062	6531	28	1	43		1	1024	33	10							64																		4800											59012										2				°ï»á·çÀ×µ¶¹È_Ç§À×µî			3	0	1			0		0		0					scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/npc/ÁøÐãÔÀ/¸¡¿Õ.lua															500		3840									254					5	775	500																																																												0	0	0	0	0																																	1																
56930	ºÏ½ð¿é					28		3		95				6		0		180	99999999			0					22						0	135	135	135	135	135		224	0	0	0	0		56930		12013	6010	12013	6010	28	1	43		1	1024	33	10																									4800											59013										2				°ï»á·çÀ×µ¶¹È_Ç§À×µî			3	0	1			0		0		0					scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/npc/ÁøÐãÔÀ/¸¡¿Õ.lua															500		3840									254					5	775	500																																																												0	0	0	0	0																																	1																
56931	¹öÊ¯					28		9		95					0	0		704800	99999999			24751					40						126	42	42	42	42	42		97	9	9	9	9		56931		3111	1556	3111	1556	28	1	23		1	1024	13	10																									99999999											59014										2475				°ï»á·çÀ×µ¶¹È_Ç§À×µî					1			0		0		0																						-1							0		3070						775	0																																																												0	0	0	0	0																							2048										1																
56932	ÒÁÂêÄ¿µÄ±¦Ïä			2	0	26	1	9	0	95	0	950	29		0	0		704800	999999999	0	0	45	0	0	100	6	22	9000	0	0	0	0	0	1	1	1	1	1	1024						0	56932	1	16007	8004	16007	8004			43	0	1	1024	33	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	½£µ¨ÇÙÐÄ/RaidÇ§À×µîÊÔÁ¶¸±±¾/gear_1_1.tab	1	½£µ¨ÇÙÐÄ/25ÈË¹«¹²µôÂä°ï»á/Stone_low.tab	1					59015										1392	500000	500000	1048576	°ï»á·çÀ×µ¶¹È_Ç§À×µî	0	0	1	1	1	0		0		0		0					scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/npc/ÒÁÂêÄ¿/ÒÁÂêÄ¿µÄ±¦Ïä.lua							0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	0		3070	1	1.00	0	960	3	775	0	1			0	-1	7	0	-1	0																						32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0				0	0	0	1	0													1	2560				1						1																
56933	Ñªµ¶ÎÀ					28							36					0									30																			56933						28	1	30		1	1024	20	10																									99999999											59016														°ï»á·çÀ×µ¶¹È_Ç§À×µî								0		0		0																						-1									254																																																														28					0	0	0	0	0																																	1																
56934	Ñªµ¶ÎÀ					28												0									30																			56934						28	1	30		1	1024	20	10																									99999999											59017														°ï»á·çÀ×µ¶¹È_Ç§À×µî								0		0		0																						-1									254																																																																			0	0	0	0	0																																	1																
