ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
54300	月华	红衣教圣女				28				97			36	6				704800	56700000			394100					50	10000	10000	10000	10000	10000	0	230	230	230	230	230		1210	550	550	550	550		54300		1708	830	1708	830	15684	1	30		1	1024	20	10																									99999											56226										1392				帮会上阳宫_观风殿					1	15		0		0		0					scripts\Map\上阳宫_观风殿\npc\月华\月华.lua															1600	10000	-1									254	1				15	945	0	3									0																																													28					0	0	0	0	0																							9999999									800	1																
54301	李复	九天鬼谋				27				95				2				0	94290780			84861702					30						0	218	218	218	218	218		326	28	28	28	28		54301		197327	98676	197327	98676	15803	1	80		8	1024	27	10																									4800											56227											17361	52944	838860	帮会上阳宫_观风殿				4	1	256	<G>不得已的话，倒是没有必要来这一趟。	10	<G>这次铤而走险，算是深入虎穴。	10	<G>我的本意并不希望以身犯险。	10					scripts\Map\特殊武器\npc\苍云\李复.lua																	3840								5	254	1				2	775	500																																																							27					0	0	0	0	0																						0	0										1																
54302	李承恩	天策府都统				32				95				2				180	94290780			34861702					22						0	218	218	218	218	218		326	28	28	28	28		54302		176006	87991	176006	87991	15770	1	80		1	1024	23	10																									4800											56228											17361	52944	838860	帮会上阳宫_观风殿					1		<G>我就知道这些家伙会使诈！	10	<G>从这个地方把受伤的人弄出去恐怕要多费一番周折。	10	<G>我想我在这里还有需要处理的事……	10					scripts\Map\上阳宫_观风殿\npc\协助NPC\李承恩.lua																	3840									0	1				2	775	500																																																							32					1024	1024	1024	1024	1024																															0		0																
54303	长孙忘情	苍云军统帅				26				95			49	2				180	94290780			84861702					22						0	218	218	218	218	218		326	28	28	28	28		54303		181324	90674	181324	90674	28	1	34		1	1024	24	10																									4800											56229											17361	52944	838860	帮会上阳宫_观风殿					1		<G>这次我们的职责是护卫李俶大人。	100	<G>李复先生说得没错，这次狼牙提出的会面是个陷阱……	100	<G>都怪我一时大意，中了奸贼的伏击……	100					scripts\Map\特殊武器\npc\苍云\长孙忘情.lua																	3840									0	0				2	775	500																																																							26					1024	1024	1024	1024	1024																																	0																
54304	柳绯君	柳愚首徒				28				97			37	6				704800	47250000			1000000					50	10000					0	275	218	218	218	218		1210	550	550	550	550		54304		953821	12198	38470	19248	15637	1	30		1	1024	27	10																									99999999											56230										1392				帮会上阳宫_观风殿					1			0		0		0					scripts\Map\上阳宫_观风殿\npc\柳绯君\柳绯君.lua															1600	10000	-1									254	1				15	945	500	2																																																						28					0	0	0	0	0																							6400								0	800	1																
54305						26				96			24	6	0	0		704800	237612760			21385149					30	10000					0	275	218	218	218	218		1210	1210	1210	1210	1210		54305		953821	12198	38470	19248	28	1	43		1	1024	33	10																									99999999											56231										1392				帮会上阳宫_观风殿					1			0		0		0																				1600	10000	-1							0		254	1				15	1030	500	2																																																						26					0	0	0	0	0																							6400								0	800	1																
54306						26				96				6	0	0		704800	237612760			21385149					30	10000					0	275	218	218	218	218		1210	1210	1210	1210	1210		54306		953821	12198	38470	19248	28	1	43		1	1024	33	10																									99999999											56232										1392				帮会上阳宫_观风殿					1			0		0		0																				1600	10000	-1							0		254	1				15	1030	500	2																																																						26					0	0	0	0	0																							6400								0	800	1																
54307						26				96				6	0	0		704800	237612760			21385149					30	10000					0	275	218	218	218	218		1210	1210	1210	1210	1210		54307		953821	12198	38470	19248	28	1	43		1	1024	33	10																									99999999											56233										1392				帮会上阳宫_观风殿					1			0		0		0																				1600	10000	-1							0		254	1				15	1030	500	2																																																						26					0	0	0	0	0																							6400								0	800	1																
54308						28				96			391	6	0	0		704800	237612760			21385149					50	10000					0	275	218	218	218	218		1210	1210	1210	1210	1210		54308		953821	12198	38470	19248	28	1	43		1	1024	33	10																									99999999											56234										2				帮会上阳宫_观风殿					1			0		0		0																				1600	10000	-1							0		254	1				15	1030	500	2																																																						28					0	0	0	0	0																							6400								0	800	1																
54309						28				96				6	0	0		704800	237612760			21385149					25	10000					0	275	218	218	218	218		1210	1210	1210	1210	1210		54309		953821	12198	38470	19248	28	1	43		1	1024	33	10																									99999999											56235										2				帮会上阳宫_观风殿					1			0		0		0																				1600	10000	-1							0		254	1				15	1030	500	2																																																						28					0	0	0	0	0																							6400								0	800	1																
