ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
47032	恶人谷镖车			2	0	49	1	1	0	100	0	950	1	6	1	1		180	4383394	0	0	3945054	0	0	100	6	44	9000	0	0	0	0	0	128	128	128	128	128	1024	205	19	19	19	19	0	47032	1	2734	1367	2734	1367	28	1	36	0	1	1024	26	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20	场景掉落\逐鹿中原\CastleTrade_BiaoYin.tab	1		0		0		0	48480											6812	20700	838860	帮会押镖	0	0	1	1	0	0		0		0		0		0	0	0	scripts\Map\帮会押镖\npc\镖车.lua					0	0	0	0	0	0	0	0	0	0	500	9000	3840	0	0	0	0	0	0	0	1	0	0	1.00	1440	420	5	1700	4375	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	49	0		0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	128	0		0			0	0	1	204	0			1											0		
47408	散落的货物					0		3		100			24			0		180	81173			73056					22						126	42	42	42	42	42		97	9	9	9	9		47408		604	303	604	303	28	1	15		1	1024	5	10																									4800											48857														帮会押镖								0		0		0					scripts\Map\帮会押镖\npc\散落的货物.lua															0	9000	3840							0		4095	0					1700	1074																																																												0	0	0	0	0																																	1														0		
47744	谷艾	阴山商路物资主簿				49				100				4				180	324695			292226					22						126	218	218	218	218	218		205	19	19	19	19		47744		1981	991	1981	991	28	1	28		1	1024	18	10																									4800											49193											1041	3176	838860	帮会押镖								0		0		0					scripts\Map\帮会押镖\npc\贸易执事.lua															0	9000	3840								15	0	0				4	1700	1790																																																							49					1024	1024	1024	1024	1024																																	0														0		
47749	木博	阴山商线补货商				26				100				4				180	324695			292226					22						126	218	218	218	218	218		205	19	19	19	19		47749		2662	1331	2662	1331	28	1	43		1	1024	33	10																									4800											49198											1041	3176	838860	帮会押镖								0		0		0					scripts\Map\帮会押镖\npc\贸易执事.lua															0	9000	3840									0	0				4	1700	1790																																																							26					1024	1024	1024	1024	1024																																	0														0		
47754	褚禾	阴山商路物资募集官				26				100								180	81173			73056					22						126	42	42	42	42	42		97	9	9	9	9		47754		604	303	604	303	28	1	28		1	1024	18	10																									4800											49202											625	1906	838860	帮会押镖								0		0		0					scripts\Map\帮会押镖\npc\终点镖银募集官.lua															0	9000	3840									0	0					1700	1074																																																												1024	1024	1024	1024	1024																																	0														0		
47755	大唐守卫					26				100								180	81173			73056					22						126	42	42	42	42	42		97	9	9	9	9		47755		699	349	699	349	28	1	37		1	1024	27	10																									4800											49203											625	1906	838860	帮会押镖								0		0		0																				0	9000	3840									0	0					1700	1074																																																												1024	1024	1024	1024	1024																																	0														0		
47756						26				103			110	6	0	0		180	92278849			83050964					22						0	218	218	218	218	218		326	28	28	28	28		47756		27390	13695	27390	13695	28	1	43		1	1024	33	10																									4800											49232											52083	158833	838860	帮会押镖								0		0		0																				500	10000	3840							0	15	0	0				15	2165	5000																																																												1024	1024	1024	1024	1024																																	0														0		
47795	到达终点标记					26				100				5				180	730565			657509					22						0	128	128	128	128	128		205	19	19	19	19		47795		2106	1053	2106	1053																																	4800																						3255	9927	838860	帮会押镖								0		0		0																				0	9000	3840								15	0	0				9	1700	5000																																																												1024	1024	1024	1024	1024																																	0														0		
47832	无面者					31				110				4				180	3664608			3298147					22						913	1881	1881	1881	1881	1881		2121	193	193	193	193		47832		8241	4121	8241	4121	28	1	39				29	10	9190	1							9191	1															4800											49282											3775	11530	838860	帮会押镖								0		0		0																					10000	3840									0	0				8	3750	5000																																																							31					1024	1024	1024	1024	1024																																	0														0		
47858	宋涛	阴山商路物资主簿				50				100			94	4				180	324695			292226					22						126	218	218	218	218	218		205	19	19	19	19		47858		1981	991	1981	991	28	1	28		1	1024	18	10																									4800											49306											1041	3176	838860	帮会押镖								0		0		0					scripts\Map\帮会押镖\npc\贸易执事.lua															0	9000	3840								15	0	0				4	1700	1790																																																							50					1024	1024	1024	1024	1024																																	0														0		
