ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
47422						26		9		95					0	0		704800	2750100			24751					30						126	42	42	42	42	42		97	9	9	9	9		47422		5194	2597	5194	2597	28	1	43		1	1024	33	10																									99999999											48871														帮会永王行宫_仙侣庭园					1			0		0		0																						-1							0		254	0					775	500	1																																																						26					0	0	0	0	0																							9999999										1																
47423	一刀流武士					28				96				5				704800	4050000			747699					30						0	142	142	142	142	142		228	21	21	21	21		47423		110936	10086	110936	10086	28	1		16	1	1024	24																										99999999											48872										2475				帮会永王行宫_仙侣庭园					1			0		0		0					scripts/Map/永王行宫_仙侣庭园/小怪/小怪死亡.lua																	-1								5	254	1				13	860	0																																																												0	0	0	0	0																																	1																
47424	王根深					26		9		95								180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		47424		5194	2597	5194	2597																																	4800											48873														帮会永王行宫_仙侣庭园							<G>我的儿啊，二狗子……你死的好冤……爹一定要为你报仇……	1000		0		0																				0	9000	3840									0	0					775	0																																																												1024	1024	1024	1024	1024																																	0																
47425						26		9		98			27	6	0	0		704800	99999999			100000					30	10000					0	288	288	288	288	288		250	250	250	250	250		47425		0	0	0	0	14556	1	28		1	1024	18	10																									99999999											48874														帮会永王行宫_仙侣庭园					1			0		0		0																				2000	10000	-1							0		254	0				15	1030	0	6																																																						26					0	0	0	0	0																						0	6400									358	1	1															
47426						28		9		95			36		0	0		180	10000000			24751					22						126	42	42	42	42	42		97	9	9	9	9		47426		6972	3492	6972	3492	28	1	43		1	1024	33	10																									4800											48875														帮会永王行宫_仙侣庭园					1			0		0		0																						3840							0		0	1					775	0																																																							28					1024	1024	1024	1024	1024																							6400										0																
47427	五号总控					26		9		95					0	0		704800	99999999			40693					22						62	38	38	38	38	38		224	94	94	94	94		47427		21973	10981	21973	10981																																	4800																									帮会永王行宫_仙侣庭园					1			0		0		0																						3840							0		3070	1					425	0	5																																																						26					0	0	0	0	0																							2560										1																
47428	左纱夫人	商会成员				26				95			43	4				704800	9999999			999999					30																			47428						28	1	25		1	1024	15	10																									99999999											48876										2				帮会永王行宫_仙侣庭园					1			0		0		0					scripts\Map\永王行宫_仙侣庭园\1号\商会成员.lua																	-1									254	0				8	425	0	1																																																						26					0	0	0	0	0																																	1																
47429						26		9		95					0	0		704800	10000000			24751					30						126	42	42	42	42	42		97	9	9	9	9		47429		6972	3492	6972	3492	28	1	43		1	1024	33	10																									99999999											48877														帮会永王行宫_仙侣庭园					1			0		0		0																						-1							0		254	1					775	500	2																																																						26					0	0	0	0	0																							6400										1																
47430	赵楠贵	反叛军·果毅都尉				26				95								0	27501			24751					30						126	42	42	42	42	42		97	9	9	9	9		47430		5194	2597	5194	2597	28	1	28		1	1024	18	10																									99999999											48878										2475				帮会永王行宫_仙侣庭园								0		0		0																				0	9000	-1									254	0					775	0																																																							26					0	0	0	0	0																																	1																
47431	商会人质	商会成员				26				95								704800	9999999			99999					30																			47431						28	1	30		1	1024	20	10																									99999999											48879										2				帮会永王行宫_仙侣庭园					1			0		0		0					scripts\Map\永王行宫_仙侣庭园\1号\商会成员.lua																	-1									254	0					425	1	1																																																						26					0	0	0	0	0																																	1																
47432	商会人质	商会成员				26				95								704800	9999999			99999					30																			47432						28	1	36		1	1024	26	10																									99999999											48880										2				帮会永王行宫_仙侣庭园					1			0		0		0					scripts\Map\永王行宫_仙侣庭园\1号\商会成员.lua																	-1									254	0					425	0	1																																																						26					0	0	0	0	0																																	1																
47433	陆啸天	仙侣庭园接引人				26				95								180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		47433		5194	2597	5194	2597																																	4800											48881														帮会永王行宫_仙侣庭园							<G>通过我可以传送到永王行宫仙侣庭院，仙侣庭园是永王陛下在千岛湖的别院，他经常携永王妃和襄阳王来疗养。	1000		0		0					scripts\Map\英雄永王行宫_仙侣庭园\小怪\千岛湖传仙侣庭院.lua															0	9000	3840									0	0					775	0																																																												1024	1024	1024	1024	1024																																	0																
47434	一刀流高手					28				97				5				704800	4050000			1656232					30						0	156	156	156	156	156		250	23	23	23	23		47434		110936	10086	110936	10086	28	1		16	1	1024	24			1					32	16																	99999999											48882										2475				帮会永王行宫_仙侣庭园					1			0		0		0					scripts/Map/永王行宫_仙侣庭园/小怪/小怪死亡.lua																	-1								5	254	1				14	945	0																																																												0	0	0	0	0																																	1																
