ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
61114	康疑	冰火守卫头领				28				122			61	6				704800	568635295			30000000					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		61114		9690	25479	9690	25479	20023	1	24							1	24				8	0		1	320	324			20	10									99999999											63574										1392				冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/1号_康疑/康疑.lua															2000	10000	-1									254					15	1544	0	1																																																						28					0	0	0	0	0								1															2560									1024	1											1	0.3		0												
61135						26		9		121					0	0		704800	999999999			4					22	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		61135		30	10	30	10			55		1	1024	45	10																									99999999											63571														冰火岛_荒血路					1			0		0		0																				1500	10000	-1							0		254						1019	0	1																																																						26					0	0	0	0	0																							2048										1						0																				
61136						26		9		121					0	0		704800	999999999								30	10000	10000	10000	10000	10000		4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		61136																																						99999999																									冰火岛_荒血路					1			0		0		0																				1500	10000	-1							0		254						1019																																																								26					0	0	0	0	0																							2048										1						0																				
61139						28		9		121				4	0	0		0	1176471			89591					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		61139		4588	2292	4588	2292		1	16	16				16																									99999999											65524	64489													冰火岛_荒血路					1			0		0		0																				1500	10000	-1							0	5	254					6	1331	0																																																							28					0	0	0	0	0																							2048								0	1024	1						0																				
61147	枯骨					28				122								604800	2735295			62511					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		61147		3712	1856	3712	1856	28	1	42		1	1024	32	10																									9999											63611											705	2156	838860	冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/1号_康疑/乐器A死亡.lua															2000	10000	960									254						1544	1003																																																							28					0	0	0	0	0																																	1														0												
61148	高山					28				122								604800	2735295			62511					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		61148		3712	1856	3712	1856	28	1	42		1	1024	32	10																									9999											63838											705	2156	838860	冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/1号_康疑/乐器B死亡.lua															2000	10000	960									254						1544	1003																																																							28					0	0	0	0	0																																	1														0												
61149	晓月					28				122								604800	2735295			62511					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		61149		3712	1856	3712	1856	28	1	42		1	1024	32	10																									9999											63902											705	2156	838860	冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/1号_康疑/乐器C死亡.lua															2000	10000	960									254						1544	1003																																																							28					0	0	0	0	0																																	1														0												
61177	铂尔					28				122			59	6				704800	522741177			54009806					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		61177		116696	58346	116696	58346	20010	1	48				24	16																									99999											63472														冰火岛_荒血路					1			0		0		0					scripts/Map/冰火岛_荒血路/npc/2号_铂尔/2号_铂尔.lua															2000	10000	-1									254					15	1544	83583	2																																																						28					0	0	0	0	0								1															2048				1						1											1	0.3		0												
61191	罗纳真					28		2		122				6				704800	482200001			100000					32	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		61191		19379	1938	19379	1938	19992	1			1	1024	24		20205	1	240	240			108	32	20206	1	320	320			108	32	20009	1	480	480					99999											63494										1392				冰火岛_荒血路					1	15		0		0		0					scripts/Map/冰火岛_荒血路/npc/3号_罗纳真/罗纳真.lua															2000	10000	-1									254	1				15	1544	0	3																																																											0	0	0	0	0																							9999999								0	1000	1											1	0.3		0												
61192						26		9							0	0		704800	99999999								22																			61192																																						4800																									冰火岛_荒血路								0		0		0																						3840							0		254																																																														26					1024	1024	1024	1024	1024																							2048										0																										
61193						26		9							0	0		704800	99999999								22																			61193																																						4800																									冰火岛_荒血路								0		0		0																						3840							0		254																																																														26					1024	1024	1024	1024	1024																							2048										0																										
61194	神罚					26				121						0		0	999999999								30	10000	10000	10000	10000	10000		4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		61194																																						99999											63653										2				冰火岛_荒血路					1			0		0		0																				1500	10000	-1									254								2																																																						26					0	0	0	0	0																							2048										1																										
61195						28		9							0	0		180	99999999								22																			61195																																						4800																									冰火岛_荒血路								0		0		0																						3840							0		254																																																														28					1024	1024	1024	1024	1024																							2048										0														0												
