ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
103520	唐让	夔州刺史				26				110			69	4				180	1954457			1759012					22						913	1881	1881	1881	1881	1881		2121	193	193	193	193		103520		8269	4134	8269	4134	28	1																															4800											76529											1258	3843	838860	赤岬山城							<G>要从水贼手中恩养百姓，一点江湖手段是必不可少的。	100		0		0					scripts/Map/赤岬山城/npc/大殿唐让.lua																10000	3840									0					4	3750																																																								26					1024	1024	1024	1024	1024																																	0																1
103521	杜鸿渐	荆南节度使				26				110			69	4				180	1954457			1759012					22						913	1881	1881	1881	1881	1881		2121	193	193	193	193		103521		8269	4134	8269	4134	28	1	11				1	10																									4800											76530											1258	3843	838860	赤岬山城							<G>此番围剿十二连环坞，只可成功！	100		0		0																					10000	3840									0					4	3750																																																								26					1024	1024	1024	1024	1024																																	0																
103580	李白	青莲居士				26				113			60	2				180	1367171792			1230454613					22						0	2189	2189	2189	2189	2189		3922	338	338	338	338		103580		62698	31350	62698	31350	28	1	30				20	10																									4800											76576											21388	65305	838860	赤岬山城								0		0		0																					10000	3840									0					2	4370																																																													1024	1024	1024	1024	1024																																	0																1
103581	水贼	十二连环坞				28				110								180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103581		2271	1135	2271	1135	28	1																															4800											76577											755	2306	838860	赤岬山城								0		0		0																					10000	3840									0						3750																																																													1024	1024	1024	1024	1024																																	0																
103582	叶芷青	七秀坊坊主				26				113				2				180	1367171792			1230454613					22						0	2189	2189	2189	2189	2189		3922	338	338	338	338		103582		62698	31350	62698	31350	1716	1																															4800											76578											21388	65305	838860	赤岬山城							<G>不知公孙师叔现在情况如何……	100		0		0																					10000	3840									0					2	4370																																																													1024	1024	1024	1024	1024																																	0																
103583	七秀弟子					26				110								180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103583		2271	1135	2271	1135	28	1							0	0							0	0															4800											76582											755	2306	838860	赤岬山城								0		0		0																					10000	3840									0						3750																																																													1024	1024	1024	1024	1024																																	0																
103584	郭珠	丐帮江陵分舵堂主				26				110				6				180	26385180			23746662					22						0	1105	1105	1105	1105	1105		2121	193	193	193	193		103584		10143	5071	10143	5071	28	1																															4800											76579											9437	28825	838860	赤岬山城							<G>最近在和弟兄们打探宇文兄弟的消息，这个哥哥宇文灭打听不到什么，但是弟弟宇文敌是个大大大大酒鬼，消息倒是挺多。	100		0		0																				500	10000	3840									0					5	3750																																																													1024	1024	1024	1024	1024																																	0																1
103585	丐帮弟子					26				110								180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103585		2271	1135	2271	1135	28	1																															4800											76580											755	2306	838860	赤岬山城								0		0		0																					10000	3840									0						3750																																																								26					1024	1024	1024	1024	1024																																	0																
103586	可人	浩气盟·开阳				26				110				6				180	105540723			94986651					22						0	1881	1881	1881	1881	1881		2121	193	193	193	193		103586		44099	22050	44099	22050	28	1																															4800											76585											41944	128111	838860	赤岬山城								0		0		0																				500	10000	3840									0					12	3750																																																													1024	1024	1024	1024	1024																																	0																1
103587						26				110			50		0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103587		2271	1135	2271	1135	28	1	11				1	10																									4800											76586											755	2306	838860	赤岬山城								0		0		0																					10000	3840							0		0						3750																																																													1024	1024	1024	1024	1024																																	0						0										
103588						26				110			65		0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103588		2271	1135	2271	1135	28	1																															4800											76587											755	2306	838860	赤岬山城								0		0		0																					10000	3840							0		0						3750																																																													1024	1024	1024	1024	1024																																	0						0										
103589						26				110			66		0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103589		2271	1135	2271	1135	28	1																															4800											76588											755	2306	838860	赤岬山城								0		0		0																					10000	3840							0		0						3750																																																													1024	1024	1024	1024	1024																																	0						0										
103590						26				110			68		0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103590		2271	1135	2271	1135	22664	2																															4800											76589											755	2306	838860	赤岬山城								0		0		0																					10000	3840							0		0						3750																																																													1024	1024	1024	1024	1024																																	0						0										
103591						26				110			55		0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103591		2271	1135	2271	1135	28	1																															4800											76590											755	2306	838860	赤岬山城								0		0		0																					10000	3840							0		0						3750																																																													1024	1024	1024	1024	1024																																	0						0										
103592						26				110			68		0	0		180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		103592		2271	1135	2271	1135	28	1																															4800											76591											755	2306	838860	赤岬山城								0		0		0																					10000	3840							0		0						3750																																																													1024	1024	1024	1024	1024																																	0						0										
103633	唐让	夔州刺史				26				110			69	4				180	1954457			1759012					22						913	1881	1881	1881	1881	1881		2121	193	193	193	193		103633		8269	4134	8269	4134	28	1																															4800											76624											1258	3843	838860	赤岬山城							<G>这个钩爪本官可是讨了好久，才从他那里讨到的呢。	100		0		0																					10000	3840									0					4	3750																																																													1024	1024	1024	1024	1024																																	0																
103634	叶春生					26				110			55	6				180	26385180			23746662					22						0	1105	1105	1105	1105	1105		2121	193	193	193	193		103634		10143	5071	10143	5071	28	1	30				20	10																									4800											76625											9437	28825	838860	赤岬山城								0		0		0																				500	10000	3840									0					5	3750																																																								26					1024	1024	1024	1024	1024																																	0																1
103635	燕晴					26				110			55	6				180	26385180			23746662					22						0	1105	1105	1105	1105	1105		2121	193	193	193	193		103635		10143	5071	10143	5071	28	1	30				20	10																									4800											76626											9437	28825	838860	赤岬山城								0		0		0																				500	10000	3840									0					5	3750																																																													1024	1024	1024	1024	1024																																	0																1
103636	郭珠	丐帮江陵分舵堂主				26				110				6				180	26385180			23746662					22						0	1105	1105	1105	1105	1105		2121	193	193	193	193		103636		10143	5071	10143	5071	28	1																															4800											76628											9437	28825	838860	赤岬山城							<G>我要把这些水贼打个稀巴烂！	100		0		0																				500	10000	3840									0					5	3750																																																													1024	1024	1024	1024	1024																																	0																1
