ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
110015	笑妆娘	拜灵				28				113				6				704800	92400000			38247958					30	10000	10000	10000	10000	10000	0	1458	1458	1458	1458	1458		2883	2883	2883	2883	2883		110015		84300	0	15696	7848	28	1					20	10																									99999											82453	84991									1392				楚州_江天夜宴					1			0		0		0					scripts/Map/楚州_江天夜宴/npc/笑妆娘.lua															4000	10000	-1									254	0				5	6040	0	2																																																						28					0	0	0	0	0								1															2048				1						1													1	0												
110016						26		9		113				6	0	0		704800	99999999								30																			110016																																						99999999																									楚州_江天夜宴					1			0		0		0																						-1							0		254					5	6040		2																																																						26					0	0	0	0	0																							2048										1						0								0												
110017						26		9		113				6	0	0		704800	99999999								30																			110017																																						99999999																									楚州_江天夜宴					1			0		0		0																						-1							0		254					5	6040		2																																																						26					0	0	0	0	0																							2048										1						0								0												
110018	白兆霆	飞白剑				28				113			67	6				1	92400000			38247958					30	10000	10000	10000	10000	10000	0	1458	1458	1458	1458	1458		2883	2883	2883	2883	2883		110018		87800	0	16677	8338	28	1	34				24	10																									99999											82454										1392				楚州_江天夜宴					1			0		0		0					scripts/Map/楚州_江天夜宴/npc/白兆霆.lua															4000	10000	-1									254	0				5	6040	0	3																																																						28					0	0	0	0	0								1															2048				1						1													1	0												
110019						26		9		113				6	0	0		704800	99999999								30																			110019																																						99999999																									楚州_江天夜宴					1			0		0		0																						-1							0		254					5	6040		3																																																						26					0	0	0	0	0																							2048										1						0								0												
110020						26		9		113				6	0	0		704800	99999999								30																			110020																																						99999999																									楚州_江天夜宴					1			0		0		0																						-1							0		254					5	6040		3																																																						26					0	0	0	0	0																							2048										1						0								0												
110021	邙赫达	平卢军将领				28				113			66	6				1	92400000			38247958					30	10000	10000	10000	10000	10000	0	1458	1458	1458	1458	1458		2883	2883	2883	2883	2883		110021		0	0	15696	7848	31848	1					20	10																									99999											82455										1392				楚州_江天夜宴					1			0		0		0					scripts/Map/楚州_江天夜宴/npc/邙赫达.lua															4000	10000	-1									254	0				5	6040	0	4																																																						28					0	0	0	0	0								1															2048				1						1													1	0												
110022						26		9		113				6	0	0		704800	99999999								30																			110022																																						99999999																									楚州_江天夜宴					1			0		0		0																						-1							0		254					5	6040		4																																																						26					0	0	0	0	0																							2048										1						0								0												
110023						26		9		113				6	0	0		704800	99999999								30																			110023																																						99999999																									楚州_江天夜宴					1			0		0		0																						-1							0		254					5	6040		4																																																						26					0	0	0	0	0																							2048										1						0								0												
110024	白兆霆	飞白剑				28		9		113				6	0	0		180	42497731			38247958					22	10000	10000	10000	10000	10000	0	1458	1458	1458	1458	1458		2883	2883	2883	2883	2883		110024		15696	7848	15696	7848																																	4800																									楚州_江天夜宴								0		0		0																				4000	10000	3840							0		0					5	6040																																																								28					1024	1024	1024	1024	1024																																	0	1					0																				
110242	桑来照	哑琴				27				113								180	786995			708295					22						1242	491	491	491	491	491		1367	130	130	130	130		110242		3514	1757	3514	1757																																	4800											82457											770	2351	838860	楚州_江天夜宴								0		0		0					scripts/Map/楚州_江天夜宴/npc/桑来照.lua																10000	3840									0						6040																																																								27					1024	1024	1024	1024	1024																																	0			1																							
110243	傅七殊	溪山浣音				27				113			66					180	786995			708295					22						1242	491	491	491	491	491		1367	130	130	130	130		110243		3514	1757	3514	1757																																	4800											82456											770	2351	838860	楚州_江天夜宴								0		0		0					scripts/Map/楚州_江天夜宴/npc/傅七殊.lua																10000	3840									0						6040																																																								27					1024	1024	1024	1024	1024																																	0			1																							
110244	镜归渊	青江盟少主				27				113			57			0		180	786995			708295					22						1242	491	491	491	491	491		1367	130	130	130	130		110244		3514	1757	3514	1757	28	1	30				20	10																									4800											82458											770	2351	838860	楚州_江天夜宴								0		0		0																					10000	3840									0						6040																																																								27					1024	1024	1024	1024	1024																																	0						0																				
110245	镜演	青江盟副盟主				0				113								180	786995			708295					22						1242	491	491	491	491	491		1367	130	130	130	130		110245		3514	1757	3514	1757	27588	1																															4800											82459											770	2351	838860	楚州_江天夜宴								0		0		0																					10000	3840									0						6040		4																																																											1024	1024	1024	1024	1024																																	0																										
110246	杨青月	道子		3		26				113								704800	786995			708295					30						1242	491	491	491	491	491		1367	130	130	130	130		110246		3514	1757	3514	1757	28	1																															99999999											82460											770	2351	838860	楚州_江天夜宴								0		0		0					scripts/Map/楚州_江天夜宴/npc/杨青月.lua																10000	-1									254						6040																																																													0	0	0	0	0																																	1																										
