ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
120769						26				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120769		412	206	412	206	28	1	10		1	1024	0	10																									4800											86368	86369	86370	86371	86372	86373	86374					625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0	1													0												
120770						26				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120770		412	206	412	206	28	1	30		1	1024	20	10																									4800											86375	86376	86377	86378	86379	86380	86381					625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0	1													0												
120771						26				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120771		412	206	412	206	28	1	29		1	1024	19	10																									4800											86382	86383	86384	86385	86386	86387						625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0	1													0												
120772						26		8							0	0		180	5			4					22						8	3	3	3	3	3		6						120772		3	2	3	2																																	4800											86388	86389	86390	86391	86392	86393	86394								春节天街灯市_不良人								0		0		0																						3840							0		0						2	78																																																												1024	1024	1024	1024	1024																																	0	1													0												
120773						0							20		0	0		180									22																			120773						28	1	30		1	1024	20	10																									4800											86395														春节天街灯市_不良人								0		0		0																						3840							0		0						2																																																													1024	1024	1024	1024	1024																																	0														0												
120774						26				95			20		0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120774		412	206	412	206	28	1	29		1	1024	19	10																									4800											86396	86397	86398	86399								625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																							26					1024	1024	1024	1024	1024																																	0	1													0												
120775						26				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120775		412	206	412	206	28	1	30		1	1024	20	10																									4800											86400	86401	86402	86403	86404	86405						625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0	1													0												
120776						26				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120776		412	206	412	206	28	1	30		1	1024	20	10																									4800											86406	86407	86408	86409	86410	86411						625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0	1													0												
120777						26		8		95			91		0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120777		412	206	412	206																																	4800											86412	86413	86414	86415	86416	86417	86418	86419	86420						春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0	1													0												
120778						26				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120778		412	206	412	206																																	4800											86421	86422	86423	86424	86425							625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																							26					1024	1024	1024	1024	1024																																	0	1													0												
120779	花灯烟花数量总控					26												180									22																			120779						28	1																															4800																									春节天街灯市_不良人								0		0		0																						3840									0						2																																																													1024	1024	1024	1024	1024																																	0														0												
120780	天小灯	天街灯市接引人				0				95			9034					180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120780		412	206	412	206	28	1	30		1	1024	20	10																									4800											86426											625	1906	838860	春节天街灯市_不良人							<G>新年好呀，新年好呀，祝福大侠新年好。	100	<G>大侠可曾听闻过天街灯市？值得一游，品质保证，信我没错！	100	<G>大侠新年大吉！大侠可愿到天街灯市一游呀？	100					scripts/Map/春节天街灯市/npc/接引人_主城.lua																	3840									0			1440	420		775	712																																																												1024	1024	1024	1024	1024																																	0														0												
120781	天小凡	天街灯市接引人				0				95								180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120781		412	206	412	206	28	1	30				20	10																									4800											86427											625	1906	838860	春节天街灯市_不良人								0		0		0					scripts/Map/春节天街灯市_不良人/npc/不良人接引人_天街灯市.lua																	3840									0						775	712																																																												1024	1024	1024	1024	1024																																	0														0												
120782	赵云睿					0				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120782		412	206	412	206	28	1																															4800											86428											625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0														0												
120783	茶馆小童					0				95					0	0		180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		120783		412	206	412	206																																	4800											86429											625	1906	838860	春节天街灯市_不良人								0		0		0																						3840							0		0						775	712																																																												1024	1024	1024	1024	1024																																	0														0												
