ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
701	华清源	接引道士		3	0	14				58			65	3				30	5295			4765					22	9450					36	12	12	12	12	12		28	3	3	3	3		701	21	139	70	139	70	28	1	30		1	1024	20	10																																				4763										1	111	144	838860	纯阳			0	0			<G>“草铺横野六七里，笛弄晚风三四声。归来饱饭黄昏后，不脱蓑衣卧月明。”祖师不仅道法精深，诗文也是一绝啊！	100	<G>山门大开，广纳有缘人。有道是“洞府藏神仙，无缘难相见”，要珍惜机会啊。	100												14	-5000									0	9000									1		0				3	270	290																																																							14				0									0	0	0	0															1									1		0						1										
703	祁进	紫虚真人		3		14				99			34	2				30	32667880			29401092					22	9450					0	89	89	89	89	89		134	12	12	12	12		703	21	5589	2794	5589	2794	28	1	35		1	1024	25	10																																				782										0	10694	13888	838860	纯阳					1		<G>任何威胁到纯阳的人，都要首先问问我手中的剑！我倒要看看那群叛徒有什么鬼把戏。	100	<G>那帮叛徒最近鬼鬼祟祟，不知道又想干什么。无论如何，也不能让当年的悲剧重演。	100							scripts\Map\纯阳\npc\祁进_激活昆仑道士.lua					14	-10000									0	9000									1		0				2	1115	5000																																																							14													0	0	0	0															1									1		0						1								0		
704	邓屹杰	紫虚大弟子		3	0	14				34			27	3				30	1386			1248					22	9450					21	7	7	7	7	7		16	2	2	2	2		704	21	70	36	70	36	28	1	30		1	1024	20	10																																				777										0	41	53	734003	纯阳			0	0																		14	-5000									0	9000									1		0				3	131	143																																																							14				0									0	0	0	0															1									1		0						1								0		
706	胡老爷	香客		3	0	26				3			39	3		0		30	36			32					22	9450					8	3	3	3	3	3		6	1	1	1	1		706	21	5	3	5	3	28	1	29		1	1024	19	10																																				697										1	1	1	629145	纯阳			0	0			<G>山路如此难走，年轻人，别光顾着看风景，你也要小心些。还有，我看着华山虽然是仙家之地，却有隐隐一股杀气，恐怕有什么大事发生……游完还是赶紧回去吧。	1000														14	-250									0	9000								0	1		0				3	10	57																																																							26				0									0	0	0	0															1									1		0						1										
707	纪香云	香客		3	0	26				5			41	3		0		30	60			54					22	9450					8	3	3	3	3	3		6	1	1	1	1		707	21	7	4	7	4	28	1	26		1	1024	16	10																																				698										1	2	2	629145	纯阳			0	0			<G>上次我和夫君来过，听说华山纯阳观十分灵验，这次来看看我们上次锁的同心锁还在不？如果不在，哼哼，那就证明他在外面有状况！	1000														14	-250									0	9000								0	1		0				3	16	61																																																							26				0									0	0	0	0															1									1		0						1										
708	齐笑云			3		14				28			59					30	849			764					22	9450					17	6	6	6	6	6		13	1	1	1	1		708	21	53	27	53	27	28	1	30		1	1024	20	10																																				322											33	42	629145	纯阳			0	0			<G>我自修我的真，红尘与我何干？任它山间风云变幻，我当看不见便是。	1000														14	-5000									0	9000									1		0					101	120																																																							14													0	0	0	0																				0						0	0		0													
709	金昀	清虚二弟子		3	0	14				80			36	6				30	515232			463709					22	9450					0	51	51	51	51	51		82	7	7	7	7		709	21	643	321	643	321	28	1	30		1	1024	20	10																																				823										0	4812	6250	838860	纯阳			0	0			<G>我等修道之人最先要学会的便是心静。	1000														14	-5000									500	9000						4			1		0				5	433	5000																																																							14													0	0	0	0															1									1		0						1								0		
710	高剑	紫虚二弟子		3	0	14				12			77	6				30	8909			8018					22	9450					0	8	8	8	8	8		13	1	1	1	1		710	21	45	23	45	23	28	1	30		1	1024	20	10																																				62175										0	150	462	629145	纯阳			0	0			<G>我本师父首徒，却窝在此处无法大展拳脚，好不烦闷！	1000									scripts/Map/纯阳/npc/高剑.lua					14	-5000									500	9000					4				1		0				5	37	937																																																							14													0	0	0	0															1									1		0						1								0		
711	梁萍	香客		3	0	26				4			41	3		0		5	48			43					22	9450					8	3	3	3	3	3		6	1	1	1	1		711	21	6	3	6	3	28	1	26		1	1024	16	10																																				225										1	2	2	629145	纯阳			0	0			<G>父亲为人太过软弱，遇事总是明哲保身。哎……这番又被朝中佞臣弄的晕头转向。故而我来给他祈福。	1000									scripts\Map\纯阳\npc\梁萍.lua					14	-250									0	9000								0	1		0				3	13	59																																																							26													0	0	0	0															1									1		0						1										
713	于睿	清虚真人		3	0	14				99			52	2				30	32667880			29401092					22	9450					0	89	89	89	89	89		134	12	12	12	12		713	21	2959	1479	2959	1479	28	1	36		1	1024	26	10																																				783											10694	13888	838860	纯阳			0	0	1		<G>纯阳弟子大都聪慧灵敏，悟道之人，就应该体物入微。卓师弟和祁师弟两人却是直来直去的性子，前些日子吵了一架，至今未曾和好。	10	<G>哎，祁师弟何时能改改不动脑子的脾性啊？成天为难小辈。掌门师兄那边也是进退维谷。对了——朝阳峰的龙骨真是奇异，若非天地异动，绝无此物。	10							scripts/Map/纯阳/npc/于睿.lua					14	-10000									0	9000			4						15		0				2	1115	5000																																																							14													0	0	0	0															1									1		0						1										
