ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
19747	高捕头	大唐监狱		3	0	0	1	1	0	120	0	950	28	4	1	1		180	2879567	0	0	2591611	0	0	100	6	22	9000	0	0	0	0	2010	4138	4138	4138	4138	4138	1024	4667	424	424	424	424	0	19747	1	15266	7633	15266	7633	28	1	28	0	1	1024	18	10	667	17	80	0	1	512	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30275	0	0	0	0	0	0	0	0	0		958	2923	838860	大唐监狱	0	0	1	1	0	0	<G>近日杀人越货的行为越来越多，正所谓魔高一尺，道高一丈。我们<F173 捕快联合江湖各路大侠一起缉拿人犯>，不仅是官衙效率提高了，<F171 大侠也得到了赏金>。	1000	<G>什么，<F173 你的好友被关在牢里>了？悄悄告诉你，<F173 只要你有钱>，<F173 就去找我们典狱长>，<F171 绝对能见到你的好友>，<F171 甚至可以保释出狱>；你不要给别人说，有一次有人去探监，竟然<F172 把典狱长击伤>，<F171 犯人被劫出狱>，这事只有我知道，你可别乱说，不然典狱长要是知道这事走漏了风声，我的饭碗可不保啊。	1000	<G><F173 监狱后山每日都会有些杂活>，若你曾经做过什么错事，不如去帮帮忙或许能帮你<F171 减轻罪恶感>。	1000		0	0	0						0	0	0	0	0	0	0	0	0	0		10000	3840	0	0	0	0	0	0	1	1	0	0	1.00	1440	420	6	8840	847	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0	0		0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1		0		0							0	1													0		
19765	马勇	典狱长		3	0	0	1	1	0	120	0	950	75	4	1	1		180	8638703	0	0	7774833	0	0	100	6	40	9000	0	0	0	0	2010	4138	4138	4138	4138	4138	1024	4667	424	424	424	424	0	19765	1	18531	9266	18531	9266	7804	1	38		1	1024	28	10	7806	1	300	100	1		28	10	7809	1	450	400	1	1024	28	10	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30292	0	0	0	0	0	0	0	0	0		4025	12280	838860	大唐监狱	0	0	1	1	0	0	<G>杀气值过重可以去<F173 监狱后山>找<F173 高捕头>帮忙。	1000	<G>想要探望监狱里的友人，不如先去问下<F173 我旁边>的<F173 顾师爷>。	1000	<G>最近犯罪率明显下降了不少。	1000		0	0	0	scripts\Map\大唐监狱\npc\马勇 - 典狱长.lua					0	0	0	0	0	0	0	0	0	0		10000	2000	0	0	0	0	0	0	1	1	254	0	1.00	0	960	8	8840	5015	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1		0		0							1	1													0		
19966	监狱守卫	大唐监狱		3	0	0	1	1	0	120	0	950		4	1	1		180	8638703	0	0	7774833	0	0	100	6	40	9000	0	0	0	0	2010	4138	4138	4138	4138	4138	1024	4667	424	424	424	424	0	19966	1	18531	9266	18531	9266			38		1	1024	28	10			300	100	1	1024	28	10			450	400	1	1024	28	10	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30493	0	0	0	0	0	0	0	0	0					大唐监狱	0	0	1	1	0	0		0		0		0		0	0	0						0	0	0	0	0	0	0	0	0	0		10000	3840	0	0	0	0	0	0	1	1	3070	0	1.00	0	960	8	8840	3560	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1		0		0							1	1													0		
19967	狼牙巡监	狼牙军		3	0	0	1	1	0	120	0	950	1	4	1	1		180	2879567	0	0	2591611	0	0	100	6	35	9000	0	0	0	0	2010	4138	4138	4138	4138	4138	1024	4667	424	424	424	424	0	19967	1	18605	9303	18605	9303	28	1	39	0	1	1024	29	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30494	0	0	0	0	0	0	0	0	0					大唐监狱	0	0	1	1	0	0	<G>看什么看，老实点,不要不识抬举！	1000	<G>最近总是有犯人莫名其妙的失踪，难不成是我得了妄想症。	1000	<G>别耍小把戏，嘿,说你呢!上次有个囚犯被我打的直叫爹!	1000		0	0	0	scripts\Map\大唐监狱\npc\狱卒.lua					0	0	0	0	0	0	0	0	0	0		10000	3840	0	0	0	0	0	0	1	1	0	0	1.00	0	960	6	8840	847	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	0	0		0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1		0		0							0	1													0		
20019	赵冷雪	名捕		2	0	26	1	1	0	120	0	950	1	4	1	1		180	7083737	0	0	8062502	0	0	100	6	22	9000	0	0	0	0	1904	4488	4488	4488	4488	4488	1024	3652	424	424	424	424	0	20019	1	22823	11411	22823	11411	28	1	39	0	1	1024	29	10			32	0	1	512	10	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	8000	0	20		0		0		0		0	30552	0	0	0	0	0	0	0	0	0		4025	12280	838860	大唐监狱	0	0	1	3		0		0		0		0		0	0	0	scripts\Map\大唐监狱\npc\捕快.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	1	508	0	1.00	0	960	8	8840	0	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048	0		0							1	1													0		
20020	张骓铭	名捕		2	0	26	1	1	0	120	0	950	1	5	1	1		180	3777993	0	0	4300001	0	0	100	6	22	9000	0	0	0	0	0	2633	2633	2633	2633	2633	1024	3652	424	424	424	424	0	20020	1	27387	13694	27387	13694	28	1	39	0	1	1024	29	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	8000	0	20		0		0		0		0	30555	0	0	0	0	0	0	0	0	0		2795	8527	838860	大唐监狱	0	0	1	3		0		0		0		0		0	0	0	scripts\Map\大唐监狱\npc\捕快.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	1	508	0	1.00	0	960	7	8840	0	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048	0		0							1	1													0		
20021	马铁寿	名捕		2	0	26	1	1	0	120	0	950	1	5	1	1		180	8500484	0	0	9675002	0	0	100	6	22	9000	0	0	0	0	0	2633	2633	2633	2633	2633	1024	3652	424	424	424	424	0	20021	1	24344	12172	24344	12172	28	1	28	0	1	1024	18	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	8000	0	20		0		0		0		0	30556	0	0	0	0	0	0	0	0	0		4192	12791	838860	大唐监狱	0	0	1	3		0		0		0		0		0	0	0	scripts\Map\大唐监狱\npc\捕快.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	1	508	0	1.00	0	960	9	8840	0	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048	0		0							1	1													0		
20022	王梧擎	名捕		2	0	26	1	1	0	120	0	950	1	5	1	1		180	17000968	0	0	19350005	0	0	100	6	22	9000	0	0	0	0	0	2633	2633	2633	2633	2633	1024	3652	424	424	424	424	0	20022	1	61960	30979	61960	30979	28	1	28	0	1	1024	18	10						1024		8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	8000	0			0		0		0		0	30557	0	0	0	0	0	0	0	0	0		7453	22740	838860	大唐监狱	0	0	1	4		0		0		0		0		0	0	0	scripts\Map\大唐监狱\npc\捕快.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	1	508	0	1.00	0	960	11	8840	0	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0					1	2048	0		0							1	1													0		
20023	沈厚	总捕头		2	0	26	1	1	0	120	0	950	1	6	1	1		180	204011625	0	0	232200061	0	0	100	6	22	9000	0	0	0	0	0	4488	4488	4488	4488	4488	1024	3652	424	424	424	424	0	20023	1	122128	61064	122128	61064	28	1	31	0	1	1024	21	10			32	0	1	512	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	8000	0			0		0		0		0	30558	0	0	0	0	0	0	0	0	0		44722	136444	838860	大唐监狱	0	0	1	3		0		0		0		0		0	0	0	scripts\Map\大唐监狱\npc\捕快.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	1	508	0	1.00	0	960	12	8840	0	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048	0		0							1	1													0		
20044	冷鹰	名捕·金眼雕		2	0	26	1	1	0	120	0	950	1		1	1		180	1151827	0	0	1036644	0	0	100	6	22	9000	0	0	0	0	2010	794	794	794	794	794	1024	2211	211	211	211	211	0	20044	1	5240	2620	5240	2620	28	1	28	0	1	1024	18	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20		0		0		0		0	30595	0	0	0	0	0	0	0	0	0		805	2456	838860	大唐监狱	0	0	1	1	0	0	<G>大人，你怎么看？	3000		0		0		0	0	0	scripts\Map\大唐监狱\npc\元芳-加入捕快和查看规则.lua					0	0	0	0	0	0	0	0	0	0		10000	3840	0	0	0	0	0	0	1	1	0	0	1.00	0	960	3	8840	330	-1	0		0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26	0		0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1		0		0							0	1													0		
