ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
55524	八重妙法村正					26				120				6				704800	304216217			94751000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55524		4186	2093	4186	2093	28	1	11		1	1024	1	10																									99999999											57498											0	0	0	刀轮海厅					1			0		0		0					scripts/Map/刀轮海厅/npc/BOSS不死.lua															500	10000	-1									254					5	1019	0	1									0																																																		0	0	0	0	0										0		0											2048									1000	1																
55527	剑圣					26				120								0	999999999			99999999					22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55527		5232	2616	5232	2616	28	1	30		1	1024	20	10																									99999999											57501											0	0	0	刀轮海厅					1			0		0		0																				500	10000	-1									0						1019	0										0																																																		1024	1024	1024	1024	1024										0		0																				1000	0																
55528	令狐伤					26				120			182	6				704800	240648649			8000000					30	10000	10000	10000	10000	10000		3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55528						28	1	28		1	1024	18	10																									99999999											57502											0	0	0	刀轮海厅					1	670		0		0		0					scripts/Map/刀轮海厅/npc/BOSS不死.lua															500	10000	-1									254					5	1019	0	1									0																																																		0	0	0	0	0										0		0											2048									1000	1																
55530	赵淮					26				120			72	6				704800	231567568			5300000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55530		139684				28	1	30		1	1024	20	10																									99999999											57504											0	0	0	刀轮海厅					1	654		0		0		0					scripts/Map/刀轮海厅/npc/BOSS不死.lua															500	10000	-1									254					5	1019	0	1									0																																																		0	0	0	0	0										0		0											2048									1000	1																
55550	剑圣的影					26				120				6				86500	67430615			1336571					22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55550		16343	8178	16343	8178	28	1																															99999999											57517											0	0	0	刀轮海厅					1			0		0		0																				500	10000	-1									0					5	1019	0										0																																																		1024	1024	1024	1024	1024										0		0																				1000	0																
55568						26		9		120				6	0	0		86500	454054009			99999999					22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55568		159175	79581	159175	79581	28	1	43		1	1024	33	10																									99999999											57543											0	0	0	刀轮海厅			0		1			0		0		0																				500	10000	-1							0		0					15	775	0										0																																																		1024	1024	1024	1024	1024										0		0																					0																
55569	韩梨					26				120			31	6				704800	489470271			2400000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55569		53334		53334		28	1			1	1024	24		17342	1	128	128	2				17356	1	245	245	2						544	544	2				99999999											57544											0	0	0	刀轮海厅					1			0		0		0					scripts/Map/刀轮海厅/npc/BOSS不死.lua															500	10000	-1									54					5	1019	0	2									0																																																		0	0	0	0	0										0		0											2048									1000	1																
55573	柳雪乾					26				120			64	6				704800	245189190			2400000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55573		118858		118858		28	1			1	1024	24		17333	1	48	48					17351	1	244	244	2					1	128	128					99999999											57548											0	0	0	刀轮海厅					1			0		0		0					scripts/Map/刀轮海厅/npc/BOSS不死.lua															500	10000	-1									254					5	1019	0	2									0													17363				1				16								7				512																	0	0	0	0	0										0		0											2048									1000	1																
55584	迷雾中					26		9		120					0	0		704800	999999999			9999999					22	10000	10000	10000	10000	10000		3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55584						28	1	43		1	1024	33	10																									99999999											57557											0	0	0	刀轮海厅			0		1			0		0		0																				500	10000	-1							0		3070						775	0	1									0																																																		0	0	0	0	0										0		0											2048										1																
55586	小木					26		2		120				6	0	0		704800	283208725			0					22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55586		76762	38375	76762	38375	28	1	26		1	1024	16	10																									99999999											57560											0	0	0	刀轮海厅			2		1	300		0		0		0					scripts/Map/刀轮海厅/npc/浮空.lua															500	10000	-1							0		3070					12	775	0	2									0																																																		0	0	0	0	0										0		0											2048										1																
55587	古刀					26		3		120			72			0		704800	999999999			24751000					22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55587		7023	3518	7023	3518	28	1	43		1	1024	33	10																									99999999											58274											0	0	0	刀轮海厅			0		1		已经多年无人来到此处……	100	此刀空灵，但已非常陈旧。	100		0					scripts/Map/刀轮海厅/npc/浮空.lua															500	10000	-1									3070						775	0	3									0																																																		0	0	0	0	0										0		0											2048										1																
55595	柳贯角的影					26				120				6				704800	254270271			24000000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55595		4186	2093	4186	2093	17369	1	24		1	1024	20	10	17372	1	245	245	2				17391	1	487		7	746			17389	1	128	128	2				99999999											57974											0	0	0	刀轮海厅					1	712		0		0		0					scripts/Map/刀轮海厅/npc/BOSS不死.lua															500	10000	-1									254					5	1019	0	3									0													17392				1				16								7				256												26					0	0	0	0	0										0		0											2408									1000	1																
55719						28		9		121					0	0		86500	999999999			80000000					22	10000	10000	10000	10000	10000		4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		55719						28	1	43		1	1024	33	10																									99999999											57734										2	0	0	0	刀轮海厅			0		1			0		0		0																				1500	10000	-1							0		254						860	0										0																																																		0	0	0	0	0										0		0																					0																
55720						28		9		121					0	0		86500	385945946			0					22	10000	10000	10000	10000	10000		4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		55720						28	1	43		1	1024	33	10																									99999999											57735											0	0	0	刀轮海厅			0		1			0		0		0																				1500	10000	-1							0		0						860	0										0																																																		1024	1024	1024	1024	1024										0		0																					0																
55817						26		9		120				6	0	0		86500	999999999			99999999					22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55817		51		51		28	1	43		1	1024	33	10																									99999999											57862											0	0	0	刀轮海厅			0		1			0		0		0																				500	10000	-1							0		4095					5	775	0										0																																																		0	0	0	0	0										0		0																					0																
55845						28		9		120					0	0		86500	999999999			0					22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55845		7023	3518	7023	3518	28	1	43		1	1024	33	10																									99999999											58293											0	0	0	刀轮海厅			0		1			0		0		0																				500	10000	-1							0		0						775	0										0																																													28					1024	1024	1024	1024	1024										0		0																					0	1															
55918	地毯					28				120								0	385945946								30	10000	10000	10000	10000	10000		3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55918						28	1	43		1	1024	33	10																									99999999											57987										2	0	0	0	刀轮海厅					1			0		0		0																				500	10000	-1									254						775	0										0																																																		0	0	0	0	0										0		0											999999										1																
55923						28		9		120					0	0		704800	999999999			24751					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		55923		5232	2616	5232	2616																																	99999999											36530											0	0	0	刀轮海厅					1			0		0		0																				500	10000	-1							0		3070						775	0										0																																																		0	0	0	0	0										0		0											2048										1																
56061	郭铃儿	接引人				26				120			24					704800	1248695			24751					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		56061		5232	2616	5232	2616	28	1	30		1	1024	20	10																									99999999											58157											0	0	0	刀轮海厅					1		<G>刀轮海厅哪是什么人都能通过的，他们也太小看海厅的难度了。	100		0		0					scripts/Map/刀轮海厅/npc/接引人.lua															500	10000	-1									254						775	0										0																																																		0	0	0	0	0										0		0											2048										1																
56062	张瑜歌	扬名擂声望商				167				120			24					704800	1248695			24751					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		56062		5232	2616	5232	2616	28	1	30		1	1024	20	10																									99999999											58158											0	0	0	刀轮海厅					1		<G>海厅开了这么久，不知道有几人闯过这些关卡。	100		0		0																				500	10000	-1									254						775	0										0																																													167					0	0	0	0	0										0		0											2048										1	1													0		
