ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
57622	董龙					28				17				6				0	6000			10000					30	10000					0	0	10	10	10	10								57622		81	14	81	14	28	1	11		1	1024	1	10																									99999999											59765														稻香秘事					1			0		0		0					scripts/Map/稻香秘事/npc/董龙.lua																10000	-1									254		1			5	49	500	2																																																						28					0	0	0	0	0								1															2048									0	1																
57627	董虎					28				17				6				704800	5400			100					30	10000					0	0	10	10	10	10								57627		67	14	67	14	28	1	11		1	1024	1	10																									99999999			剑胆琴心/稻香秘事5人普通/gear_1_1.tab	1	剑胆琴心/5人公共掉落/Pattern_boss_all.tab	1					59769	60347									1392			1048576	稻香秘事					1			0		0		0					scripts/Map/稻香秘事/npc/董虎.lua																10000	-1									254		0.1			5	49	500	1																																																						28					0	0	0	0	0								1															2048				1					0	1																
57628	无名					28				17			33	6				0	10600			13808					6	10000					0	0	10	10	10	10								57628		201		201																																		99999999											59770														稻香秘事					1			0		0		0					scripts/Map/稻香秘事/npc/无名.lua																10000	-1									254		0.1			5	49	500	3																																																						28					0	0	0	0	0																							2048				0					0	1																
57660	飞镖			5		28				18			269	5	0	0		0	1000000			1022					30						0	10	10	10	10	10		16						57660		867	441	867	441	28	1	43		1	1024	33	10																									99999999											59804										2				稻香秘事					1			0		0		0																						-1							0		254					7	53	309	3																																																						28					0	0	0	0	0																							2048										1						0										
57662				5		0									0	0		0									30																			57662						28	1	43		1	1024	33	10																									99999999											59806														稻香秘事								0		0		0																						-1							0		254						2																																																													0	0	0	0	0																																	1						0										
57693	无名					28				17				6	0	0		0	24000			100					30	10000					0	0	10	10	10	10								57693		201		201		28	1	11		1	1024	1	10																									99999999											59843										0				稻香秘事					1			0		0		0																					10000	-1							0		254		0.1			5	49	500	3																																																						28					0	0	0	0	0								1															2048									0	1																
57710	山贼				3	28				15			68	5				0	679			611					30						0	8	8	8	8	8		13						57710		654	334	654	334	28	1	11		1	1024	1	10																									99999999											59866														稻香秘事								0		0		0																						-1									254					7	45	284	1																																																											0	0	0	0	0																																	1																
57735						26		9		95			55		0	0		0	39006			35105					30						126	42	42	42	42	42		97	9	9	9	9		57735		8481	4241	8481	4241	28	1	44		1	1024	34	10																									99999999											59889														稻香秘事					1			0		0		0																						-1							0		254						1019	500	1																																																						26					0	0	0	0	0																																	1																
57736						26		9		95					0	0		0	39006			35105					30						126	42	42	42	42	42		97	9	9	9	9		57736		8294	4134	8294	4134	28	1	43		1	1024	33	10																									99999999											59890														稻香秘事					1			0		0		0																						-1							0		254						1019	500	2																																																						26					0	0	0	0	0																																	1																
57752						0		9							0	0		0	6			6					30						8	3	3	3	3	3		6						57752		4		4		28	1	43		1	1024	33	10																									99999999											59908														稻香秘事								0		0		0																						-1							0		254						2	54																																																												0	0	0	0	0																																	1						0										
57808	傀儡					28				18				5				0	480			1000					30						0	10	10	10	10	10		16						57808		694	334	694	334	28	1	34		1	1024	24	10																									99999999											59970										2	111	336	629145	稻香秘事					1			0		0		0					scripts/Map/稻香秘事/npc/傀儡.lua																	-1									254		1			7	53	309	3																																																											0	0	0	0	0																							2048										1																
57809						26		9		95					0	0		0	39006			35105					30						126	42	42	42	42	42		97	9	9	9	9		57809		8294	4134	8294	4134	28	1	43		1	1024	33	10																									99999999											59971														稻香秘事					1			0		0		0																						-1							0		254						1019	500	3																																																						26					0	0	0	0	0																							2048				0						1	0		0													
57960	毛毛					0				8								0	102			91					14						8	3	3	3	3	3		6						57960		134	67	134	67	28	1	25		1	1024	15	10																									99999999											60160														稻香秘事								0		0		0																						-1									254						25	66																																																												0	0	0	0	0																																	1																
57961	莫雨					26				10								0	132			119					14						8	3	3	3	3	3		6						57961		174	81	174	81	28	1	25		1	1024	15	10																									99999999											60161														稻香秘事								0		0		0																						-1									254						31	70																																																							26					0	0	0	0	0																																	1																
57962	刘洋	村长		3		0												0									30																			57962						28	1	25		1	1024	15	10																									99999999											60162														稻香秘事							<G>唉……没想到事态恶化的如此之快。	100		0		0																						-1									254						4																																																													0	0	0	0	0																																	1																
57963	刘大海					0												0									20																			57963						28	1	28		1	1024	18	10																									99999999											60163														稻香秘事							<G>可恶的山贼……	100		0		0					scripts/Map/稻香秘事/npc/刘大海.lua																	-1									254																																																																			0	0	0	0	0																																	1																
57968	王大石					27				18								0	321			289					16						10	3	3	3	3	3		8						57968		14	14	14	14	28	1	11		1	1024	1	10																									99999999											60168														稻香秘事							<G>村长……村长……	100		0		0					scripts/Map/稻香秘事/npc/王大石.lua																	-1									254		0.1				53	89																																																							27					0	0	0	0	0																																	1																
57969	小月					0				8								0	102			91					16						8	3	3	3	3	3		6						57969		134	67	134	67	28	1	25		1	1024	15	10																									99999999											60169														稻香秘事								0		0		0																						-1									254						25	66																																																												0	0	0	0	0																																	1																
57998	董龙宝箱			2	0	26	1	9	0	17	0	950	29		0	0		704800	999999999	0	0	45	0	0	100	6	22	9000	0	0	0	0	0	1	1	1	1	1	1024						0	57998	1	28267	14134	28267	14134	28	1	15	0	1	1024	5	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	剑胆琴心/稻香秘事5人普通/gear_2_1.tab	1	剑胆琴心/5人公共掉落/Pattern_boss_all.tab	1	家具副本掉落\jiaju208_1.tab	1			60218										1392			1048576	稻香秘事	0	0	1	1	1	0		0		0		0					scripts/Map/稻香秘事/npc/董龙宝箱.lua							0	0	0	0	0	0	0	0			-1	0	0	0	0	0	0	0		3070	1	1.00	0	960	3	49	0	2			0	-1	7	0	-1	0																						32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			6	0	0	0	1	0													1	2560				1						1																
