ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
14129	胡鞑	白眉鼠王		2	0	28	1	1	0	121	0	950	60	6	1	1		0	434608696	0	0	8000000	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146	1024	11073	11073	11073	11073	11073	0	14129	1	94314	5421	118516	59261	28	1			1	1024	41	10	2264	2	160	64	14	1024	16	8	2262	1	320	150	14	1024	16	8									99999999	0	20		0		0		0		0	7018	0	0	0	0	0	0	0	0	0	1392	0	0	0	法王窟英雄	0	0	1	1	1	0		0		0		0					scripts\Map\英雄法王窟\npc\白眉鼠王.lua					0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	5	279	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0				0				0	32		32		32		32		8		4	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0		0										1											1																
14135	武逸青	青翼蝠王			0	28	1	1	0	121	0	950	40	6	1	1		0	382260870	0	0	8000000	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146	1024	11073	11073	11073	11073	11073	0	14135	1	84883	4879	66926	33466	28	1	30		1	1024	20	10	2208	2	720	40	2		64		2776	2	160	64	1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	7019	7023	0	0	0	0	0	0	0	0	1392	0	0	0	法王窟英雄	0	0	1	1	1	0		0		0		0					scripts\Map\英雄法王窟\npc\青翼蝠王.lua					0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	0	254	1	1	0	960	5	1122	0	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0		0										1											1																
14136	智慧			2	0	28	1	1	0	121	0	950	30	6	1	1		0	107800001	0	0	2200000	0	0	100	6	30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146	1024	11073	11073	11073	11073	11073	0	14136	1	74362	5421	74362	37184			0		1	0	0	0	2270	2	32			1024	16	8	2271	2	32			102400	16	8	2272	2	32			1024	16	8	99999999	0	20		0		0		0		0	7671	23721	24749	0	0	0	0	0	0	0	1392	0	0	0	法王窟英雄	0	0	1	1	1	0		0		0		0					scripts\Map\英雄法王窟\npc\智慧王.lua					0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	0	254	0	1	0	960	5	279	0	3			0	-1	7	0	-1	0	0		0		0		0		0		0		0	2273	2798		0	2	2		0	32		32		32		32				1	1	1024	1024	1024	1024	16	32	16	16	8		8	8	28			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0		0										1											1																
14137	白眉	鼠王的生死弟兄		2	0	28	1	2	0	120	0	950	10	5	1	1		0	7304348	0	0	3651	0	0	100	6	28	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	14137	1	7589	2711	57429	28712	28	1		0	1	1024	14	10	2593	2	240	32	1	1024	16	8	2594	2	160	48	2	1024	16	8	0	0	32	0	1	1024	16	8	99999999	0	20		0		0		0		0	21337	0	0	0	0	0	0	0	0	0	1	0	0	0	法王窟英雄	0	0	2	3	1	0		0		0		0					scripts\Map\英雄法王窟\npc\白眉老鼠.lua					0	0	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	0	254	1	1	0	960	7	190	0	1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0	0		0										1											1																
14158	谢渊			3	0	26	1	9	0	120	0	950	1		1	1		0	304347827	0	0	5000000	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	14158	1	4716	2358	4716	2358	28	1	33	0	1	1024	23	10	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	9999999	0	20		0		0		0		0	24779	24694	0	0	0	0	0	0	0	0	1	0	0	0	法王窟英雄	0	0	1	1	1	0		0		0		0					scripts\Map\法王窟\npc\谢渊对话.lua					0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	0	0	1	1	0	960	3	190	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0	0		0										1											0																
14159	青翼蝠王的祭品箱			2	0	26	1	1	0	120	0	950	1		1	1		0	5174	0	0	80	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	14159	1	5654	2824	5654	2824	28	1	43	0	1	1024	33	10	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	4800	0	20	80级五人英雄本\reputation_wudu_boss.tab	1	副本掉落\副本通用\Pattern_boss_all.tab	1	奉天证道\DLC五人本\gear_2_5.tab	1	奉天证道\5人公共掉落\EnchantAssist.tab	2	23445	0	0	0	0	0	0	0	0	0	1392	100000	100000	1048576	法王窟英雄	0	0	3	1	1	0		0		0		0					scripts/Map/法王窟/npc/箱子.lua					83	400	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	9	3071	1	1.00	0	960	3	1544	0	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			7	0	0	0	1	0	0	0	0		1	1000	7						1					1						1														0		
14160	白眉鼠王的工具箱			2	0	26	1	1	0	120	0	950	1		1	1		0	5174	0	0	80	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	14160	1	5654	2824	5654	2824	28	1	43	0	1	1024	33	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	4800	0	20	80级五人英雄本\reputation_wudu_boss.tab	1	副本掉落\副本通用\Pattern_boss_all.tab	1	奉天证道\DLC五人本\gear_1_5.tab	1	奉天证道\5人公共掉落\EnchantAssist.tab	2	23489	0	0	0	0	0	0	0	0	0	1392	100000	100000	1048576	法王窟英雄	0	0	3	1	1	0		0		0		0					scripts/Map/法王窟/npc/箱子.lua					83	400	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	0	3070	1	1.00	0	960	3	1544	0	1			0	-1	7	0	-1	0	0	家具副本掉落\jiaju226.tab	1		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			7	0	0	0	1	0	0	0	0		1	1000	7						1					1						1														0		
14161	智慧遗落的书箱			2	0	26	1	1	0	120	0	950			1	1		0	5174	0	0	80	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	14161	1	5654	2824	5654	2824	28	1	43	0	1	1024	33	10	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	4800	0	20	80级五人英雄本\reputation_wudu_boss.tab	1	80级五人英雄本\JadeDebris_boss.tab	1	80级五人英雄本\RemainSpaceItem_boss.tab	1	副本掉落\副本通用\Pattern_boss_all.tab	1	23445	0	0	0	0	0	0	0	0	0	1392	100000	100000	1048576	法王窟英雄	0	0	3	1	1	0		0		0		0					scripts/Map/法王窟/npc/箱子.lua					83	400	0	0	0	0	0	0	0	0	500	10000	3840	0	0	0	0	0	0	1	9	3071	1	1.00	0	960	3	1544	0	3			0	-1	7	0	-1	0	0	奉天证道\DLC五人本\gear_3_5.tab	1	奉天证道\5人公共掉落\EnchantAssist.tab	2				0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	1024	1024	1024	1024	1024	0			7	0	0	0	1	0	0	0	0		1	1000	7						1					1						1														0		
14162	血蝠侍女			2	0	28	1	1	0	120		950	28	5	1	1		0	5600000	0	0	131000	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	14162	1	42540	4337	42540	21270	28	1	30	0	1	1024	20	10	2258	2	80	32	24	1024	16	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	99999999	0	20				0		0		0	21084	0	0	0	0	0	0	0	0	0		0	0	0	法王窟英雄	0	0	1	3	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	0	0	1	1.00	0	960	7	190	0	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0	0	0	0										1											0														0		
14163	蝙蝠			2	0	28	1	2	0	120		950		5	1	1		0	7206957	0	0	0	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	14163	1	45098	4337	45462	22736	28	1	38	0	1	1024	28	10	2258	1	240	32		512	26	8	0	0	32	0	1	1024	16	8	0	0	32	0	1	1024	16	8	99999999	0	20				0		0		0	21080	0	0	0	0	0	0	0	0	0	1	0	0	0	法王窟英雄	0	0	2	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	0	0	1	1.00	0	960	7	190	0	2			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28			0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0	0	0	0										1											0														0		
