ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
11133	方乾	侠客岛岛主				26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11133	1	610	305	610	305	28	1	37		1	1024	27	10																										0										23619											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									0		0		0	960		1700	336					-1	7	0																																																										0			0	0	0	0		0													1									1		0																
11134	乌蒙贵	天一教教主				26				98				6		0			12094158			10884743				6							0	290	290	290	290	290		273	25	25	25	25		11134	1	8415	4207	8415	4207	28	1	20		1	1024	10	10																										0										22833											37388	114222	838860	黑龙沼重点表现NPC						600		0		0		0										0	0	0	0	0	0	0	0			500	10000									0		0		0	960	12	1331	336					-1	7	0																																																										0			0	0	0	0		0													1									1		0														0		
11135	魔刹罗	五毒前教主				26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11135	1	561	280	561	280	28	1	34		1	1024	24	10																										0										23593											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									0		0		0	960		1700	336					-1	7	0																																																										0			0	0	0	0		0													1									1		0																
11136	曲云					26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11136	1	528	264	528	264	28	1	27		1	1024	17	10																										0										22834											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									0		0		0	960		1700	336					-1	7	0																																																										0			0	0	0	0		0													1									1		0																
11137	司徒一一					26				98			28			0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11137	1	660	330	660	330	28	1	40				30	10																										0										23061											385	500	838860	黑龙沼重点表现NPC						405		0		0		0										0	0	0	0	0	0	0	0			0	9000									0		0		0	960		1700	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0																
11138	孙飞亮					26				98			28			0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11138	1	594	297	594	297	28	1	36				26	10																										0										23120											385	500	838860	黑龙沼重点表现NPC								0		0		0					scripts\Map\五毒\npc\孙飞亮.lua					0	0	0	0	0	0	0	0			0	9000									0		0		0	960		1700	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0																
11582	司徒一一					26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11582	1	528	264	528	264	28	1	27				17	10																										0										23122											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									0		0		0	960		1700	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0																
11583	星宿青龙使					26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11583	1	528	264	528	264	28	1	31		1	1024	21	10																										0										24220											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									15		0		0	960		1700	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0																
11584	星宿白虎使					26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11584	1	528	264	528	264	28	1	20		1	1024	10	10																										0										24219											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									15		0		0	960		1700	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0																
11585	星宿玄武使					26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11585	1	528	264	528	264	28	1	30		1	1024	20	10																										0										24222											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									15		0		0	960		1390	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0														0		
11586	星宿朱雀使					26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11586	1	528	264	528	264	28	1	25		1	1024	15	10																										0										24221											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									15		0		0	960		1700	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0																
11587	星宿老仙					26				98						0			62464			56217				6							182	60	60	60	60	60		140	13	13	13	13		11587	1	709	355	709	355	28	1	43				33	10																										0										23124											385	500	838860	黑龙沼重点表现NPC								0		0		0										0	0	0	0	0	0	0	0			0	9000									15		0		0	960		1700	336					-1	7	0																																																26										0			0	0	0	0		0													1									1		0																
