ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
18761	叶英	藏剑山庄大庄主		2	0	18	1	1	0	104	0	950	1	2	1	1		30	451360000	0	0	1642130	0	0	100	6	30	10000	0	0	0	0	0	314	314	314	314	314	1024	1636	1636	1636	1636	1636	0	18761	1	80000	5000	34384	17192	17995	1		0	1	1024			0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	99999	0	20		0		0		0		0	29346	0	0	0	0	0	0	0	0	0		10694	13888	838860	回归新掌门	0	0	1	1	1	0	<G>君子之道，淡而不厌，简而文，温而理。	100	<G>此番被困巴蜀，二弟治家有方，而我的心剑却还是未能独挽狂澜，替藏剑山庄抵挡一切灾祸，叶英有愧。父亲！叶英让您失望了……	100		0					scripts\Map\藏剑山庄\npc\叶英.lua					18	0	0	0	0	0	0	0	0	0		189500	-1	0	0	0	0	0	0	1	15	254	0	1.00	0	960	2	1544	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	18			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1														0		
18763	玄正	少林寺方丈		3	0	11	1	1	0	99	0	950	1	2	1	1		960	512120000	0	0	1642130	0	0	100	6	30	9000	0	0	0	0	0	314	314	314	314	314	1024	1636	1636	1636	1636	1636	0	18763	1	37751	18876	37751	18876	17761	1	31	0	1	1024	21	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	9999999	0	20		0		0		0		0	29349	59169	0	0	0	0	0	0	0	0		385	500	838860	回归新掌门	0	0	1	1	1	1	<G>一切众生，本具佛性，皆可成佛。欲净其身，先净其心。随其心净，即佛土净。	100		0		0					scripts/Map/门派掌门/npc/通用不死.lua					0	0	0	0	0	0	0	0	0	0		10000	3840	0	0	0	0	0	0	1	15	254	0	1.00	0	960	2	1115	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	11			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048									1024	1																
18764	叶芷青	七秀坊坊主		2	0	15	1	1	0	99	0	950	1	2	1	1		600	473060000	0	0	1950959	0	0	100	6	30	10000	10000	10000	10000	10000	0	314	314	314	314	314	1024	1636	1636	1636	1636	1636	0	18764	1	37751	18876	37751	18876	17823	1	55	0	1	1024	25	10	17845	1		0	4	1024	16	8	17844	1	60	0	4	1024	16	8	17829	1	208	0	4	1024	16	8	99999999	0	20		0		0		0		0	29350	59284										385	500	838860	回归新掌门	0	0	1	1	1	0	<G>七秀坊门下，当心若冰清，纵千湖覆海，也当波澜不惊。	100	<G>此番我身在巴蜀，没想到坊内一切事物白胭妹妹都打理的井井有条。	100		0					scripts/Map/门派掌门/npc/通用不死.lua					0	0	0	0	0	0	0	0	0	0		10000	-1	0	0	0	0	0	0	1	15	254		1.00	0	960	2	1115	2000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	15			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048									200	1																
18765	李承恩	天策府统领		2	0	13	1	1	0	99	0	950	1	2	1	1		30	558474000	0	0	13000000	0	0	100	6	30	9000	0	0	0	0	56	114	114	114	114	114	1024	280	83	83	83	83	0	18765	1	33911	16956	33911	16956	17911	1	31	0	1	1024	21	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	9999999	0	20		0		0		0		0	29352	0	0	0	0	0	0	0	0	0		10694	13888	838860	回归新掌门	0	0	1	1	1	1	<G>困于心，衡于虑，而后作。	100	<G>先前我以为征战沙场将会成为我的毕生，但西蜀归来心中却多了一份忧思，挥之不去。	100		0					scripts/Map/门派掌门/npc/通用不死.lua					0	0	0	0	0	0	0	0	0	0	500	119500	3840	0	0	0	0	0	0	1	15	254	0	1.00	0	960	2	1115	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	13			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											1																
18766	东方宇轩	万花谷谷主		2	0	12	1	1	0	99	0	950	1	2	1	1		960	438340000	0	0	1642130	0	0	100	6	30	9000	0	0	0	0	56	314	314	314	314	314	1024	1636	1636	1636	1636	1636	0	18766	1	58285	29142	58285	29142	17480	1	55	0	1	1024	45	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	9999999	0	20		0		0		0		0	29353	58030	0	0	0	0	0	0	0	0		10694	13888	838860	回归新掌门	0	0	1	1	1	1	<G>如今都这把年纪了，却时常怀念起儿时承欢父母膝下的情景……\n<G>不知下次再聚将是何时？	100		0		0					scripts/Map/门派掌门/npc/通用不死.lua					0	0	0	0	0	0	0	0	0	0		119500	3840	0	0	0	0	0	0	1	15	254	0	1.00	0	960	2	1115	5000	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	12			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048									1024	1																
19108	李忘生	纯阳宫宫主		2	0	14	1	1	0	99	0	950	1	2	1	1		180	447020000	0	0	1642130	0	0	100	6	30	9000	0	0	0	0	56	314	314	314	314	314	1024	1636	1636	1636	1636	1636	0	19108	1	1439	719	1439	719	17815	1	45	0	1	1024	45	10	0	0	80	0	1	1024	16	8	0	0	144	0	1	1024	16	8	0	0	208	0	1	1024	16	8	9999999	0	20		0		0		0		0	29651	0	0	0	0	0	0	0	0	0		385	500	838860	回归新掌门	0	0	1	1	1	1	<G>这次得以从烛龙殿全身而退，多亏了大师兄出手相助，纯阳宫又欠了他一个恩情。有生之年我定要助他化解心结，重归纯阳宫。	300	<G>阴阳变动之机，唯明心见性方能洞入毫微。	300		0					scripts\Map\纯阳\npc\李忘生·新掌门.lua					0	0	0	0	0	0	0	0	0	0		10000	3840	0	0	0	0	0	0	1	15	254	0	1.00	0	960	2	1115	430	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	14			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1	2048									1024	1																
55964						12		9		95					0	0		0	99999999			24751					30						126	42	42	42	42	42		97	9	9	9	9		55964		412	206	412	206	28	1	43		1	1024	33	10																									99999999											58032											625	1906	838860	回归新掌门					1			0		0		0																						-1							0		254						775	712																																																							12					0	0	0	0	0																																	1																
55965						12		9		95			447		0	0		0	99999999			24751					30						126	42	42	42	42	42		97	9	9	9	9		55965		412	206	412	206	28	1	43		1	1024	33	10																									99999999											58033														回归新掌门					1			0		0		0																						-1							0		254						775	712																																																												0	0	0	0	0																																	1																
55966						12		9		95					0	0		0	99999999			24751					30						126	42	42	42	42	42		97	9	9	9	9		55966		412	206	412	206																																	99999999																									回归新掌门					1			0		0		0																						-1							0		254						775	712																																																												0	0	0	0	0																																	1																
56057	花					12		6		96				5				0	1000000			498466					30						0	142	142	142	142	142		800	800	800	800	800		56057		3129	1565	3129	1565	28	1	43		1	1024	33	10																									99999999											58124										2				回归新掌门					1			0		0		0																						-1									254					11	860	6620																																																												0	0	0	0	0																																	1																
