ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
57717	蒋玉宸					26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		57717		584	291	584	291	28	1																															4800											59879											705	2156	838860	节日中元							<G>嘘，悄悄告诉你，我的姐姐就是蒋玉凤哦。	1000	<G>维护魂墟的安宁，是我的责任。	1000	<G>唉，这些魂灵可真麻烦！	300					scripts/Map/节日中元/npc/蒋玉宸.lua																	3840									0			1440	420		1544	1003																																																							26					1024	1024	1024	1024	1024																																	0														0		
57718	捣乱的魂灵					28		5		120				4				180	2879567			2591611					22						2010	4138	4138	4138	4138	4138		4667	424	424	424	424		57718		15266	7633	15266	7633	17556	1																															4800											59877										6133				节日中元								0		0		0					scripts/Map/节日中元/npc/捣乱的鬼魂.lua																10000	3840									0					6	8840	7648																																																							28					1024	1024	1024	1024	1024																																	0					2									0		
57719	善良的魂灵					26		5		100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		57719		584	291	584	291	17556	1																															4800											59878										6133				节日中元							<G>呜呜呜~	1000		0		0					scripts/Map/节日中元/npc/善良的鬼魂.lua																	3840									0						1544	1003																																																							26					1024	1024	1024	1024	1024																																	0					2									0		
57720	杨宁	壮武将军				26		5		103				6				180	60010895			54009806					22						0	314	314	314	314	314		469	40	40	40	40		57720		16058	8029	16058	8029	28	1																															4800											59873														节日中元							<G>大丈夫顶天立地，只要一息尚存，便不可忘保家卫国！	1000	<G>除却手中长枪，天策将士便只剩下一颗赤胆忠心了。	1000		0					scripts/Map/节日中元/npc/NPC对话打开旧窗口.lua															500	10000	3840									0					15	1544	0																																																							26					1024	1024	1024	1024	1024																																	0					2									0		
57721	薛直	苍云军统帅				26		5		103				6				180	60010895			54009806					22						0	314	314	314	314	314		469	40	40	40	40		57721		16058	8029	16058	8029	28	1																															4800											59874														节日中元							<G>从加入苍云军的一刻起，薛某便从未忘记自己的责任。	1000	<G>这世间最快意之事，便是认识了苍云军中的诸位兄弟。	1000		0					scripts/Map/节日中元/npc/NPC对话打开旧窗口.lua															500	10000	3840									0					15	1544	0																																																							26					1024	1024	1024	1024	1024																																	0					2									0		
57722	哥舒翰	大唐叛将				26		5		103				6				180	60010895			54009806					22						0	314	314	314	314	314		469	40	40	40	40		57722		16058	8029	16058	8029	28	1																															4800											59875														节日中元							<G>我虽然是突厥人，但我的一生都献给了大唐，大唐就是我哥舒翰的家。	300	<G>若能重来一次，我仍愿为大唐江山浴血奋战！	300		0					scripts/Map/节日中元/npc/NPC对话打开旧窗口.lua															500	10000	3840									0					15	1544	0																																																							26					1024	1024	1024	1024	1024																																	0					2									0		
57723	霍仙儿					26		5		98								180	55991			50392					22						168	56	56	56	56	56		129	12	12	12	12		57723		542	270	542	270	28	1																															4800											59876														节日中元							<G>爹……娘……你们在哪里呀！呜呜呜……	300	<G>仙儿最喜欢小蝴蝶了！	300		0					scripts/Map/节日中元/npc/NPC对话打开旧窗口.lua																	3840									0						1331	945																																																							26					1024	1024	1024	1024	1024																																	0					2									0		
57730	祭坛刷新总控					26		9		95								180	28531000			25678					22						126	42	42	42	42	42		97	9	9	9	9		57730		359	180	359	180																																	4800																									节日中元								0		0		0																						3840									0						775	865																																																							26					1024	1024	1024	1024	1024																																	0																
57746	南宫影	中元节日商店				26				100								180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		57746		584	291	584	291	28	1																															4800											59921											705	2156	838860	节日中元							<G>我这里有不少好东西，你喜欢哪件？	1000	<G>多年不见，玉宸妹妹都出落成大姑娘了！	300	<G>我可是爷爷的嫡系孙儿！	300					scripts/Map/节日中元/npc/NPC对话打开旧窗口.lua																	3840									0						1544	1003																																																							26					1024	1024	1024	1024	1024																																	0														0		
57749	偷食祭品的魂灵					28		5		120				4				180	2879567			2591611					22						2010	4138	4138	4138	4138	4138		4667	424	424	424	424		57749		15266	7633	15266	7633	17556	1																															4800											59905										6133				节日中元								0		0		0					scripts/Map/节日中元/npc/偷食祭品魂灵.lua																10000	3840								5	0					6	8840	7648																																																							28					1024	1024	1024	1024	1024																																	0					2									0		
57750						28				100				6	0	0		180	60010895			54009806					22						0	314	314	314	314	314		469	40	40	40	40		57750		16058	8029	16058	8029																																	4800																						58750	179666	838860	节日中元								0		0		0																				500	10000	3840							0		0					15	1544	83583																																																							28					1024	1024	1024	1024	1024																																	0					2									0		
