ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
60801	船工					26				95								180	39818			35836					22						126	42	42	42	42	42		97	9	9	9	9		60801		433	217	433	217	28	1	28		1	1024	18	10																									4800											63149											625	1906	838860	经首道源岛							<G>哎！工钱已经三个月没发了。	100		0		0																						3840									0						1019	865																																																												1024	1024	1024	1024	1024																																	0														0		
61092	东海丐帮弟子					19				96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61092		485	243	485	243	28	1	30		1	1024	20	10																									4800											63373	63440										641	1956	838860	经首道源岛								0		0		0																						3840									0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61094	东海丐帮弟子					19				96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61094		485	243	485	243	28	1	30		1	1024	20	10																									4800											63374											641	1956	838860	经首道源岛								0		0		0																						3840									0						1122	891																																																							19					1024	1024	1024	1024	1024																																	0														0		
61115	东海丐帮弟子					19				96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61115		485	243	485	243	28	1	30		1	1024	20	10																									4800											63392											641	1956	838860	经首道源岛								0		0		0																						3840									0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61116	罗七	东海丐帮弟子				19				96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61116		485	243	485	243	28	1	30		1	1024	20	10																									4800											63393											641	1956	838860	经首道源岛							<G>喝杯酒便都是兄弟！	100		0		0																						3840									0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61117	赵邦	东海丐帮驯隼师				19				96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61117		485	243	485	243	28	1	30		1	1024	20	10																									4800											63394											641	1956	838860	经首道源岛							<G>这丐帮东海分舵没我不知晓的事情！	100		0		0																						3840									0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61118	任崖	天心岛总管				19				96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61118		485	243	485	243	28	1	30		1	1024	20	10																									4800											63395											641	1956	838860	经首道源岛							<G>龙首归舵，万事都要仔细才是。	100		0		0																						3840									0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61119	钱好欢					37			430	96				4				180	179885			161896					22						140	242	242	242	242	242		228	21	21	21	21		61119		1326	663	1326	663	28	1	11		1	1024	1	10																									4800											63396											1068	3260	838860	经首道源岛							<G>可恶的丐帮，竟占了我们的地盘！	1024		0		0					scripts/Map/经首道源岛/npc/钱好欢.lua																	3840									0					4	1122	1485																																																							37					1024	1024	1024	1024	1024																																	0														0		
61120	叱幽					37		2		96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61120		531	265	531	265	28	1	35		1	1024	25	10																									4800											63397														经首道源岛							<G>啾啾啾……	100		0		0																						3840									0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61121	天心岛余孽					28			430	96			68					180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61121		485	243	485	243	28	1	11		1	1024	1	10																									4800											63398	63411									6881				经首道源岛								0		0		0																						3840								0	0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61122	徐大	沧溟岛大弟子				28			430	96				4				180	112428			101185					22						140	242	242	242	242	242		228	21	21	21	21		61122		1061	530	1061	530	28	1	11		1	1024	1	10																									4800											63399														经首道源岛								0		0		0																						3840									0					6	1122	1060																																																												1024	1024	1024	1024	1024																																	0														0		
61123	东海丐帮弟子					19				96								180	44971			40474					22						140	46	46	46	46	46		108	10	10	10	10		61123		485	243	485	243	28	1	30		1	1024	20	10																									4800											63400											641	1956	838860	经首道源岛								0		0		0																						3840									0						1122	891																																																												1024	1024	1024	1024	1024																																	0														0		
61124	天心岛船夫	短途驿夫				26				95								180	40289			36260					22						126	42	42	42	42	42		97	9	9	9	9		61124		450	224	450	224	28	1	11		1	1024	1	10																									4800											63402											625	1906	838860	经首道源岛							<G>走南闯北，纵横四海！	100									scripts/Map/经首道源岛/npc/内部交通.lua																	3840									0						1019	865																																																												1024	1024	1024	1024	1024																																	0																
61156	金十五	天心岛二弟子				28			430	96			57	4				15	756400			654390					22	9500					140	242	242	242	242	242		228	21	21	21	21		61156		1326	663	1326	663	28	1	11		1	1024	1	10	20997	1	320	80	2	8192																			4800											63439														经首道源岛								0		0		0					scripts/Map/ACT_100级主城茶馆/npc/茶馆委托_精英怪.lua																	3840									2					4	1122	1485																																																																																																	0														0		
61157	薛宸	浪中蛟弟子				19				97								180	39818			35836					22						154	51	51	51	51	51		118	11	11	11	11		61157		433	217	433	217	28	1	30		1	1024	20	10																									4800											63441											657	2006	838860	经首道源岛								0		0		0																						3840									0						1226	918																																																												1024	1024	1024	1024	1024																																	0														0		
