ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
111605	谢烟客	天权坛掌旗使		2	1	50	1	1	0	123	0	950	1	2	1	1		3600	777600000	0	0	13650000	0	0	100	6	22	9000	0	0	0	0	0	290	290	290	290	290	432	32582	32582	32582	32582	32582	0	111605	1	190476	4000	190476	4000	28	1	20		1	1024	10	10	7242	1	480			1024	16	8	7243	1	240			1024	16	8	7255	1	480			1024	16	8	4800	0	30		0		0		0		0	83952														跨服野外玩法	0	0	1	2	1	0	<G>我等与尔并肩作战，定要将那帮恶人绳之以法。	300		0		0					scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua					0	0	0	0	0	0	0	0	0	0	0	10000	3840	0	0	0	0	0	0	1	0	510	0	1.00	0	960	2	10540	0	-1			0	-1	4		-1	0	0		0		0		0		0		0		0	7256	0	0	0	1	0	0	0	160		32		32		32		8	1	1	1		1024	1024	1024		16	16	16	8	8	8	8	50			0	0	0	0	0	0	0				0	0	0	0															1										1024	1		0	1			1								0												
111606	司空仲平	玉衡		3	1	50	1	1	1	123	0	950	28	2	1	1		0	777600000	0	0	13650000	0	0	100	6	32	9000	0	0	0	0	0	290	290	290	290	290		32582	32582	32582	32582	32582	0	111606	1	158700	4000	158700	4000	28	1	115200	115200	1	1024	29	10	1352	11	115200	115200	1	1024	16	8	1354	11	115200	115200		1024	16	8	1353	11	115200	115200	1	1024	16	8	4800	0	30	阵营boss\read_boss.tab	1	阵营boss\miji_boss.tab	1		0		0	83954										1				跨服野外玩法	0	0	1	3	1	0	<G>这等暴徒，当真该诛！我司空仲平平生只愿能杀尽天下该杀之人！	300		0		0					scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua					0	0	0	0	0	0	0	0	0	0	0	10000	3840	0	0	0	0	0	0	1	0	510	1	1.00	0	0	2	10540	0						4																	7257				1				960																32				10				50					0	0	0	0	0				0	0	0	0															1										1024	1		0	1											0	2											
111607	穆玄英	浩气盟		3	1	50	1	1	1	123	0	950	28	2	1	1		0	864000000	0	0	13650000	0	0	100	6	32	9000	0	0	0	0	0	290	0	0	0	0		32582	32582	32582	32582	32582	0	111607	1	139600	4000	139600	4000	28	1	28	115200	1	1024	18	10	7257	1	960		1	1024	32	10	27542	1	115200	115200	1	1024	12	12	27543	1	115200	115200	1	1024	20	16	4800	0	30	阵营boss\read_boss.tab	1	阵营boss\miji_boss.tab	1		0		0	83956	83957									1				跨服野外玩法	0	0	1	3	1	0	<G>愿以手中长剑，护佑天下苍生！	100	<G>仁者，己欲立而立人，己欲达而达人。	100	<G>若为正道，虽千万人又有何惧之？	100	<G>师父常说，能扶大厦于将倾、挽狂澜于既倒的人，便是英雄，我能成为这样的人吗？	100			scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua					0	0	0	0	0	0	0	0	0	0	0	10000	3840	0	0	0	0	0	0	1	0	510	1	1.00	0	0	2	10540	0						4																	27544	27545	27546	27968	1	1	1	1	115200	115200	115200	115200	115200	115200	115200	115200		26							40				16				50					0	0	0	0	0				0	0	0	0															1										1024	1		0	1											0	3											
111608	顾延恶	雪魔堂		2	2	49	1	1	0	123	0	950	28	2	1	1		3600	777600000	0	0	13650000	0	0	100	6	22	9000	0	0	0	0	0	290	290	290	290	290	432	32582	32582	32582	32582	32582	0	111608	1	190476	4000	190476	4000	28	1	33		1	1024	23	10	7242	1	480			1024	16	8	7243	1	240			1024	16	8	7255	1	480			1024	16	8	4800	0	30		0		0		0		0	83949														跨服野外玩法	0	0	1	2	1	0	<G>一夫当关，万夫莫开。浩气盟的人休想从我的地盘经过。	100	<G>这客栈是外来者通向内谷的必经之地，能被委以驻守重任，我必定不会辜负陶堂主的信任。	100		0					scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua					0	0	0	0	0	0	0	0	0	0	0	10000	3840	0	0	0	0	0	0	1	0	510	0	1.00	0	960	2	10540	0	-1			0	-1	2		-1	0	0		0		0		0		0		0		0	7256		0	0	1		0	0	160		32		32		32		8	8	1	1	1024	102400	1024	1024	16	12	16	16	8	8	8	8	49			0	0	0	0	0	0	0				0	0	0	0															1										1024	1		0	1			1								0												
111609	陶寒亭	黑鸦		3	2	49	1	1	0	123	0	950	28	2	1	1		0	777600000	0	0	13650000	0	0	100	6	32	9000	0	0	0	0	0	290	290	290	290	290		32582	32582	32582	32582	32582	0	111609	1	107900	4000	107900	4000	28	1	115200	115200	1	1024	17	10	1318	15	115200	115200	1	1024	16	8	1323	15	115200	115200	1	1024	16	8	1324	15	115200	115200	1	1024	16	8	4800	0	30						0		0	83950										1				跨服野外玩法	0	0	1	1	1	0	<G>恶人谷不乏自由，却也不是一个可以全然放任心性，不顾谷内弟兄，肆意妄为之地。	100	<G><F174 陶寒亭回味往昔道：>\n<H28><G>当年的楚小妹，如今已然长成大姑娘楚霞影了……有人还记得她么？	100	<G>人间之事难说得很，当年我为了救几个好人，连累害死了许多好人，后来我去杀那些为富不仁的恶人，却又被那些好人声讨追杀……\n<H28><G><F174 陶寒亭感慨道：>\n<H28><G>从当年我的老师留下那副字帖开始，陶某便已明白，自己的道，始终要用自己的双手来寻找。	100					scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua					0	0	0	0	0	0	0	0	0	0	0	10000	3840	0	0	0	0	0	0	1	0	510	0				2	10540	2000						2																	7257				1				960																								49					0	0	0	0	0				0	0	0	0															1										1024	1		0	1											0	2											
111610	白某	宿世散人			2	49	1	1	1	123	0	950	28	2	1	1		0	864000000	0	0	13650000	0	0	100	6	32	9000	0	0	0	0	0	290	0	0	0	0	32582	22222	32582	32582	32582	32582	0	111610	1	139600	4000	139600	4000		1			1	1024	20	10	7257	1	960		1	1024	32	10			120	80	1	1024		8			960		1	1024	32	10	4800	0	30	阵营boss\read_boss.tab	1	阵营boss\miji_boss.tab	1		0		0	83951										1				跨服野外玩法	0	0	1	3	1	0	<G>九地伏藏宜密事，逃潜六合避凶星。	100	<G>这极恶之地的星空中，又将会是怎样的一种图景呢？	100		0					scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua					0	0	0	0	0	0	0	0	0	0	0	10000	3840	0	0	0	0	0	0	1	5	510	1	1.00	0	0	2	10540	0						2																									960																32				10				49					0	0	0	0	0				0	0	0	0															1										1024	1		0	1											0	3											
111651	哈波伊	力天王				28				123				2				0	777600000														0	4815	4815	4815	4815	4815		32582	32582	32582	32582	32582		111651		149085	74543	149085	74543	28	1	31	0	1	1024	21	10	8822	1	80	40	1	1024	16	8			160	80	1	1024	16	8	0	0	208	0	1	1024	16	8			20									83980														跨服野外玩法																	scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua															0	10000									5	254	0				2	10540	0																							0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28					0	0	0	0	0																						0					0				0	204	1	0	0	1											0												
111652	康双韦	九家将·狮				28				123				2				0	777600000														0	4815	4815	4815	4815	4815		32582	32582	32582	32582	32582		111652		149085	74543	149085	74543	28	1	31	0	1	1024	21	10	8822	1	80	40	1	1024	16	8			160	80	1	1024	16	8	0	0	208	0	1	1024	16	8			20									83982														跨服野外玩法																	scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua															0	10000									5	254	0				2	10540	0																							0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28					0	0	0	0	0																						0					0				0	204	1	0	0	1											0	2											
111653	曹江方	九家将·豹				28				123				2				0	864000000														0	4815	4815	4815	4815	4815		32582	32582	32582	32582	32582		111653		149085	74543	149085	74543	28	1	26	0	1	1024	16	10	8822	1	80	40	1	1024	16	8			160	80	1	1024	16	8	0	0	208	0	1	1024	16	8			20									83983														跨服野外玩法																	scripts/Map/跨服野外争夺/npc/烂柯山关隘守将.lua															0	10000									5	254	0				2	10540	0																							0	0	0	0	0	0	0	0	272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	28					0	0	0	0	0																						0					0				0	204	1	0	0	1											0	3											
111654						26									0	0		180									22																			111654																																						4800																									跨服野外玩法								0		0		0																					900	3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0																										
