ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
109707				4		28		9		118			30		0	0		704800	999999999			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		109707		2583	1291	2583	1291																																	4800											82152										2	770	2351	838860	烂柯山_沃石院					1			0		0		0																					10000	3840							0		3071						4370		2																																																						28					1024	1024	1024	1024	1024																							2048										0						0																				
109708	吕一平	碎骨				28				118			56	6				704800	100800000			3375612				12	24	10000	10000	10000	10000	10000	0	2101	2101	2101	2101	2101		4157	4157	4157	4157	4157		109708		118100	0	0	0	28	1																															99999											82149	82150	82151								1392				烂柯山_沃石院					1			0		0		0					scripts/Map/沃石院/npc/2号_吕一平/吕一平.lua															500		-1									254					5	1437		2																																																						28					0	0	0	0	0								1															2048				1						1														0												
109709	孟承	刃鬼				28				118			60	6				704800	100800000			3375612				12	24	10000	10000	10000	10000	10000	0	2101	2101	2101	2101	2101		4157	4157	4157	4157	4157		109709		113400	0	0	0	28	1																															99999											82033										1392				烂柯山_沃石院					1			0		0		0					scripts/Map/沃石院/npc/1号_孟承/孟承.lua															500		-1									254					5	1437		1																																																						28					0	0	0	0	0								1															2048				1						1														0												
109793				4		26		9							0	0		180									22																			109793																																						4800																									烂柯山_沃石院					1			0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0																				
109794				4		26		9							0	0		180									22																			109794																																						4800																									烂柯山_沃石院					1			0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																							2024										0						0																				
109795				4		26		9							0	0		180									22																			109795																																						4800																									烂柯山_沃石院					1			0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0																				
109796				4		26		9							0	0		180									22																			109796																																						4800																									烂柯山_沃石院					1			0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0																				
109797	时风	血魔				28				118			56	6				704800	120960000			3375612				12	24	10000	10000	10000	10000	10000	0	2101	2101	2101	2101	2101		4157	4157	4157	4157	4157		109797		4248	2124	4248	2124	31970	1																															99999											82142										1392				烂柯山_沃石院					1			0		0		0					scripts/Map/沃石院/npc/3号_时风/时风.lua															500		-1									254					5	1437		3																																																						28					0	0	0	0	0								1															2048				1						1														0												
109798				4		26		9							0	0		180									22																			109798																																						4800																									烂柯山_沃石院					1			0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0																				
109799				4		26		9							0	0		180									22																			109799																																						4800																									烂柯山_沃石院					1			0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0																				
109800						28		9		118					0	0		704800									22																			109800																																						4800											82707														烂柯山_沃石院					1			0		0		0																						3840							0		3071																																																														28					1024	1024	1024	1024	1024																							2048										0						0																				
109907				4		28		9		113					0	0		180	569654			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		109907		2583	1291	2583	1291																																	4800											82153											770	2351	838860	烂柯山_沃石院								0		0		0																					10000	3840							0		0						4370																																																								28					1024	1024	1024	1024	1024																																	0						0																				
109908				4		28		9		113					0	0		180	569654			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		109908		2583	1291	2583	1291																																	4800											82154											770	2351	838860	烂柯山_沃石院								0		0		0																					10000	3840							0		0						4370																																																								28					1024	1024	1024	1024	1024																																	0						0																				
109909				4		28		9		113					0	0		180	569654			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		109909		2583	1291	2583	1291																																	4800											82155											770	2351	838860	烂柯山_沃石院								0		0		0																					10000	3840							0		0						4370																																																								28					1024	1024	1024	1024	1024																																	0						0																				
110533				4		28		9		118			30		0	0		704800	999999999			512689					22						1063	420	420	420	420	420		1170	112	112	112	112		110533		2583	1291	2583	1291																																	4800																									烂柯山_沃石院					1			0		0		0																					10000	3840							0		3071						4370		2																																																						28					1024	1024	1024	1024	1024																							2048										0						0																				
110856	枕月	修理商		3		264				120			56			0		704800	60000000			50000000					30						0	66	66	66	66	66		1906	1906	1906	1906	1906		110856		239	120	239	120	28	1	30		1	1024	20	10																									99999999											83092	83813													烂柯山_沃石院					1		<G>你们专心对付血斗士，装备修理就交给我吧。	100		0		0																						-1									254						1544	0																																																							264					0	0	0	0	0																							2048										1						0								0												
110857	守卫			3		26				118								704800	1028044			925240					30						1790	708	708	708	708	708		1969	188	188	188	188		110857		4671	2336	4671	2336																																	99999999											83093	83094										795	2426	838860	烂柯山_沃石院					1			0		0		0					scripts/Map/沃石院/npc/内部接引人.lua																10000	-1									254						7890																																																													0	0	0	0	0																																	1																										
