ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
105824	血蛊巢心					28	3			122			1564	6				704800	183750000			54009806					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105824		0	0	0	0	28	1																													0	0	99999											78764										2				雷域大泽					1			0		0		0					scripts\Map\黑山林海_雷域大泽\Npc\4号_血蛊巢心\血蛊巢心.lua															2000	10000	-1								0	254					12	1544	0	4																																																						28					0	0	0	0	0								1															2048									512	1											1	0.3														
105830	悉达罗摩	金香巫				28				122			86	6				704800	630000000			3151859					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105830		4913	0	0	0	27719	1																															99999											78434										1392			1048576	雷域大泽					1			0		0		0					scripts/Map/黑山林海_雷域大泽/Npc/3号_悉达罗摩/悉达罗摩.lua															2000	10000	-1									254					5	1544	136800	3																																																						28					0	0	0	0	0								1															2048				1					512	1											1	0.3		0												
105851						26		9							0	0		704800	99999999								30																			105851																																						99999999																									雷域大泽					1			0		0		0																						-1							0		254						4		3																																																						26					0	0	0	0	0																							2048										1														0												
105852						26		9							0	0		704800	99999999								30																			105852																																						99999999																									雷域大泽					1			0		0		0																						-1							0		254						4		3																																																						26					0	0	0	0	0																							2048										1														0												
105853						28		9		122			192		0	0		180	999999999								22	10000	10000	10000	10000	10000		4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105853																																						4800																					2				雷域大泽					1			0		0		0																				2000	10000	3840							0		254																																																														28					1024	1024	1024	1024	1024																							2048										0	1					0								0												
105855	桑乔	蛊美人				28				122				6				704800	576000000			1000					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105855		142692	71346	142692	71346	27701	1																															9999											78586	78741													雷域大泽					1			0		0		0					scripts/Map/黑山林海_雷域大泽/Npc/2号_桑乔/桑乔.lua															2000	10000	-1									254					15	4160		2																																																						28					0	0	0	0	0																							2048									512	1												0.3														
105937						28		9		122				6	0	0		704800	999999999			463028261					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105937		142692	71346	142692	71346	28	1																															9999											78728														雷域大泽					1			0		0		0																				2000	10000	-1							0		254					15	4570		2																																																						28					0	0	0	0	0																							2048									1662	1																										
105938						28				122				6	0	0		704800	999999999			463028261					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105938		142692	71346	142692	71346	28	1																															9999											78729	78730													雷域大泽					1			0		0		0																				2000	10000	-1							0		254					15	4570		2																																																						28					0	0	0	0	0																							2024									1662	1																										
105940	蜘蛛网					28				122				6				704800	7500000			10000					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105940		142692	71346	142692	71346																																	9999											79178										2				雷域大泽					1			0		0		0																				2000	10000	-1									254					15	3960		2																																																						28					0	0	0	0	0																							2048									512	1																										
105978	蜘蛛茧					28				122				6				704800	999999999			463028261					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105978		142692	71346	142692	71346																																	9999											79197										2				雷域大泽					1			0		0		0					scripts/Map/黑山林海_雷域大泽/Npc/2号_桑乔/蜘蛛茧.lua															2000	10000	-1									254					15	4570		2																																																						28					0	0	0	0	0																							2048									1662	1																										
105988						28		9		122			192		0	0		180	999999999								22	10000	10000	10000	10000	10000		4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105988																																						4800											78636										2				雷域大泽					1			0		0		0																				2000	10000	3840							0		254																																																														28					1024	1024	1024	1024	1024																							2048										0	1					0								0												
105993	乌蒙贵	天一教教主				28				122			69	6				704800	236250000			18000000					22	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		105993		131720	65861	131720	65861	29085	1																															99999											78656	79546	80133								1392				雷域大泽					1			0		0		0					scripts/Map/黑山林海_雷域大泽/Npc/6号_乌蒙贵/乌蒙贵.lua															2000	10000	-1									254					15	4160		6																																																						28					0	0	0	0	0								1															2048									512	1												0.3														
