ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
41682	任轩	书柜小先生				26				120								180	1151827			1036644					22						2010	794	794	794	794	794		2211	211	211	211	211		41682		5240	2620	5240	2620	28	1	24		1	1024	14	10																									4800											43257											805	2456	838860	满级玩家指引NPC							<G>帮会里的一切，都是前辈们留下的宝藏。	1000		0		0																				0	10000	3840								5	0	0					8840	5099																																																												1024	1024	1024	1024	1024																																	0	1													0		
41887	赵辉					26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		41887		200	100	200	100	28	1	28		1	1024	18	10																									4800											43437											545	1656	838860	满级玩家指引NPC							<G>三十六行，行行出状元！	100		0		0					scripts\Map\世界通用\npc\赵辉.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
42291	赵轻					26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		42291		200	100	200	100	28	1	26		1	1024	16	10																									4800											43854											545	1656	838860	满级玩家指引NPC							<G>扶摇直上九万里，蹑云逐月登凌霄！	100		0		0					scripts\Map\世界通用\npc\赵轻.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
42389	赵五爷			3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		42389		200	100	200	100	28	1	28		1	1024	18	10																									4800											43949											545	1656	838860	满级玩家指引NPC							如今这江湖不太平呀！	100		0		0																				0	9000	3840									0	0					350	350																																																							26					1024	1024	1024	1024	1024																																	0																
43618	慧行	少林弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		43618		200	100	200	100	28	1	30		1	1024	20	10																									4800											45104											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
43783	赵云香					26				20								180	266			240					22						11	4	4	4	4	4		9	1	1	1	1		43783		26	14	26	14	28	1	26		1	1024	16	10																									4800											45301											38	115	629145	满级玩家指引NPC							<G>我好不容易从北边逃亡过来，幸好我在这城里还有个姐姐可依靠。	100	<G>姐姐的茶馆还真是热闹，只是铺子里那几个狼牙军官看起来好可怕，可千万不要让我给他们送茶送水啊。	100	<G>在这乱世之中，能活下来已实属不易，哪里还想着养尊处优，便来姐姐这茶馆帮忙了。大侠，里边请，随便坐！	100																				0	9000	3840									0	0					54	210																																																							26					1024	1024	1024	1024	1024																																	0																
44015	苏雪晴	万花弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44015		200	100	200	100	28	1	30		1	1024	20	10																									4800											45535											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44016	郑勋	天策军士		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44016		200	100	200	100	28	1	30		1	1024	20	10																									4800											45536											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44020	林清心	纯阳弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44020		200	100	200	100	28	1	30		1	1024	20	10																									4800											45555											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44021	柳如烟	七秀弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44021		200	100	200	100	28	1	30		1	1024	20	10																									4800											45556											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44022	灵芸	五毒弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44022		200	100	200	100	28	1	30		1	1024	20	10																									4800											45557											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44023	唐妙儿	唐门弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44023		200	100	200	100	28	1	30		1	1024	20	10																									4800											45558											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44024	叶青天	藏剑弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44024		200	100	200	100	28	1	30		1	1024	20	10																									4800											45559											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44025	郭宇维	丐帮弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44025		200	100	200	100	28	1	30		1	1024	20	10																									4800											45560											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44026	陆七	明教弟子		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44026		200	100	200	100	28	1	30		1	1024	20	10																									4800											45561											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44027	燕惜凝	苍云军士		3		26				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		44027		200	100	200	100	28	1	30		1	1024	20	10																									4800											45562											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																												1024	1024	1024	1024	1024																																	0																
44047	任逍遥	隐元会				37				95								180	27501			24751					22						126	42	42	42	42	42		97	9	9	9	9		44047		412	206	412	206	28	1	28		1	1024	18	10																									4800											50250											625	1906	838860	满级玩家指引NPC							<G>侠士虽资质聪颖，但终须多多历练！	5000		0		0																				0	9000	3840									0	0					775	712																																																							37					1024	1024	1024	1024	1024																																	0																
45233	杨凌雪	长歌弟子				128				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		45233		200	100	200	100	28	1	30		1	1024	20	10																									4800											46694											545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																							128					1024	1024	1024	1024	1024																																	0																
55064	柳未	霸刀精锐				129				90								180	10205			9184					22						57	19	19	19	19	19		44	4	4	4	4		55064		200	100	200	100	28	1	30		1	1024	20	10																									4800											57000	57001	57002									545	1656	838860	满级玩家指引NPC								0		0		0					scripts\Map\世界通用\npc\王贵_满级指引.lua															0	9000	3840									0	0					350	350																																																							129					1024	1024	1024	1024	1024																																	0																
