ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
60632	康成辩	康家旁系				28				99				6				0	900000								30	10000	10000	10000	10000	10000		465	465	465	465	465		467	467	467	467	467		60632		57200				28	1																															99999999			世外蓬莱\泥兰洞天\gear_1_1.tab	1	世外蓬莱/5人公共掉落/Pattern_boss_all.tab	1					63027										1392	50000	50000	1048576	泥兰洞天					1			0		0		0					scripts/Map/泥兰洞天/npc/康成辩.lua					182	100									500	10000	-1								0	254					5	1437	136800	1																																																						28					0	0	0	0	0				6				1															2048				1					465	1														0		
60634	源明信	阴阳师				26				99				6				0	7350000								30	10000	10000	10000	10000	10000		465	465	465	465	465		467	467	467	467	467		60634			5			28	1	37		8		27	10																									99999999											63028														泥兰洞天					1			0		0		0					scripts/Map/泥兰洞天/npc/源明信.lua															500	10000	-1									254					5	1437		3																																																						26					0	0	0	0	0																							2048									465	1														0		
60635	康杖石	康家家主				26				99			59	6				0	5100000								35	10000	10000	10000	10000	10000		465	465	465	465	465		467	467	467	467	467		60635		57200				28	1																															99999											63438														泥兰洞天					1			0		0		0					scripts/Map/泥兰洞天/npc/康杖石.lua															500	10000	3840									254					5	1437		3																																																						26					0	0	0	0	0																							2048									465	1														0		
60666						26		9		98					0	0		704800	99999999			4					22						8	3	3	3	3	3		6						60666		26	9	26	9			55		1	1024	45	10																									999999																									泥兰洞天					1			0		0		0																						-1							0		254						1019	78	1																																																						26					0	0	0	0	0																							2048										1						1								0		
60667						26		9		98					0	0		704800	99999999			4					22						8	3	3	3	3	3		6						60667		26	9	26	9			55		1	1024	45	10																									999999																									泥兰洞天					1			0		0		0																						-1							0		254						1019	78	1																																																						26					0	0	0	0	0																							2048										1						1								0		
60668	雍和					26				99			34	6				0	5400000								30	10000	10000	10000	10000	10000		465	465	465	465	465		467	467	467	467	467		60668		76267	4334			28	1																															99999999											63148										2				泥兰洞天					1			0		0		0					scripts/Map/泥兰洞天/npc/猴子.lua															500	10000	-1								0	254					5	1437		1																																																						26					0	0	0	0	0																																465	1														0		
60671						26		9		98					0	0		704800	99999999			4					22						8	3	3	3	3	3		6						60671		26	9	26	9			55		1	1024	45	10																									999999																									泥兰洞天					1			0		0		0																						-1							0		254						1019	78	2																																																						26					0	0	0	0	0																							2048										1						1								0		
60672	源明北斗符					0				99					0	0		180									22																			60672						28	1																															4800											64625														泥兰洞天								0		0		0																						3840									254						4																																																								28					0	0	0	0	0																																															0		
60673	源明星体符					0				99					0	0		180									22																			60673						28	1																															4800											64621														泥兰洞天								0		0		0																						3840									254						4																																																								28					0	0	0	0	0																																															0		
60674	源明灰烬符					0				99					0	0		180									22																			60674						28	1																															4800											64627														泥兰洞天								0		0		0																						3840									254						4																																																								28					0	0	0	0	0																																															0		
60675	源明星崩符					0				99					0	0		180									22																			60675						28	1																															4800											64628														泥兰洞天								0		0		0																						3840									254						4																																																								28					0	0	0	0	0																																															0		
60676	源明潮汐符					0				99					0	0		180									22																			60676						28	1																															4800											63259														泥兰洞天								0		0		0																						3840									254						4																																																								28					0	0	0	0	0																																															0		
60677	星体禁锢					28				98								0	100000								30	10000	10000	10000	10000	10000		426	426	426	426	426		429	429	429	429	429		60677						0	0																															99999999											63955														泥兰洞天					1			0		0		0					scripts/Map/泥兰洞天/npc/星体禁锢.lua															500	10000	-1									254						1019																																																								28					0	0	0	0	0																																	1														0		
60678	源明信					28		9		98					0	0		180									22	10000	10000	10000	10000	10000		767	767	767	767	767		771	771	771	771	771		60678						0	0																															9999											63265														泥兰洞天								0		0		0																				500	10000	-1							0		254						1019																																																								28					0	0	0	0	0																							2048										1						0								0		
60679	源明信					28		9		98					0	0		180									16	10000	10000	10000	10000	10000		767	767	767	767	767		771	771	771	771	771		60679						0	0																															4800											64629														泥兰洞天								0		0		0																				500	10000	3840							0		254						1019																																																								28					0	0	0	0	0																							2048										1						0								0		
60680	源明信					28		9		98					0	0		180									22	10000	10000	10000	10000	10000		767	767	767	767	767		771	771	771	771	771		60680						0	0																															4800											64630														泥兰洞天								0		0		0																				500	10000	3840							0		254						1019																																																								28					0	0	0	0	0																							2048										1						0								0		
60681						26		9							0	0		180	99999999			12					22						8	3	3	3	3	3		6						60681		4	2	4	2																																	4800																									泥兰洞天								0		0		0																						3840							0		0						4	54																																																							26					1024	1024	1024	1024	1024																							2048										0						0								0		
