ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
51050	¸çÊæº²	´óÌÆÅÑ½«				28				122				6				704800	457299146			10000000					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51050		272516	3485	10992	5500	15512	1	30		1	1024	15	10																									99999999											52635										1392				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0					scripts\Map\ÉÏÑô¹¬_Ë«ê×Í¤\npc\¸çÊæº²\¸çÊæº².lua															2000	10000	-1									254	1				15	945	59333	2																																																						28					0	0	0	0	0																							6400								0		1																										
51051						26				122				6	0	0		704800	999999999			21385149					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51051		272516	3485	10992	5500			30		1	1024	20	10																									99999999																					1392				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						26					0	0	0	0	0																							6400								0		1																										
51052						26				122				6	0	0		704800	999999999			21385149					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51052		272516	3485	10992	5500			30		1	1024	20	10																									99999999																					1392				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						26					0	0	0	0	0																							6400								0		1																										
51053						26				122				6	0	0		704800	999999999			21385149					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51053		272516	3485	10992	5500			30		1	1024	20	10																									99999999																					1392				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						26					0	0	0	0	0																							6400								0		1																										
51054						28		9		122				6	0	0		704800	999999999			21385149					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51054		272516	3485	10992	5500	28	1	43		1	1024	33	10																									99999999											53096										2				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						28					0	0	0	0	0																							6400								0		1																										
51055	¶á»ê¾ªÁúÇ¹					28				122			9	6				704800	3230772			100					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51055		272516	3485	10992	5500	28	1	43		1	1024	33	10																									99999999											53308										2				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0					scripts\Map\ÉÏÑô¹¬_Ë«ê×Í¤\npc\¸çÊæº²\ÂäÇ¹ËÀÍö.lua															2000	10000	-1									254	1				15	945	59333	2																																																						28					0	0	0	0	0																							6400								0		1																										
51056						28		9		122				6	0	0		704800	999999999			21385149					100	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51056		272516	3485	10992	5500	28	1	25		1	1024	15	10																									99999999											53094										2				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						28					0	0	0	0	0																							6400								0		1																										
51057						28		9		122				6	0	0		704800	999999999			21385149					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51057		272516	3485	10992	5500	28	1	43		1	1024	33	10																									99999999											53095										2				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						28					0	0	0	0	0																							6400								0		1																										
51058						28		9		122				6	0	0		704800	999999999			21385149					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51058		272516	3485	10992	5500	28	1	43		1	1024	33	10																									99999999											53098										2				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						28					0	0	0	0	0																							6400								0		1																										
51059						28		9		122				6	0	0		704800	999999999			21385149					30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		51059		272516	3485	10992	5500			30		1	1024	20	10																									99999999																					2				ÉÏÑô¹¬_Ë«ê×Í¤					1			0		0		0																				2000	10000	-1							0		254	1				15	1030	59333	2																																																						28					0	0	0	0	0																							6400								0		1																										
