ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
62110	炎晖	离火生树阵守阵神兽·焱巨蜥				28				123			9	6				704800	715400000			30000000					30	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		62110		319212	0	319212	0	28	1					16	16		1	24				8	0		1	320	324			20	10																				64731										1392				世外蓬莱世界BOSS					1			0		0		0					scripts/Map/世外蓬莱世界BOSS/火蜥蜴/火蜥蜴_死亡.lua															4500	10000	-1									254					15	1544	0	1																																																						28					0	0	0	0	0								1															2560									1024	1			1											0	10	
62128						28				123			78	4	0	0		0	99999998			125980					30	10000		10000	10000	10000	168	290	290	290	290	290		273	25	25	25	25		62128		1262	631	1262	631		1	16	16				16																																															801	2447	838860	世外蓬莱世界BOSS								0		0		0																													0	5	254					6	1331	0																																																							28					0	0	0	0	0																							256								0	1024	1						0								0		
62133	韩清芒					28				123			13	2				0	619600000			5000					32	10000					0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		62133		80000	3855	7710	3855	20183	1																															99999999											64409										2				世外蓬莱世界BOSS					1	612		0		0		0					scripts/Map/世外蓬莱世界BOSS/韩清芒/npc/韩清芒_死亡.lua															4500	10000	-1									254					2	1544																																																								28					0	0	0	0	0																																1024	1			1											0	10	
62137	剑影					28				122			407					180	18600000								22							4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		62137																																						4800											64950														世外蓬莱世界BOSS					1			0		0		0																						3840									0						1544																																																								28					0	0	0	0	0																																	1														0		
62301	冰剑					28		5		122			54					180	2500000			62511					22						0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		62301		584	291	584	291	28	1					20	10																									4800											64859										2				世外蓬莱世界BOSS					1			0		0		0																						3840									0	0					1544	1003																																																							28					0	0	0	0	0																																	1														0		
62404				4		26		9							0	0		180									22																			62404																																						4800																									世外蓬莱世界BOSS					1			0		0		0																						3840							0		4095						4																																																								26					0	0	0	0	0																																	1														0		
62483						26		9		95					0	0		704800	99999999			4					22						8	3	3	3	3	3		6						62483		6	2	6	2			55		1	1024	45	10																																																		世外蓬莱世界BOSS					1			0		0		0																													0		254						1019	0	1																																																						26					0	0	0	0	0																							2048										1						0								0		
62511										95					0	0		704800	99999999			24751					40						0	42	42	42	42	42		1231	1231	1231	1231	1231		62511		458	229	458	229	28	1	47		1	1024	37	10																																																		世外蓬莱世界BOSS					1			0		0		0																													0		3070						1019	0	1																																																											0	0	0	0	0																							2048										1						0								0		
62642						28		9		123				4	0	0		0	61056			89591					30	10000		10000	10000	10000	154	266	266	266	500	500		1321	1321	1321	1321	1321		62642		947	473	947	473		1	16	16				16																																																		世外蓬莱世界BOSS								0		0		0																				3000	10000								0	5	254					6	1331	0																																																							28					0	0	0	0	0																							256								0	1024	1						0								0		
62714	铁黎					28				123			78	6				704800	573735000			30000000					30	10000	10000	10000	10000	10000	0	4574	4574	4574	4574	4574		26317	26317	26317	26317	26317		62714		319212	5259	2000	5259	28	1						16		1	24				8	0		1	320	324			20	10									99999999											65044										1392				世外蓬莱世界BOSS					1			0		0		0					scripts/Map/世外蓬莱世界BOSS/铁黎/铁黎_死亡.lua															4500	10000	-1									254					15	1544	0	1																																																						28					0	0	0	0	0								1															2560									1024	1			1											0	10	
62753	海盗喽啰					28				122				4				704800	124200000								30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		62753		10000	5259	2000	5259	28	1	30		8		20	10		1	24				8	0		1	320	324			20	10																				65097										2				世外蓬莱世界BOSS					1			0		0		0																				4500	10000									7	254					6	1544	0	1																																																						28					0	0	0	0	0								1															2560									1024	1												0.3		0		
62754	海盗副官					28				122				4				704800	248400000								30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		62754		212808	5259	2000	5259	28	1						16	20647	1		80			8			1	320	324			20	10																				65099										2				世外蓬莱世界BOSS					1			0		0		0																				4500	10000									7	254					6	1544	0	1																																																						28					0	0	0	0	0								1															2560									1024	1												0.3		0		
62755	海盗火药专家					28				122				4				704800	39744000								30	10000	10000	10000	10000	10000	0	4360	4360	4360	4360	4360		15528	15528	15528	15528	15528		62755		89955	5259	2000	5259	28	1	11				1	10		1	24				8	0		1	320	324			20	10																				65102										2				世外蓬莱世界BOSS					1			0		0		0																				4500	10000									7	254					6	1544	0	1																																																						28					0	0	0	0	0								1															2560									1024	1												0.3		0		
