ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
64829						0									0	0		180									22																			64829																																						4800																									特殊升级								0		0		0																						3840							0		0	0					4																																																													1024	1024	1024	1024	1024																																	0																
66734						26		9		105				6	0	0		180	99999999			99999999					20						0	314	314	314	314	314		469	40	40	40	40		66734		21578	10788	21578	10788	28	1	43		1	1024	33	10																									4800											69120														特殊升级			0		1			0		0		0																				500	10000	3840							0		0					15	1544	0																																																												1024	1024	1024	1024	1024																																	0																
66742						26		9		105			75	6	0	0		180	99999999			99999999					15						0	314	314	314	314	314		469	40	40	40	40		66742		21578	10788	21578	10788	28	1	43		1	1024	33	10																									4800											69128														特殊升级			0		1			0		0		0																				500	10000	3840							0		0					15	1544	0																																																												1024	1024	1024	1024	1024																																	0																
66960						26		3		100					0	0		180	773050			0					22						153	63	63	63	63	63		152	0	0	0	0		66960		722	360	722	360	28	1	43				33	10	0	0																							4800											69276														特殊升级			3		1			0		0		0					scripts/skill/item/猫螺旋毁坏处理.lua																	3840							0		0						1544	1003																																																							26					1024	1024	1024	1024	1024																																	0																
67154						26		3		100					0	0		180	77305			0					22						153	63	63	63	63	63		152	0	0	0	0		67154		722	360	722	360	28	1	43		1	1024	33	10																									4800											69486														特殊升级			3		1			0		0		0																						3840							0		0						1544																																																													1024	1024	1024	1024	1024																																	0																
67821						26		9		110					0	0		180	99999999			0					22						153	63	63	63	63	63		152	0	0	0	0		67821		722	360	722	360	28	1	43		1	1024	33	10																									4800											70032														特殊升级			3		1			0		0		0																						3840							0		0						1544																																																													0	0	0	0	0																																	1						0										
68546	柳楠依					0												180									22																			68546						28	1																															4800											70484														特殊升级								0		0		0					scripts/Map/特殊武器/特殊升级/QTE对话.lua																	3840									0																																																																			1024	1024	1024	1024	1024																																	0																
68555	李公子					0												180									22																			68555																																						4800											69371														特殊升级								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
68716						26				110			70		0	0		180	299999999			699999999					23																			68716						28	1	30		1	1024	20	10																									4800											70608	71260													特殊升级					1			0		0		0																						3840							0		0						1544																																																													1024	1024	1024	1024	1024																																	0																
68717						26				100					0	0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		68717		784	392	784	392	28	1	43		1	1024	33	10																									4800											70609											705	2156	838860	特殊升级								0		0		0																						3840							0		0						1544																																																													1024	1024	1024	1024	1024																																	0						0										
68718						26				100					0	0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		68718		784	392	784	392	28	1	43		1	1024	33	10																									4800											70610											705	2156	838860	特殊升级								0		0		0																						3840							0		0						1544																																																													1024	1024	1024	1024	1024																																	0																
68741						26		9		110					0	0		180	99999999			0					22						182	60	60	60	60	60		140	13	13	13	13		68741		784	392	784	392	28	1	43		1	1024	33	10																									4800											70635											705	2156	838860	特殊升级			0		1			0		0		0																						3840							0		0						1544																																																													0	0	0	0	0																																	1						0										
69082						26		9		100					0	0		180	99999999			99999999					22						240	72	72	72	72	72		185	27	27	27	27		69082		1020	509	1020	509			43		1	1024	33	10																									4800											70968														特殊升级			5		1			0		0		0																						3840							0		0						1544																																																													1024	1024	1024	1024	1024																																	0																
69123	？？？					26												180									22																			69123																																						4800											71012														特殊升级								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
69124	极度冰寒					28		9		100								0	69457			62511					30						182	60	60	60	60	60		140	13	13	13	13		69124		784	392	784	392	28	1	43		1	1024	33	10																									99999999											71014														特殊升级			0		1			0		0		0																						-1									254						1544																																																													0	0	0	0	0																																	1																
69334						26				100					0	0		180	69457			62511					22						182	60	60	60	60	60		140	13	13	13	13		69334		711	356	711	356	28	1	39		1	1024	29	10																									4800											71261	71300										705	2156	838860	特殊升级								0		0		0																						3840							0		0						1544																																																													1024	1024	1024	1024	1024																																	0																
69712	战狼	啸月炎苍				26				110			48					180									22																			69712						28	1																															4800											71634														特殊升级								0		0		0					scripts/skill/item/天策新版特殊武器追加/战狼.lua																	3840									0																																																														26					1024	1024	1024	1024	1024																																	0																
69721						0		9					512		0			3070	999999999								22																			69721						28	1																															4800											71627														特殊升级								0		0		0																						3840							0		0																																																																			0	0	0	0	0																																	1																
69722	战鼓					28		5		110			56					180	999999999								22													999999	999999	999999	999999	999999		69722																																						4800											71628														特殊升级								0		0		0					scripts/skill/item/天策新版特殊武器追加/炎枪不死.lua																	3840									0																																																														28					0	0	0	0	0																																	1						0										
