ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
51594						26		9		95			36		0	0		704800	99999999								30																			51594						28	1	43		1	1024	33	10																									99999999											53207														挑战白帝水宫					1			0		0		0																						-1							0		3070	1					775	0	1																																																											0	0	0	0	0																							2048										1																
51595						26		9		95			36		0	0		704800	99999999								30																			51595						28	1	43		1	1024	33	10																									99999999											53208														挑战白帝水宫					1			0		0		0																						-1							0		3070	1					775	0	1																																																											0	0	0	0	0																							2048										1																
51596	楚小妹侍女					37				95								704800	27501			24751					24						126	42	42	42	42	42		97	9	9	9	9		51596		4578	2289	4578	2289	28	1	26		1	1024	16	10																									99999999											53209														挑战白帝水宫					1					0		0					scripts\Map\挑战白帝水宫\npc\周边\楚小妹侍女.lua																	-1									254	1					775	0	3																																																											0	0	0	0	0																							2048										1																
51597	胡月	接引人				26				95								704800	27501			24751					30						126	42	42	42	42	42		97	9	9	9	9		51597		4578	2289	4578	2289	28	1	31		1	1024	21	10																									99999999											53210														挑战白帝水宫					1			0		0		0					scripts\Map\挑战白帝水宫\npc\周边\传送.lua																	-1									254	1					775	0																																																												0	0	0	0	0																							2048										1																
51598						26		9		95			36		0	0		704800	99999999								30																			51598						28	1	43		1	1024	33	10																									99999999											53211														挑战白帝水宫					1			0		0		0																						-1							0		3070	1					775	0	2																																																											0	0	0	0	0																							2048										1																
51599						26		9		95			36		0	0		704800	99999999								30																			51599								43		1	1024	33	10																									99999999																									挑战白帝水宫					1			0		0		0																						-1							0		3070	1					775	0	2																																																											0	0	0	0	0																							2048										1																
51600						28		9		95					0	0		704800	27501			24751			0		30						126	42	42	42	42	42		97	9	9	9	9		51600		4578	2289	4578	2289	28	1	13		1	1024	3	10																									99999999											53212														挑战白帝水宫								0		0		0																						-1							0		3070	1					775	0	1																																																						28					0	0	0	0	0																							2048									0	1																
51601	宫天蝉	宫傲之女				37				96			27	6				704800	4284000			6700					40	10000	10000	10000	10000	10000	0	150	150	150	150	150	512	512	512	512	512	512		51601		123334	6167	123334	6167	16094	1			1	1024	24																										99999999											53213														挑战白帝水宫					1			0		0		0					scripts\Map\挑战白帝水宫\npc\宫天蝉\宫天蝉被击败.lua															1500	10000	-1									254	1				5	860	0	2																																																						37					0	0	0	0	0																							2048				0					1536	1	0		0													
51602	鲁飞	铁甲寨校尉				37				95								704800	27501			24751					30						126	42	42	42	42	42		97	9	9	9	9		51602		4578	2289	4578	2289	28	1	43		1	1024	33	10																									99999999											53214														挑战白帝水宫					1		<G>小心点，这婚宴现场表面上看起来平静，我收到消息，这背后却暗流汹涌。	100		0		0																						-1									254	1					775	0	1																																																											0	0	0	0	0																							2048										1																
51603	吕政	铁甲寨队正				37				95								704800	27501			24751					30						126	42	42	42	42	42		97	9	9	9	9		51603		4578	2289	4578	2289	28	1	31		1	1024	21	10																									99999999											53215														挑战白帝水宫					1		<G>那慕容绿珠据说与宫天蝉关系极好，这不婚宴都是此人在筹备安排。	100		0		0																						-1									254	1					775	0	1																																																											0	0	0	0	0																							2048										1																
51604	谢尘	铁面书生				37				95								704800	27501			24751					30						126	42	42	42	42	42		97	9	9	9	9		51604		4578	2289	4578	2289	28	1	28		1	1024	18	10																									99999999											53216														挑战白帝水宫					1		<G>看不出来这宫傲还挺有修养，你看这里各种门类的书籍应有尽有。	100		0		0																						-1									254	1					775	0	1																																																											0	0	0	0	0																							2048										1																
51605	受邀宾客					37				95					0	0		704800	27501			24751					30						126	42	42	42	42	42		97	9	9	9	9		51605		4578	2289	4578	2289	28	1	28		1	1024	18	10																									99999999											53217	53218													挑战白帝水宫					1			0		0		0																						-1							0		254	1					775	0	1																																																											0	0	0	0	0																							2048										1																
51606						26		9		95			36		0	0		704800	99999999								30																			51606						28	1	43		1	1024	33	10																									99999999											53219														挑战白帝水宫					1			0		0		0																						-1							0		3070	1					775	0	2																																																											0	0	0	0	0																							2048										1																
51607						26		9		95			36		0	0		704800	99999999								30																			51607						28	1	43		1	1024	33	10																									99999999											53220														挑战白帝水宫					1			0		0		0																						-1							0		3070	1					775	0	2																																																											0	0	0	0	0																							2048										1																
51608	BOSS模板					28				95			39	6				0	1485079			1336571					30						0	128	128	128	128	128		205	19	19	19	19		51608		14301	7156	14301	7156	28	1	26		1	1024	16	10																									99999999																									挑战白帝水宫					1			0		0		0																				500		-1									254	1				5	775	0	1																																																											0	0	0	0	0																							2048				0						1	0		0													
