ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
66324						28	15	9		100			55		0	0		0	99999999								22	10000	10000	10000	10000	10000														66324																																						999999																									挑战尘归海_巨冥湾					1			0		0		0																						-1							0		3071						1544																																																								28					0	0	0	0	0																							2048										1						0								0		
66325	强弓					26				100				5				0	1250000			2500450					30						0	184	184	184	184	184		295	27	27	27	27		66325		8415	4205	8415	4205	28	1	30		1	1024	20	10																									99999999											68594										6881	2447	7486	838860	挑战尘归海_巨冥湾					1			0		0		0																						-1									254					7	1544	3482																																																												0	0	0	0	0																																	1																
66326	盾卫					26				100				5				0	3750000			1562602					30						0	184	184	184	184	184		295	27	27	27	27		66326		9118	4557	9118	4557	28	1	30		1	1024	20	10																									99999999											68595										6881	3671	11229	838860	挑战尘归海_巨冥湾					1			0		0		0																						-1									254					9	1544	5223																																																												0	0	0	0	0																																	1																
66327	钱宗龙					28				103			70	6				0	60160000			14009806					30	10000	10000	10000	10000	10000	0	1018	1018	1018	1018	1018		4959	4959	4959	4959	4959		66327		394870	0	394870	0	28	1	11		1	1024	1	10	21550	3	240	64			48																		99999999											68596														挑战尘归海_巨冥湾					1			0		0		0					scripts/Map/尘归海_巨冥湾/npc/1号_钱宗龙死亡.lua															3500	10000	-1								5	254					15	1544	83583	1																																																						28					0	0	0	0	0																																1536	1																
66328	晏厄	玄武长老				28				103				6				704800	79210000			0					30	10000	10000	10000	10000	10000	0	1018	1018	1018	1018	1018		4959	4959	4959	4959	4959		66328		607493				28	1	30		1	1024	20	10																									99999											67228	68598									1392			1048576	挑战尘归海_巨冥湾					1			0		0		0					scripts/Map/尘归海_巨冥湾/npc/5号_晏厄死亡.lua															3500	10000	-1								0	254					15	1544		5																																																						28					0	0	0	0	0								1															2048									1536	1											1			0		
66329	邢不僵	白虎长老				28				103				6				704800	144340000								30	10000	10000	10000	10000	10000	0	1018	1018	1018	1018	1018		4959	4959	4959	4959	4959		66329						21393	3																															99999											68599														挑战尘归海_巨冥湾					1			0		0		0					scripts/Map/尘归海_巨冥湾/npc/2号_邢不僵死亡.lua															3500	10000	-1								0	254					15	1544		2																																																						28					0	0	0	0	0								1															2048									1536	1											1					
66330	晏灾	玄武长老				28				103				6				704800	6510000			0					30	10000	10000	10000	10000	10000	0	1018	1018	1018	1018	1018		4959	4959	4959	4959	4959		66330		237302				28	1	30		1	1024	20	10																									99999											68600										1392			1048576	挑战尘归海_巨冥湾					1			0		0		0					scripts/Map/尘归海_巨冥湾/npc/5号_晏灾死亡.lua															3500	10000	-1								0	254					15	1544		5																																																						28					0	0	0	0	0								1															2048									1536	1											1			0		
66331	孙楚珊					28				103			62	6				0	28500000			54009800					6	10000	10000	10000	10000	10000	0	1018	1018	1018	1018	1018		4959	4959	4959	4959	4959		66331		76212	38106	76212	38106		1	11		1	1024	1	10																									99999999											68601														挑战尘归海_巨冥湾					1			0		0		0					scripts/Map/尘归海_巨冥湾/npc/1号_孙楚珊战败.lua															3500	10000	-1								0	254					15	1544	83583	1																																																											0	0	0	0	0																																1536	1																
66332						26		9		100					0	0		704800	99999999								30																			66332																																						99999999																									挑战尘归海_巨冥湾					1			0		0		0																						-1							0		3071						1544		5																																																						26					0	0	0	0	0																							2048										1														0		
66333						26		9		100					0	0		704800	99999999								30																			66333																																						99999999																									挑战尘归海_巨冥湾					1			0		0		0																						-1							0		3071						1544		5																																																						26					0	0	0	0	0																							2048										1														0		
66334	晏厄的巨手					28		5		103				5				0	3689000			0					30						0	1018	1018	1018	1018	1018		4959	4959	4959	4959	4959		66334		23199	11600	23199	11600																																	99999999																									挑战尘归海_巨冥湾					1			0		0		0																				3500		-1									254					11	1544	0	5																																																						28					0	0	0	0	0																																1536	1																
66335						28		9		100					0	0		0	99999999			0					30						182	60	60	60	60	60		140	13	13	13	13		66335		2772	1382	2772	1382																																	99999999											68602														挑战尘归海_巨冥湾					1			0		0		0																						-1							0		254						1544	1003	5																																																																																						2048										1																
66336	鬼首	海鬼众之首				28	3			103				6				704800	129410000			100000					30	10000	10000	10000	10000	10000	0	1018	1018	1018	1018	1018		4959	4959	4959	4959	4959		66336		76212	38106	76212	38106	21426	1																															99999999											68603														挑战尘归海_巨冥湾					1			0		0		0					scripts/Map/尘归海_巨冥湾/npc/3号_鬼首死亡.lua															3500	10000	-1									254					15	1544	0	3																																																						28					0	0	0	0	0																							6400									1536	1											1	0.3				
