ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
109607	阵法灯					26										0		180									22																			109607																																						4800											81804														羊村								0		0		0					scripts/Map/羊村/npc/大门开关.lua																	3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109608	灰太狼	羊村大作战接引狼				0				110								180	488614			439753					22						913	361	361	361	361	361		1005	96	96	96	96		109608		2271	1135	2271	1135																																	4800											81813											755	2306	838860	羊村							<G>快来和我们一起参与羊村大作战！	100		0		0					scripts/Map/羊村/npc/灰太狼.lua																10000	3840									0						3750																																																													1024	1024	1024	1024	1024																																	0																
109611	喜羊羊					0							56					180									22																			109611						28	1	30		1	1024	20	10																									4800											81857														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109612	懒羊羊					0							56					180									22																			109612						28	1	43		1	1024	33	10																									4800											81858														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109613	美羊羊					0												180									22																			109613						28	1																															4800											81859														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109614	沸羊羊					0							64					180									22																			109614						28	1																															4800											81860														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109615	暖羊羊					0												180									22																			109615						28	1																															4800											81861														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109616	小灰灰					0												180									22																			109616						28	1																															4800											81862														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109617	灰太狼					0							61					180									22																			109617						28	1																															4800											81863														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109618	红太狼					0												180									22																			109618						28	1																															4800											81864														羊村								0		0		0																						3840									0																																																																			1024	1024	1024	1024	1024																																	0																
109674	陷阱					26							59			0		180	15			0					22						10	5	5	5	5	5		15	0	0	0	0		109674		4	1	4	1	28	1	34		1	1024	24	10																									4800											81869											1	2	629145	羊村			3					0		0		0					scripts/Map/羊村/npc/激活陷阱.lua																10000	3840							0		0						4																																																													1024	1024	1024	1024	1024																																	0						0										
109676						0									0	0		180									22																			109676						28	1																															4800											81870														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109678						26							480		0	0		180									22																			109678																																						4800																									羊村								0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0										
109679						26									0	0		180									22																			109679																																						4800																									羊村								0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0										
109680						26									0	0		180									22																			109680																																						4800																									羊村								0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0										
109681						26									0	0		180									22																			109681																																						4800																									羊村								0		0		0																						3840							0		0																																																														26					1024	1024	1024	1024	1024																																	0						0										
109682						0									0	0		180									40																			109682																																						4800											81885														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109698						0							27		0	0		180									22																			109698						28	1	21		1	1024	11	10																									4800											81913														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109700						0									0	0		180									22																			109700						28	1	21		1	1024	11	10																									4800											81914														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109701						0							64		0	0		180									22																			109701						28	1	21		1	1024	11	10																									4800											81915														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109702						0									0	0		180									22																			109702						28	1	21		1	1024	11	10																									4800											81916														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109703						0									0	0		180									22																			109703						28	1	21		1	1024	11	10																									4800											81917														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109704						0									0	0		180									22																			109704						28	1	21		1	1024	11	10																									4800											81918														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109705						0									0	0		180									22																			109705						28	1	21		1	1024	11	10																									4800											81919														羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0						0										
109713						0									0	0		180									22																			109713																																						4800																									羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0	1					0										
109714						0									0	0		180									22																			109714																																						4800																									羊村								0		0		0																						3840							0		0																																																																			1024	1024	1024	1024	1024																																	0	1					0										
