ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
43149	胡尔察大叔					37				98			27					180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43149		528	264	528	264	28	1	28		1	1024	18	10																									4800											44759											545	1656	838860	阴山大草原							<G>马贼日渐猖狂，这生意不好做啦！	100	<G>侠士可有相熟的镖师介绍给我？	100		0					scripts\Map\阴山大草原\npc\胡尔察大叔.lua															0	9000	3840									0	0					1700	746																																																							37					1024	1024	1024	1024	1024																																	0						1										
43150	受伤的兄弟					37				98								180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43150		528	264	528	264	28	1	28		1	1024	18	10																									4800											44760	44782	44783	44784								545	1656	838860	阴山大草原							<G>这些马贼真的是太可恶了！	100		0		0																				0	9000	3840									0	0					1700	746																																																							37					1024	1024	1024	1024	1024																																	0						1										
43151	猖狂的劫匪					28			407	98								30	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43151		528	264	528	264	28	1	31		1	1024	21	10																									4800											44761	44786	45335									529	1606	838860	阴山大草原								0		0		0																				0	9000	3840								5	0	0					1700	724																																																												1024	1024	1024	1024	1024																																	0						1										
43152	格勒					37				98								180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43152		709	355	709	355	28	1	43		1	1024	33	10																									4800											44762											545	1656	838860	阴山大草原							<G>这草原最近不太平啊！	500	<G>愿天神护佑草原儿女！	500		0					scripts\Map\阴山大草原\npc\格勒.lua															0	9000	3840									0	0					1700	746																																																							37					1024	1024	1024	1024	1024																																	0						1										
43189	贝塔	从石林回来的族人				37				98								180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43189		528	264	528	264	28	1	26		1	1024	16	10																									4800											45396	45396	45392									545	1656	838860	阴山大草原							<G>这大草原就要遭难了，唯有“蝠神”可以拯救我们！	500		0		0					scripts\Map\阴山大草原\npc\从石林回来的族人.lua															0	9000	3840									0	0					1700	746																																																							37					1024	1024	1024	1024	1024																																	0						1										
43190	大萨满					26				98								180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43190		528	264	528	264	28	1	31		1	1024	21	10																									4800											44764											561	1706	838860	阴山大草原							<G>冤冤相报何时了……	500	<G>决不能让这祭坛落入妖物之手！	500		0					scripts\Map\阴山大草原\npc\大萨满.lua															0	9000	3840									0	0					1700	769																																																												1024	1024	1024	1024	1024																																	0						1										
43191						26				99			27	4	0	0		180	173768			156391					22						182	314	314	314	314	314		295	27	27	27	27		43191		1446	723	1446	723	28	1	26		1	1024	16	10																									4800											44765											648	1971	838860	阴山大草原								0		0		0					scripts\Map\阴山大草原\npc\小青小白.lua															0	9000	3840							0	5	0	0				6	1700	888																																																							26					1024	1024	1024	1024	1024																																	0						1										
43192	跋扈的马贼					37				99				4				180	173768			156391					22						182	314	314	314	314	314		295	27	27	27	27		43192		1446	723	1446	723	28	1	31		1	1024	21	10																									4800											44766											648	1971	838860	阴山大草原								0		0		0																				0	9000	3840									0	0				6	1700	888																																																							37					1024	1024	1024	1024	1024																																	0						1										
43193	被蛊惑的牧民					37				98								180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43193		528	264	528	264	28	1	28		1	1024	18	10																									4800											44767											545	1656	838860	阴山大草原								0		0		0					scripts\Map\阴山大草原\npc\苏蝶妖媚女子.lua															0	9000	3840									0	0					1700	746																																																							37					1024	1024	1024	1024	1024																																	0						1										
43210	白弦笙					37				98								180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43210		528	264	528	264	28	1	24		1	1024	14	10																									4800											44768											545	1656	838860	阴山大草原							<G>就凭那几个笨蛋也想捉了本少爷？	500		0		0					scripts\Map\阴山大草原\npc\白弦笙.lua															0	9000	3840									0	0					1700	746																																																							37					1024	1024	1024	1024	1024																																	0						1										
43212	胡万三	老掌柜				37				98								180	62464			56217					22						182	60	60	60	60	60		140	13	13	13	13		43212		528	264	528	264	28	1	28		1	1024	18	10																									4800											44769											561	1706	838860	阴山大草原							<G>经商信为本，买卖礼在先。	500		0		0					scripts\Map\阴山大草原\npc\胡万三.lua															0	9000	3840									0	0					1700	769																																																							37					1024	1024	1024	1024	1024																																	0						1										
