ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
57339	哈桑	尸将				28		4	0	121				6				704800	96593534			1000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		57339		10336	5168	10336	5168	17990	1	36		1	1024	26	10																									99999999				0		0		0		0	59405	59439									1392	0	0	0	银雾湖					1			0		0		0					scripts\Map\银雾湖\npc\1号哈桑\哈桑死亡.lua					172	0		0		0		0			1500	10000	-1									254					5	1544	0	1									0		0		0		0		0		0		0																																						0	0	0	0	0				7				1															2048				1					1000	1						1								0		
57340						26		9	0	120					0	0		704800	999999999			25678					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57340		3302	1656	3302	1656																																	99999999				0		0		0		0	36530											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1							0		3070						1019	0	1									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1						1										
57359	银鼍龙王					28		2	0	121			150	6				704800	112355659			1000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		57359		10336	5168	10336	5168	18068	1	36				26	10																									99999999				0		0		0		0	59433											0	0	0	银雾湖			2		1			0		0		0					scripts\Map\银雾湖\npc\2号银鼍龙王\银鼍龙王死亡.lua					172	0		0		0		0			1500	10000	-1									254					5	1544	0	2									0		0		0		0		0		0		0																																						0	0	0	0	0				7				1															2048				1					1000	1						1								0		
57360						26		9	0	120					0	0		704800	999999999			25678					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57360		3302	1656	3302	1656																																	99999999				0		0		0		0	59434											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1							0		254						775	0	2									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1	1					1										
57361						28			0	120					0	0		704800	999999999								22	10000	10000	10000	10000	10000		3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57361																																						9999				0		0		0		0	59435										2	0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1							0		3070						1019	0	2									0		0		0		0		0		0		0																																	28					0	0	0	0	0																							2048										0						1										
57362	容夏	天蛛使				28			0	121				6				704800	115184758			1000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		57362		86070	7357	86070	7357	28	1	36	16			26	10																									99999999				0		0		0		0	59437										1392	0	0	0	银雾湖					1			0		0		0					scripts\Map\银雾湖\npc\3号容夏纳罗\容夏死亡.lua						0		0		0		0			1500	10000	-1									254					5	1122	0	3									0		0		0		0		0		0		0																																						0	0	0	0	0								1															2048				1					1000	1						1										
57363	纳罗	风蜈使				28		9	0	121				6	0			704800	68496436			1000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		57363		10336	0	10336	0	28	1	30		1	1024	20	10																									99999999				0		0		0		0	59438										1392	0	0	0	银雾湖					1			0		0		0											0		0		0		0			1500	10000	-1									254					5	1122	0	3									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048									800	1						1										
57365	药桶					26			0	120			53	5		0		704800	999999999			0					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57365		8267	4138	8267	4138																																	99999999				0		0		0		0	59440										2	0	0	0	银雾湖					1			0		0		0					scripts\Map\银雾湖\npc\3号容夏纳罗\药桶爆炸.lua						0		0		0		0			500	10000	-1									254					7	1019	0	3									0		0		0		0		0		0		0																																	26					0	0	0	0	0																							2048										1						0										
57366						26		9	0	120					0	0		704800	999999999			25678					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57366		3302	1656	3302	1656																																	99999999				0		0		0		0	59476											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1							0		3070						1019	0	1									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1						1										
57369	陈月	小圣手				26			0	120								704800	999999999			111835325						10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57369		3302	1656	3302	1656	28	1	30		1	1024	20	10																									99999999				0		0		0		0	59442											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1									254						775	0	3									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1						1										
57370	长孙笑	小先生				26			0	120								704800	999999999			111835325						10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57370		3302	1656	3302	1656	28	1	30		1	1024	20	10																									99999999				0		0		0		0	59443											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1									254						775	0	3									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1						1										
57371	阿幼朵	圣蝎使				26			0	120			34					704800	999999999			55917662						10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57371		3302	1656	3302	1656	28	1	35		1	1024	25	10																									99999999				0		0		0		0	59445											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1									254						775	0	3									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1						1										
57372	小邪子	毒神				26			0	120								704800	999999999			55917662						10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57372		3302	1656	3302	1656	28	1	24		1	1024	14	10																									99999999				0		0		0		0	59447											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1									254						775	0	3									0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1						1										
57374	李静珠	接引人				26			0	120								704800	4041571			100000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57374		3302	1656	3302	1656	28	1	35		1	1024	25	10																									99999999				0		0		0		0	59449											0	0	0	银雾湖					1		<G>这银雾湖雾气重重，不知有什么危险在前方等着我们呢。	100		0		0					scripts\Map\银雾湖\npc\周边\传送.lua						0		0		0		0			500	10000	-1									254						775	0										0		0		0		0		0		0		0																																						0	0	0	0	0																							2048										1						1										
57375	白落落	五毒·圣蝎殿声望商				172			0	120								704800	4041571			100000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57375		3302	1656	3302	1656	28	1	35		1	1024	25	10																									99999999				0		0		0		0	59450											0	0	0	银雾湖					1		<G>圣蝎使说这里的大湖里有什么东西，究竟是什么呢，看起来好吓人啊。	100		0		0											0		0		0		0			500	10000	-1									254						775	0										0		0		0		0		0		0		0																																	172					0	0	0	0	0																							2048										1						1										
57388	哈桑	尸将				37		4	0	120				6				704800	130138569			1000					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		57388		3302	1656	3302	1656	28	1	36		1	1024	26	10																									99999999				0		0		0		0	59465											0	0	0	银雾湖					1			0		0		0											0		0		0		0			500	10000	-1									254					5	1019	0										0		0		0		0		0		0		0																																	37					0	0	0	0	0																							2048										1						1										
