ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
106506	李君竹	冷青竹				28				121			53	6				704800	173381250			3151859					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		106506		2898	0	0	0	27587	2					20	10																									99999											78390										1392				英雄北天药宗_武氏别院					1			0		0		0					scripts/Map/北天药宗_武氏别院/npc/李君竹.lua															1500	10000	-1									254	0				5	1544	0	1																																																						28					0	0	0	0	0								1															2048				1						1														0		
106507						26		9		121				6	0	0		704800	262499998								30	10000	10000	10000	10000	10000		4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		106507																																						99999999											78391														英雄北天药宗_武氏别院					1			0		0		0																				1500	10000	-1							0		254					5	2580		1																																																						26					0	0	0	0	0																							2048										1														0		
106508				2	0	26	1	9	0	120	0	950	29	6	0	0		704800	999999999	0	0	45	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	106508	1	3938	1969	3938	1969			43	0	1	1024	33	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	奉天证道\5人公共掉落\Pattern_boss_all.tab	1	奉天证道\5人公共掉落\EnchantAssist.tab	2	奉天证道\DLC五人本\gear_1_3.tab	1													1392	100000	100000	1048576	英雄北天药宗_武氏别院	0	0	1	1	1	0		0		0		0					scripts/Map/北天药宗_武氏别院/npc/宝箱.lua					217	300	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	0		3070	1	1.00	0	960	5	2580	696864	1			0	-1	7	0	-1	0																						32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			7	0	0	0	1	0													1	2560				1						1						1								0		
106509						26		9		121				6	0	0		704800	262499998								30	10000	10000	10000	10000	10000		4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		106509																																						99999999											78392														英雄北天药宗_武氏别院					1			0		0		0																				1500	10000	-1							0		254					5	2580		1																																																						26					0	0	0	0	0																							2048										1														0		
106510	剑宗高级弟子					28				121				5				0	4685625			1318360					15	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		106510		10064	5032	10064	5032	28	1	39	1			29	10																									99999999											78358										2				英雄北天药宗_武氏别院					1			0		0		0					scripts\Map\北天药宗_武氏别院\npc\剑宗小怪.lua															1500	10000	-1									254					7	2580		1																																																											0	0	0	0	0																																	1																
106511				2	0	26	1	9	0	120	0	950	29	6	0	0		704800	999999999	0	0	45	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	106511	1	3938	1969	3938	1969			43	0	1	1024	33	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	奉天证道\5人公共掉落\Pattern_boss_all.tab	1	奉天证道\5人公共掉落\EnchantAssist.tab	2	奉天证道\DLC五人本\gear_2_1.tab	1													1392	100000	100000	1048576	英雄北天药宗_武氏别院	0	0	1	1	1	0		0		0		0					scripts/Map/北天药宗_武氏别院/npc/宝箱.lua					217	300	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	0		3070	1	1.00	0	960	5	2580	696864	2			0	-1	7	0	-1	0																						32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			7	0	0	0	1	0													1	2560				1						1						1								0		
106512	解秀朝	解家家主				28				121			60	6				704800	181807500			3151859					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146	0	11073	11073	11073	11073	11073		106512		2898	0	0	0	27588	2					20	10																									99999											78401										1392				英雄北天药宗_武氏别院					1			0		0		0					scripts/Map/北天药宗_武氏别院/npc/解秀朝.lua															1500	10000	-1									254	0				5	1544	0	2																																																						28					0	0	0	0	0								1															2048				1						1														0		
106513						26		9		121				6	0	0		704800	262499998								30	10000	10000	10000	10000	10000		4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		106513																																						99999999											78395														英雄北天药宗_武氏别院					1			0		0		0																				1500	10000	-1							0		254					5	2580		2																																																						26					0	0	0	0	0																							2048										1														0		
106514	剑宗弟子					28				120				5				0	2231250			1318360					30	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	0	4667	4667	4667	4667	4667		106514		10064	5032	10064	5032	27620	2		1			29	10																									99999999											78720										2				英雄北天药宗_武氏别院								0		0		0																				500	10000	-1									254					7	2580		1																																																											0	0	0	0	0																																0	1																
106515				2	0	26	1	9	0	120	0	950	29	6	0	0		704800	999999999	0	0	45	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	1024	4667	4667	4667	4667	4667	0	106515	1	3938	1969	3938	1969			43	0	1	1024	33	10			32	0	1	1024	16	8			32	0	1	1024	16	8			32	0	1	1024	16	8	99999999	0	20	奉天证道\5人公共掉落\Pattern_boss_all.tab	1	奉天证道\5人公共掉落\EnchantAssist.tab	2	奉天证道/DLC特殊掉落/110jixiaochengwudaoju.tab	1	奉天证道\5人公共掉落\RemainSpaceItem_boss.tab	1											1392	100000	100000	1048576	英雄北天药宗_武氏别院	0	0	1	1	1	0		0		0		0					scripts/Map/北天药宗_武氏别院/npc/宝箱.lua					217	300	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	0		3070	1	1.00	0	960	5	2580	696864	3			0	-1	7	0	-1	0		奉天证道\DLC五人本\gear_3_5.tab	1	北天药宗/英雄武氏别院/yxwsbyteshu.tab	1	家具副本掉落/jiaju462.tab	1	江湖百态\艺人\dancing.tab	1													32	0	32	0	32	0	32	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	26			0	0	0	0	0	0	0	0			7	0	0	0	1	0													1	2560				1						1						1								0		
