ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
66090	¶¾ÐÄ					28				103			200	5				604800	7220000			322530					15	10000	10000	10000	10000	10000	0	388	388	388	388	388		4959	4959	4959	4959	4959		66090		113905	1424	15197	7599		1					33	10																									99999999												67624									2				Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0					scripts/Map/³¾¹éº£_÷Ò÷Ñ¶´/npc/¶¾ÐÄ.lua															3000	10000	-1							0	5	254					10	1544	0	1																																																						28					0	0	0	0	0																							2048									350	1														0		
66091	àÁ					28				102			200	5				604800	126000			322530					30	10000	10000	10000	10000	10000	0	388	388	388	388	388		390	390	390	390	390		66091		113905	1424	15197	7599		1					33	10																									99999999											67659										2				Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0																				500	10000	-1								5	254					10	1122	0	1																																																						28					0	0	0	0	0																							2048									350	1														0		
66092	³Õ					28				102			200	5				604800	126000			322530					30	10000	10000	10000	10000	10000	0	388	388	388	388	388		390	390	390	390	390		66092		113905	1424	15197	7599		1					33	10																									99999999											67660										2				Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0																				500	10000	-1								5	254					10	1122	0	1																																																						28					0	0	0	0	0																							2048									350	1														0		
66093	Âý					28				102			200	5				604800	126000			322530					30	10000	10000	10000	10000	10000	0	388	388	388	388	388		390	390	390	390	390		66093		113905	1424	15197	7599		1					33	10																									99999999											67661										2				Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0																				500	10000	-1								5	254					10	1122	0	1																																																						28					0	0	0	0	0																							2048									350	1														0		
66094	ÔÓÄî					28		9		102			126	5	0	0		0	1075102			967591					30	10000	10000	10000	10000	10000	0	426	426	426	426	426		429	429	429	429	429		66094		18999	9497	18999	9497			43		1	1024	33	10																									99999999																									Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0																				2000	10000	-1							0		254					13	1226	6006	1																																																						28					0	0	0	0	0																							2560										1														0		
66095	ÇåÐÄ					28				103			200	5				604800	3800000			322530					15	10000	10000	10000	10000	10000	0	388	388	388	388	388		4959	4959	4959	4959	4959		66095		113905	1424	15197	7599		1					33	10																									99999999											67420										2				Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0																				3000	10000	-1								5	254					10	1122	0	1																																																						28					0	0	0	0	0																							2048									350	1														0		
66096						26		9		100					0	0		704800	99999999			4					22						8	3	3	3	3	3		6						66096		29	10	29	10			55		1	1024	45	10																									99999999																									Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0																						-1							0		254						1019	78	1																																																						26					0	0	0	0	0																							2048										1						1								0		
66097						26		9		100					0	0		704800	99999999			4					22						8	3	3	3	3	3		6						66097		29	10	29	10			55		1	1024	45	10																									99999999																									Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1			0		0		0																						-1							0		254						1019	78	1																																																						26					0	0	0	0	0																							2048										1						1								0		
66098	Ó°àÁ					28		2		102				6				704800	7220000			100000					32	10000	10000	10000	10000	10000	0	934	934	934	934	934		2818	2818	2818	2818	2818		66098		18985	1899	18985	1899	21391	2			1	1024	24		21392	2	160	64			108	32	21407	1	160	224			108	32	21413	2	240	80			108	32	99999											67650										2				Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1	15		0		0		0					scripts/Map/³¾¹éº£_÷Ò÷Ñ¶´/npc/°µÓ°.lua															2000	10000	-1									254	1				15	1544	0	1																										1				160	160																												0	0	0	0	0																							9999999								0	1024	1														0		
66099	Ó°³Õ					28		2		102				6				704800	7220000			100000					32	10000	10000	10000	10000	10000	0	934	934	934	934	934		2818	2818	2818	2818	2818		66099		18985	1899	18985	1899	21391	2			1	1024	24		21392	2	160	64			108	32	21407	1	160	224			108	32	21413	2	240	80			108	32	99999											67650										2				Ó¢ÐÛ³¾¹éº£_÷Ò÷Ñ¶´					1	15		0		0		0					scripts/Map/³¾¹éº£_÷Ò÷Ñ¶´/npc/°µÓ°.lua															2000	10000	-1									254	1				15	1544	0	1																										1				160	160																												0	0	0	0	0																							9999999								0	1024	1														0		
