ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
60636	ÎÌÓ×Ö®	°×¹íÎÌ				28				121			59	6				99999999	103180000			100000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		60636		0	0	0	0	19757	2	16				8	0																									999999999											63058														Ó¢ÐÛ¾µ²´ºþ					1			0		0		0					scripts/Map/Ó¢ÐÛ¾µ²´ºþ/npc/2ºÅ_°×¹íÎÌ/°×¹íÎÌ.lua															1500	10000	-1									254					5	1226		3																																																						28					0	0	0	0	0																							2048								0	350	1												0.3		0		
60637				4		26		9		120		0			0	0		99999999	999999999			0			0			10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	0	4667	4667	4667	4667	4667		60637		0	0	0	0																																	999999999																									Ó¢ÐÛ¾µ²´ºþ			0	0	1			0		0		0																				500	10000	-1							0		3070						1544	0	2																																																						26					0	0	0	0	0																							2048								0	0	1	1					0										
60684	¶ËÄ¾çñ	ÔÂÈª×Ú´ó³¤ÀÏ				28				121				6				99999999	91700000			100000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		60684		0	0	0	0	19793	2	16				8	0																									999999999											63257														Ó¢ÐÛ¾µ²´ºþ					1			0		0		0					scripts/Map/Ó¢ÐÛ¾µ²´ºþ/npc/3ºÅ_¶ËÄ¾çñ/¶ËÄ¾çñ.lua															1500	10000	-1									254					5	1226		3																																																						28					0	0	0	0	0																							2048								0	350	1												0.3		0		
60685				4		26		9		120		0			0	0		99999999	999999999			0			0			10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	0	4667	4667	4667	4667	4667		60685		0	0	0	0																																	999999999																									Ó¢ÐÛ¾µ²´ºþ			0	0	1			0		0		0																				500	10000	-1							0		3070						1544	0	3																																																						26					0	0	0	0	0																							2048								0	0	1	1					0										
60686				4		26		9		120		0			0	0		99999999	999999999			0			0			10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	0	4667	4667	4667	4667	4667		60686		0	0	0	0																																	999999999																									Ó¢ÐÛ¾µ²´ºþ			0	0	1			0		0		0																				500	10000	-1							0		3070						1544	0	3																																																						26					0	0	0	0	0																							2048								0	0	1	1					0										
60687				4		26		9		120		0			0	0		99999999	999999999			0			0			10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	0	4667	4667	4667	4667	4667		60687		0	0	0	0																																	999999999																									Ó¢ÐÛ¾µ²´ºþ			0	0	1			0		0		0																				500	10000	-1							0		3070						1544	0	2																																																						26					0	0	0	0	0																							2048								0	0	1	1					0										
60688	¹þ¶ûÜ½ÁÖ	º®Ñ»ÈýÅ®				28				121				6				99999999	114660000			100000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		60688		0	0	0	0	19780	2	16				8	0																									999999999											63152														Ó¢ÐÛ¾µ²´ºþ					1			0		0		0					scripts/Map/Ó¢ÐÛ¾µ²´ºþ/npc/1ºÅ_º®Ñ»ÈýÅ®/º®Ñ»ÈýÅ®.lua															1500	10000	-1									254					5	1226		1																																																						28					0	0	0	0	0																							2048								0	350	1												0.3		0		
60689	¹þ¶û¼ª°¬¶û	º®Ñ»ÈýÅ®				28				121				6				99999999	114660000			100000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		60689		0	0	0	0	19782	2	16				8	0																									999999999											63153														Ó¢ÐÛ¾µ²´ºþ					1			0		0		0					scripts/Map/Ó¢ÐÛ¾µ²´ºþ/npc/1ºÅ_º®Ñ»ÈýÅ®/º®Ñ»ÈýÅ®.lua															1500	10000	-1									254					5	1226		1																																																						28					0	0	0	0	0																							2048								0	350	1												0.3		0		
60690	¹þ¶ûÄÉÁ«Òô	º®Ñ»ÈýÅ®				28				121				6				99999999	114660000			100000					30	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073		60690		0	0	0	0	19784	2					8	0																									999999999											63154														Ó¢ÐÛ¾µ²´ºþ					1			0		0		0					scripts/Map/Ó¢ÐÛ¾µ²´ºþ/npc/1ºÅ_º®Ñ»ÈýÅ®/º®Ñ»ÈýÅ®.lua															1500	10000	-1									254					5	1226		1																																																						28					0	0	0	0	0																							2048								0	350	1												0.3		0		
60691				4		26		9		120		0			0	0		99999999	999999999			0			0			10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931	0	4667	4667	4667	4667	4667		60691		0	0	0	0																																	999999999																									Ó¢ÐÛ¾µ²´ºþ			0	0	1			0		0		0																				500	10000	-1							0		3070						1544	0	1																																																						26					0	0	0	0	0																							2048								0	0	1	1					0										
