ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
6170	平民			2	0	31	1	1	0	120	0	950	27	4	1	1		999999	4473035	0	0	11560	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	6170	1	8865	4422	8865	4422	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	5222	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	1	0	0	1	0	960	6	100	0	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	31			0	20									0	0	0	0															1											0						1										
6171	老百姓				0	31			0	120			27	4				999999	4473035			11560				6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667		6171	1	8865	4422	8865	4422	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	5224										1	0	0	0	英雄日轮山城					1	0		0		0		0										0	0	0	0	0	0	0	0			500	10000	-1								1	0	0		0	960	6	100	0					-1	7	0					0		0		0		0		0		0	0	0	0	0	0	0	0	0	32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	31				20									0	0	0	0															1											0						1										
6172	源氏阴阳师			2	0	28	1	1	0	121		950	32	5	1	1		999999	5333583	0	0	42631	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	414	6172	1	22425	14925	22425	14925	28	1	28		1	1024	18	10	915	20	120		7	500	16	8	918	10	240		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	2959	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	5	1	0		0		0		0										43	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	11		0				7	110	0	1											0		0		0		0		0		0																																	28													6																		1											0						1										
6173	源氏部将			2	0	28	1	1	0	121	0	950	39	5	1	1		999999	9952120	0	0	42865	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	409	6173	1	47409	23705	47409	23705	28	1	32		1	1024	22	10	926	11	320		2	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	3019	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	1	1	0		0		0		0										43	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	11	514	0				9	71	0	2											0		0		0		0		0		0																																	28													6																		1											0						1										
6174	阿麻吕			2	0	26	1	1	0	121	0	950	45	6	1	1		999999	33682886	0	0	87046	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	0	6174	1	63772	31886	63772	31886	28	1	30		1	1024	20	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	5591	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	1	1	0		100		0		0										0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	5						5	63	0												0		0		0		0		0		0																																	26													0	0	0	0															1											0						1										
6175	源明雅			2	0	26	1	1	0	121	0	950	60	6	1	1		999999	29812339	0	0	50943	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	0	6175	1	42515	21258	42515	21258	28	1	39		1	1024	29	10			240		1	1024	16	8			520				16	8			32		1	1024	16	8	99999999	0	20		0		0		0		0	5594	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	1	1	0	<G>中原的武者，再给我更多的乐趣吧！	500	<G>你不该只有这点本事吧。	500		0					scripts\Map\英雄日轮山城\npc\源明雅.lua					0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	11	254					5	141	0												0		0		0		0		0		0																																	26													0	0	0	0															1											1						1										
6176	源氏弓足轻			2	0	28	1	1	0	120	0	950	39	5	1	1		999999	4814747	0	0	26226	0	0	100	6	28	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	6176	1	30862	15417	30862	15417	59	1	32		8	102400	13	10	919	11	240		1	1024	16	8	28	1	32		1	1024	16	8			0		8	10240	16	8	99999999	0	20		0		0		0		0	2956	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	4	1	0		0		0		0										43	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	11		0				7	70	0	2											0		0		0		0		0		0																																	28													6																		1											0						1										
6177	源氏雪部上忍			2	0	28	1	1	0	121	0	950	37	5	1	1		999999	5300777	0	0	36840	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	0	6177	1	40222	23079	40222	23079	28	1	26		1	1024	16	10	929	15	240		1	1024	16	8	927	15	32		8	10240	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	3054	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	3	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	11	86	0				7	110	0												0		0		0		0		0		0																																	28													0	0	0	0															1											0						1										
6178	源氏炎部上忍			2	0	28	1	1	0	121	0	950	37	5	1	1		999999	10145195	0	0	55260	0	0	100	6	28	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	0	6178	1	53617	26809	53617	26809	28	1	26		1	1024	16	10	928	15	160		8	1024	16	8	927	15	32		8		16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	3051	0	0	0	0	0	0	0	0	0	0	0	0	0	英雄日轮山城	0	0	1	3	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	1500	10000	-1	0	0	0	0	0	0	1	11	596	0				9	110	0	4											0		0		0		0		0		0																																	28													0	0	0	0															1											0						1										
6179	源氏近侍			2	0	28	1	1	0	120	0	950	45	5	1	1		999999	5871642	0	0	25290	0	0	100	6	28	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	6179	1	25714	12857	25714	12857	28	1	28		1	1024	18	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4343	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄日轮山城	0	0	1	1	1	0		0		0		0										43	0	0	0	0	0	0	0	0	0	500	10000	-1	0	0	0	0	0	0	1	11	10	0	1	0	0	7	70	0	2											0		0		0		0		0		0																																	28													6																		1											0						1										
