ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter
203	尸兵			2	0	28	1	4	0	120	0	950	45	4	1	1		0	2894377	0	0	2520	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	203	1	12076	7222	14468	7222	28	1			1	1024	25	10	982	9	240		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4578	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	384000	0	0	0	0	0	0	1		0	0	1.00	0	0	4	354	0	0									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1										
204	雷霆铁甲龙			2	0	26	1	3	0	120	0	950	152	5	1	1		86400	19301551	0	0	0	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	204	1	33765	21139	42230	21139	28	1			1	1024	39	10	855	20	240		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4585	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	3	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	384000	0	0	0	0	0	0	1	5	252	0	1	0	0	9	70	0	0									0		0		0		0		0		0		0																																	26													0	0	0	0															1											1						1										
205	雷霆铁颅			2	0	28	1	3	0	120	0	950	45	5	1	1		86400	10071950	0	0	0	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	205	1	25467	13415	41178	20589	28	1	52		1	1024	42	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4586	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	3	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	7	70	0	0									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1										
206	亡魂尸			2	0	26	1	4	0	121	0	950	45	5	1	1		0	15520544	0	0	20324	0	0	100	6	22	10000	10000	10000	10000	10000	0	4146	4146	4146	4146	4146		11073	11073	11073	11073	11073	0	206	1	36491	15855	31709	15855	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4587	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	1500	10000	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	7	71	0	0									0		0		0		0		0		0		0																																	26													0	0	0	0															1											0						1										
207	武毒尸			2	0	28	1	4	0	120	0	950	45	5	1	1		0	4830148	0	0	18209	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	207	1	20255	10111	20255	10111	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4588	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	7	70	0	0									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1										
260	1号区域控制			2	0	26	1	1	0	1	0	950	28	3	0	0		180	5	0	0	4	0	0	100	6	28	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	260	1	3	2	3	2	28	1	21		1	1024	11	10	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3820	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0	0	1				3	2	0										0		0		0		0		0		0		0																																	26				0									0	0	0	0															1											0						1										
261	2号区域总控			2	0	26	1	1	0	1	0	950	28	3	0	0		180	5	0	0	4	0	0	100	6	28	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	261	1	3	2	3	2	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3820	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0	0	1				3	2	0										0		0		0		0		0		0		0																																	26				0									0	0	0	0															1											0						1										
262	3号区域总控			2	0	26	1	1	0	1	0	950	28	3	0	0		180	5	0	0	4	0	0	100	6	28	9000	0	0	0	0	8	3	3	3	3	3		6	1	1	1	1	0	262	1	3	2	3	2	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	4800	0	20		0		0		0		0	3820	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	0	0	0	1				3	2	0										0		0		0		0		0		0		0																																	26				0									0	0	0	0															1											0						1										
293	天一教祭祀			2	0	28	1	1	0	120	0	950	45	4	1	1		86400	3503847	0	0	1592	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	293	1	10463	8571	16740	8370	28	1	39		1	1024	29	10	981	9	240		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4627	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	1	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	384000	0	0	0	0	0	0	1	5	0	0	1.00	0	0	4	354	0	0									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1										
294	祭祀魔骨			2	0	28	1	4	0	120	0	950	45	4	1	1		0	6326032	0	0	12520	0	0	100	6	22	10000	10000	10000	10000	10000	0	3931	3931	3931	3931	3931		4667	4667	4667	4667	4667	0	294	1	29891	9852	14468	7222	28	1			1	1024	25	10	982	10	320		1	1024	16	8	0	0	32		1	1024	16	8	0	0	32		1	1024	16	8	99999999	0	20		0		0		0		0	4629	0	0	0	0	0	0	0	0	0	1	0	0	0	英雄天工坊	0	0	4	1	1	0		0		0		0										0	0	0	0	0	0	0	0	0	0	500	10000	384000	0	0	0	0	0	0	1	5	0	0	1	0	0	4	70	0	0									0		0		0		0		0		0		0																																	28													0	0	0	0															1											0						1										
