ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
110302	ÃŸ‘≠π„À√	“ªµ∂¡˜√≈÷˜				28				25			64	6				704800	35500			100					30	10000	10000	10000	10000	10000	0	28	28	28	28	28			0	0	0	0		110302		0	0	120000	0	31824	1																															99999			∑ÓÃÏ÷§µ¿\5»Àπ´π≤µÙ¬‰\Pattern_boss_all.tab	1	∫·µ∂∂œ¿À\”ƒÃŸπ›\gear_3_1.tab	1					82504	82505									1392	50000	50000	1048576	”ƒÃŸπ›					1			0		0		0					scripts/Map/”ƒÃŸπ›/npc/3∫≈_ÃŸ‘≠π„À√/ÃŸ‘≠π„À√.lua					218	200									4000	10000	-1									254					15	4370	500	3																																																						28					0	0	0	0	0				6				1															2048								0		1	0																									
110303						26		9		25					0	0		704800	99999999								30																			110303																																						9999																									”ƒÃŸπ›					1			0		0		0																						-1							0		254								3																																																						26					0	0	0	0	0																							2048										1																										
110304						26		9		25					0	0		704800	99999999								30																			110304																																						9999																									”ƒÃŸπ›					1			0		0		0																						-1							0		254								3																																																						26					0	0	0	0	0																							2048										1																										
110305						28		9		25					0	0		704800	99999999								16																			110305																																						9999											85342														”ƒÃŸπ›					1			0		0		0																						-1							0		254								3																																																						28					0	0	0	0	0																							2048										1																										
110306						28		9		25					0	0		704800	99999999								30																			110306																																						9999											82508														”ƒÃŸπ›					1			0		0		0																						-1							0		254								3																																																						28					0	0	0	0	0																							2048										1																										
110307	–ª‘∆¡˜	µ∂◊⁄◊⁄÷˜				26				25								180									22																			110307						28	1	30				20	10																									4800											85338														”ƒÃŸπ›								0		0		0					scripts/Map/”ƒÃŸπ›/npc/–ª‘∆¡˜≥ˆ±æ.lua																	3840									0																																																														26					1024	1024	1024	1024	1024																																	0	1					0																				
110330	Œ‚ÃÌ√˜	µ∂◊⁄≈—ÕΩ				28				25			64	6				704800	16800			100					30	10000	10000	10000	10000	10000	0	28	28	28	28	28			0	0	0	0		110330		0	0	120000	0	31812	1					20	10																									99999			∑ÓÃÏ÷§µ¿\5»Àπ´π≤µÙ¬‰\Pattern_boss_all.tab	1	∫·µ∂∂œ¿À\”ƒÃŸπ›\gear_1_1.tab	1					82534	82535									1392	50000	50000	1048576	”ƒÃŸπ›					1			0		0		0					scripts/Map/”ƒÃŸπ›/npc/1∫≈_Œ‚ÃÌ√˜/Œ‚ÃÌ√˜.lua					218	200									4000	10000	-1									254					15	4370	500	1																																																						28					0	0	0	0	0				6				1															2048								0		1																										
110331						26		9		25			597		0	0		704800	99999999								30																			110331																																						9999																									”ƒÃŸπ›					1			0		0		0																						-1							0		254								1																																																						26					0	0	0	0	0																							2048										1																										
110332						26		9		25					0	0		704800	99999999								30																			110332							1																															9999																									”ƒÃŸπ›					1			0		0		0																						-1							0		254								1																																																						26					0	0	0	0	0																							2048										1																										
110429	’Û—€					28		5		25			144	6				15400	15400			100					30	10000	10000	10000	10000	10000	0	28	28	28	28	28			0	0	0	0		110429		0	0	120000	0	31824	1																															99999											82648										1392				”ƒÃŸπ›					1			0		0		0					scripts/Map/”ƒÃŸπ›/npc/2∫≈_√ÿ»˝ª®/’Û—€.lua															4000	10000	-1									254					15	4370	0	2																																																						28					0	0	0	0	0								1															2048								0		1																										
110430	’Û–ƒ					28		5		25				6				704800	285600000			100					30	10000	10000	10000	10000	10000	0	28	28	28	28	28			0	0	0	0		110430		0	0	120000	0	31818	1			2																												99999											82649										1392				”ƒÃŸπ›					1			0		0		0																				4000	10000	-1									254					15	4370	0	2																																																						28					0	0	0	0	0								1															2048								0		1																										
110431						26		9		25			597		0	0		704800	99999999								30																			110431																																						9999																									”ƒÃŸπ›					1			0		0		0																						-1							0		254								2																																																						26					0	0	0	0	0																							2048										1																										
110432						26		9		25					0	0		704800	99999999								30																			110432							1																															9999																									”ƒÃŸπ›					1			0		0		0																						-1							0		254								2																																																						26					0	0	0	0	0																							2048										1																										
110514	’Û¡È					28				25			64	6				704800	10			100					30	10000	10000	10000	10000	10000	0	28	28	28	28	28			0	0	0	0		110514		16	0	0	0	28	1																															99999											82704										2				”ƒÃŸπ›					1			0		0		0					scripts/Map/”ƒÃŸπ›/npc/2∫≈_√ÿ»˝ª®/’Û¡È.lua															4000	10000	-1									254					9	4370	0	2																																																						28					0	0	0	0	0								1															2048								0		1																										
110548						28		9		25					0	0		704800	99999999								30																			110548																																						0											84072														”ƒÃŸπ›					1			0		0		0																						-1							0		254								2																																																						28					0	0	0	0	0																							2048										1																										
