ID	Name	Title	Model	Kind	CampRequire	ForceID	MoveMode	Species	DropClassID	Level	AdjustLevel	Height	TouchRange	Intensity	IsSelectable	CanSeeLifeBar	AlarmRange	ReviveTime	MaxLife	LifeReplenish	LifeReplenishPercent	MaxMana	ManaReplenish	ManaReplenishPercent	MaxRage	WalkSpeed	RunSpeed	PhysicsAttackHit	SolarMagicHit	NeutralMagicHit	LunarMagicHit	PoisonMagicHit	Dodge	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	PhysicsDefenceMax	PhysicsShieldBase	SolarMagicDefence	NeutralMagicDefence	LunarMagicDefence	PoisonMagicDefence	NpcDialogID	AIType	AIParamTemplateID	MeleeWeaponDamageBase	MeleeWeaponDamageRand	RangeWeaponDamageBase	RangeWeaponDamageRand	SkillID1	SkillLevel1	SkillInterval1	SkillFirstInterval1	SkillType1	SkillRate1	SkillAniFrame1	SkillRestFrame1	SkillID2	SkillLevel2	SkillInterval2	SkillFirstInterval2	SkillType2	SkillRate2	SkillAniFrame2	SkillRestFrame2	SkillID3	SkillLevel3	SkillInterval3	SkillFirstInterval3	SkillType3	SkillRate3	SkillAniFrame3	SkillRestFrame3	SkillID4	SkillLevel4	SkillInterval4	SkillFirstInterval4	SkillType4	SkillRate4	SkillAniFrame4	SkillRestFrame4	ThreatTime	ThreatPercent	OverThreatPercent	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	RepresentID1	RepresentID2	RepresentID3	RepresentID4	RepresentID5	RepresentID6	RepresentID7	RepresentID8	RepresentID9	RepresentID10	CorpseDoodadID	MoneyMin	MoneyMax	MoneyDropRate	MapName	MasterID	CraftMasterID	RaceClass	CombatType	IsSpecial	JumpSpeed	IdleDialog1	IdleDialogRate1	IdleDialog2	IdleDialogRate2	IdleDialog3	IdleDialogRate3	IdleDialogAfterQuest	IdleDialogQuestID	HasBank	HasMailBox	ScriptName	MailOptionText	BankOptionText	SkillMasterOptionText	CraftMasterOptionText	ReputeID1	ReputeValue1	ReputeID2	ReputeValue2	ReputeID3	ReputeValue3	ReputeID4	ReputeValue4	Parry	ParryValue	Sense	HitBase	PursuitRange	ShopRequireReputeLevel	MasterRequireReputeLevel	CraftMasterRequireReputeLevel	BankRequireReputeLevel	MailBoxRequireReputeLevel	QuestRequireReputeLevel	CanSeeName	AIDefaultMode	ImmunityMask	DropNotQuestItemFlag	_NormalDpsCof	DailyQuestCycle	DailyQuestOffset	_Intensity	_EquipLevel	NpcExp	ProgressID	HasAuction	AuctionOptionText	AuctionRequireReputeLevel	AchievementID	CampLootPrestige	Prestige	CoinType1	CoinAmount1	Contribution	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	SkillID5	SkillID6	SkillID7	SkillID8	SkillLevel5	SkillLevel6	SkillLevel7	SkillLevel8	SkillInterval5	SkillFirstInterval5	SkillInterval6	SkillFirstInterval6	SkillInterval7	SkillFirstInterval7	SkillInterval8	SkillFirstInterval8	SkillType5	SkillType6	SkillType7	SkillType8	SkillRate5	SkillRate6	SkillRate7	SkillRate8	SkillAniFrame5	SkillAniFrame6	SkillAniFrame7	SkillAniFrame8	SkillRestFrame5	SkillRestFrame6	SkillRestFrame7	SkillRestFrame8	GuardForceID	HasTongRepertory	TongRepertoryOptionText	TongRepertoryRequireReputeLevel	DynamicReviveMinTime	KnockedBackRate	KnockedDownRate	KnockedOffRate	RepulsedRate	PullRate	AddCampScore	BattleFieldID	BattleFieldSide	ReputeLevel1	ReputeLevel2	ReputeLevel3	ReputeLevel4	LogLootFlag	TitlePoint	Train	DropJustice	DropExamPrint	DropActivityAward	ValidReputeLootBuff	BuffReputeValue	BuffReputeLevel	HasGameCard	GameCardSaleOptionText	GameCardBuyOptionText	GameCardOrderOptionText	GameCardOrderBuyOptionText	CounterStealth	CounterStealthRange	HasCubPackage	CubPackageOptionText	CubPackageRequireReputeLevel	ForceDrop	IndependentDrop	IndependentDropCount	IndependentDropType	IsCostMana	CriticalDamagePowerBase	DisableSkillMove	HideLevel	DecreaseDamagePercent	ReturnNotRecoveryBlood	CanShareNpcKillByQuestEvent	IdentityVisiableID	CanSeeLifeNum	TouchWidth	HasSharePackage	SharePackageOptionText	SharePackageRequireReputeLevel	LeaveFightNotify	RecoverHP	BroadcastLookup	DropVigor	MaxLifeCount	SceneFilter	Drop11	Count11	Drop12	Count12	Drop13	Count13	Drop14	Count14	Drop15	Count15
57248	门派战当前地图总控			2	0	0	1	1	0	1	0	950	1	3	1	1		180	5	0	0	4	0	0	100	6	22	9000	0	0	0	0	8	3	3	3	3	3	1024	6	1	1	1	1	0	57248	1	3	2	3	2	28	1	32	0	1	1024	16	8			80	0	1	1024	16	8			144	0	1	1024	16	8			208	0	1	1024	16	8	4800	0	20		0		0		0		0	59299										1	0	0	0	pvp服务器相关	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0	0	9000	3840	0	0	0	0	0	0	1	1	0	0	1.00	0	960	3	2	1	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0									272	0	336	0	464	0	528	0	1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1											0																										
57268	神秘人	门派挑战申请人				0				95				2				180	94290780			84861702					22						0	218	218	218	218	218		326	28	28	28	28		57268		6996	3498	6996	3498	28	1																															4800											59323											17361	52944	838860	pvp服务器相关							<G>江湖太平如此无趣，兴风作浪何乐不为。	1		0		0					scripts/Map/pvp服务器/npc/门派战搞事申请人.lua																	3840									0					2	775	19777																																																												1024	1024	1024	1024	1024																																	0																										
57329	挑战方守卫			2	3	170	1	1	0	95	0	950	28	5	1	1		300	248507900	0	0	1336571	0	0	100	6	22	9000	0	0	0	0	0	128	128	128	128	128		205	19	19	19	19	0	57329	1	30000	5000	30000	3000	28	1	35		1	1024	25	10			32		8		12	8			32		8	1024	12				32		1	1024	16	8	4800	0			0		0		0		0	59395											10850	33090	838860	pvp服务器相关	0	0	1	1		0	<G>拿人钱财，替人消灾。上头说了，有位大人物出了大价钱，专门让我们对付那些胡乱生事之人。	100		0		0										0	0	0	0	0	0	0	0	0	0		90000	3840	0	0	0	0	0	0	1	5	510	0	1.00	0	960	14	775	12361	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0									32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	170			0	0	0	0	0	0	0	0			0	0	0	0															1											1																										
57330	援助方守卫			2		171	1	1	0	95	0	950	28	5	1	1		300	248507900	0	0	1336571	0	0	100	6	22	9000	0	0	0	0	0	128	128	128	128	128		205	19	19	19	19	0	57330	1	30000	3000	30000	3000	28	1	35		1	1024	25	10			32		8		12	8			32		8	1024	12				32		1	1024	16	8	4800	0			0		0		0		0	59396											10850	33090	838860	pvp服务器相关	0	0	1	1		0	<G>拿人钱财，替人消灾。上头说了，有位大人物出了大价钱，专门让我们对付那些胡乱生事之人。	100		0		0										0	0	0	0	0	0	0	0	0	0		90000	3840	0	0	0	0	0	0	1	5	510	0	1.00	0	960	14	775	12361	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0									32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8	171			0	0	0	0	0	0	0	0			0	0	0	0															1											1																										
57331	挑战方罩子			2	0	0	1	9	0	95	0	950	385		0	0		180	27501	0	0	24751	0	0	100	6	22	9000	0	0	0	0	126	42	42	42	42	42	1024	97	9	9	9	9	0	57331	1	553	277	553	277	28	1	43		1	1024	33	10			32		1	1024	16	8			32		1	1024	16	8			32		1	1024	16	8	4800	0			0		0		0		0	59398										1				pvp服务器相关	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	15	0	0	1.00	0	960	3	775	712	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0									32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0																										
57332	援助方罩子			2	0	0	1	9	0	95	0	950	385		0	0		180	27501	0	0	24751	0	0	100	6	22	9000	0	0	0	0	126	42	42	42	42	42	1024	97	9	9	9	9	0	57332	1	553	277	553	277	28	1	43		1	1024	33	10			32		1	1024	16	8			32		1	1024	16	8			32		1	1024	16	8	4800	0			0		0		0		0	59397										1				pvp服务器相关	0	0	1	1	0	0		0		0		0										0	0	0	0	0	0	0	0	0	0			3840	0	0	0	0	0	0	0	15	0	0	1.00	0	960	3	775	712	-1			0	-1	7	0	-1	0	0		0		0		0		0		0		0									32		32		32		32		1	1	1	1	1024	1024	1024	1024	16	16	16	16	8	8	8	8				0	0	1024	1024	1024	1024	1024	0			0	0	0	0	0	0													1											0																										
57343	地图总控					26												180									22																			57343						28	1																															4800											59408														pvp服务器相关								0		0		0																						3840									0																																																														26					1024	1024	1024	1024	1024																																	0																										
57344						26									0	0		180									22																			57344						28	1																															4800																									pvp服务器相关								0		0		0																						3840							0		0						2																																																								26					1024	1024	1024	1024	1024																																	0																										
57345						26									0	0		180									22																			57345						28	1																															4800																									pvp服务器相关								0		0		0																						3840							0		0						2																																																								26					1024	1024	1024	1024	1024																																	0																										
57346	晶矿				3	29		3		95			14					60	600000			0					22						0	44	44	44	44	44		105	0	0	0	0		57346		509	254	509	254	28	1	11		1	1024	1	10																									240			pvp服野外/Kuang_small1.tab	1	pvp服野外/Kuang_small2.tab	1	pvp服野外/Kuang_small3.tab	1	pvp服野外/Kuang_small2.tab	1	59411														pvp服务器相关			3		1			0		0		0																						3840							0		0	0					775	1074																																																							29					0	0	0	0	0																											1						1																										
